規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,477840,551671,326465,451500,520237,310569,411635,39865,26340,31434,15896
100～499人,377803,446455,268259,361282,424395,260577,334606,26676,16521,22060,7682
100人以上,421789,495044,291565,400951,468655,280594,368476,32475,20838,26389,10971
30～99人,332187,397964,238616,312569,378725,218459,294964,17605,19618,19239,20157
５～29人,263431,330582,179568,258398,323976,176500,247461,10937,5033,6606,3068
30人以上,389165,461608,270580,368771,437682,255968,341710,27061,20394,23926,14612
５人以上,349198,423059,238422,333687,404228,227889,311751,21936,15511,18831,10533
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年５月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
