規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19,159.4,142.8,16.6,15,96.5,92.4,4.1
100～499人,19.2,160.9,144.4,16.5,14.8,94.3,90.1,4.2
100人以上,19.1,160.2,143.7,16.5,14.9,95.1,90.9,4.2
30～99人,19.6,161.7,148.8,12.9,14.3,84.9,81,3.9
５～29人,20.5,168.6,157.4,11.2,14.2,86.8,84.8,2
30人以上,19.3,160.7,145.4,15.3,14.6,89.8,85.8,4
５人以上,19.6,162.9,148.7,14.2,14.4,88.4,85.3,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
