規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.4,162.3,146.9,15.4,14.4,95.2,91.7,3.5
100～499人,19.2,161.3,145.7,15.6,14.8,94.5,90.4,4.1
100人以上,19.3,161.7,146.2,15.5,14.7,94.8,90.9,3.9
30～99人,19.3,158.4,146.5,11.9,13.3,78.8,76.2,2.6
５～29人,20.1,165.1,155.1,10,14,85.9,84,1.9
30人以上,19.3,160.6,146.3,14.3,14,86.6,83.4,3.2
５人以上,19.5,161.8,148.7,13.1,14,86.3,83.7,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年８月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
