規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.8,20.2,19,162.9,168.9,150.7,146.5,150.9,137.5,16.4,18,13.2
100～499人,19.8,20,19.4,160,169,145.2,144.8,151.6,133.5,15.2,17.4,11.7
100人以上,19.8,20.1,19.2,161.3,168.9,147.4,145.6,151.3,135.1,15.7,17.6,12.3
30～99人,19.3,20.1,18.3,153.8,164.6,138.1,141.4,151,127.5,12.4,13.6,10.6
５～29人,19.1,20.1,17.8,146.2,162.7,125.3,138,152.1,120.1,8.2,10.6,5.2
30人以上,19.6,20.1,18.8,158.6,167.4,143.7,144.1,151.2,132.1,14.5,16.2,11.6
５人以上,19.5,20.1,18.5,154.6,166,137.2,142.1,151.4,127.9,12.5,14.6,9.3
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年４月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
