規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20,167.7,149.9,17.8,14.9,96.1,92.1,4
100～499人,19.9,168.1,150.9,17.2,14.8,94.8,90.7,4.1
100人以上,19.9,167.9,150.4,17.5,14.8,95.3,91.2,4.1
30～99人,20.3,166.9,154,12.9,14.1,81.8,78.7,3.1
５～29人,20.8,169.5,158.2,11.3,13.8,84.5,82.3,2.2
30人以上,20.1,167.5,151.6,15.9,14.5,88.6,85,3.6
５人以上,20.3,168.1,153.4,14.7,14.1,86.5,83.6,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年３月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
