規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,552433,645416,361900,459442,528471,317994,418345,41097,92991,116945,43906
100～499人,393038,459302,283481,369285,429986,268926,340442,28843,23753,29316,14555
100人以上,463423,544968,315446,409096,475318,288927,374842,34254,54327,69650,26519
30～99人,329927,398817,229556,320334,386663,223695,301681,18653,9593,12154,5861
５～29人,274025,342812,186292,262607,327335,180051,250799,11808,11418,15477,6241
30人以上,414644,494365,281309,376663,444622,263001,348110,28553,37981,49743,18308
５人以上,369835,449623,247621,340318,409996,233591,317101,23217,29517,39627,14030
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年４月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
