規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,97.5,－,108,95.6,105.9,89.4,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,99,1.5,108.9,97.8,106.1,105.9,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,1,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
５人以上,平成18,2006,年平均,99.4,-0.6,101.2,98.2,99.1,99.9,99.5,98.6,101.8,96.7,－,－,－,－,100.5,103.4,99.5,－
５人以上,平成19,2007,年平均,99.5,0.1,96.9,98.2,99.2,100.6,103,101.5,100.8,99,－,－,－,－,94.8,107,99.7,－
５人以上,平成20,2008,年平均,99.4,-0.1,100.6,97.2,100.6,104.2,105.8,103.7,102.7,100.2,－,－,－,－,90,107.1,112.2,－
５人以上,平成21,2009,年平均,98.8,-0.6,105,97.4,100.1,101.6,106.3,106.4,101.7,98.7,－,－,－,－,90.2,108.9,113.2,－
５人以上,平成21,2009,9月,98.6,-0.8,102.8,99.4,100.4,102.4,106.5,107.9,101.2,99.3,－,－,－,－,88.7,111.2,112.7,－
５人以上,平成21,2009,10月,98.7,-0.1,103.2,97.1,99.6,103.3,105.6,104.6,100,98.3,－,－,－,－,90.3,110,124.5,－
５人以上,平成21,2009,11月,98.6,0.4,100,96.9,100.1,101.7,105.9,105.9,101.5,99.4,－,－,－,－,87.4,110,109.6,－
５人以上,平成21,2009,12月,98.9,0.6,100.1,96.9,100,101.6,107.3,106.8,102.3,100.2,－,－,－,－,88.3,108.1,110.6,－
５人以上,平成22,2010,1月,98.1,0.4,103.5,94.6,99.5,101.6,107.6,103.2,104.4,100.1,－,－,－,－,89.8,110.8,110.2,－
５人以上,平成22,2010,2月,98.6,0.1,103.9,94.8,102.2,100.9,106.8,108.4,102.8,101.5,－,－,－,－,91.9,110.5,108.4,－
５人以上,平成22,2010,3月,99.9,0.4,103.6,96.8,101.9,102.3,107.9,108.5,104.3,101.5,－,－,－,－,98.6,108.8,112.4,－
５人以上,平成22,2010,4月,100.4,0.4,107.7,95.1,103.4,103.1,107.4,108.2,104.9,102.4,－,－,－,－,97.5,111.1,111,－
５人以上,平成22,2010,5月,98.7,1.5,104.8,94.5,102.2,101,107.7,105.7,102.6,99.9,－,－,－,－,92.4,109,108.6,－
５人以上,平成22,2010,6月,99,0.1,104,94.5,102.5,101.2,107.6,105.6,103.4,100.9,－,－,－,－,92,108.3,110.4,－
５人以上,平成22,2010,7月,98.4,-0.7,105.2,93.6,103.9,99.5,107.3,102.6,102.4,101.4,－,－,－,－,93.7,107.2,111.2,－
５人以上,平成22,2010,8月,98.9,-0.4,103.6,94.3,104.1,100.6,108.7,103.4,103.3,101.4,－,－,－,－,95.2,106.5,111,－
５人以上,平成22,2010,9月,99.4,0.8,102.4,96.2,103.9,101.1,108.9,105.9,102.7,101.9,－,－,－,－,95.3,108,110.4,－
５人以上,平成22,2010,9月（対前年同月比（％））,－,－,-0.4,-3.2,3.5,-1.3,2.3,-1.9,1.5,2.6,－,－,－,－,7.4,-2.9,-2,－
30人以上,平成15,2003,年平均,97.8,－,101.1,95.8,109.3,89.9,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,100.5,2.8,110.1,96.8,108.3,107.6,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均,100,-0.5,100,100,100,100,100,100,100,100,－,－,－,－,100,100,100,－
30人以上,平成18,2006,年平均,99.2,-0.8,99.1,96.5,99.5,100,99.5,100.3,102.5,96.4,－,－,－,－,101,99.3,96.6,－
30人以上,平成19,2007,年平均,100.6,1.4,95,96.6,100.6,101.4,103.8,102.7,101.8,99.9,－,－,－,－,98.3,109.4,97.9,－
30人以上,平成20,2008,年平均,101.5,0.9,98.6,97,102.1,106.7,107.3,106.2,105.5,101,－,－,－,－,94.7,106.1,117.8,－
30人以上,平成21,2009,年平均,100.3,-1.2,102.9,98.2,100.7,103.2,108.1,110.1,104,98,－,－,－,－,94.5,105.3,120.3,－
30人以上,平成21,2009,9月,100,-1.8,100.8,100,100.8,103.6,108.4,111.8,102.9,98.2,－,－,－,－,93.5,106.7,119,－
30人以上,平成21,2009,10月,100.2,-0.8,101.1,97.8,100,104.8,107.3,108.1,101.3,97.1,－,－,－,－,95.3,105.4,132.4,－
30人以上,平成21,2009,11月,100.1,-0.4,98,97.5,100.4,102.9,108.1,109.9,103.4,98.3,－,－,－,－,92.2,104,115.5,－
30人以上,平成21,2009,12月,100.5,-0.2,98.1,97.4,100.6,102.8,109.2,111,104.6,99.1,－,－,－,－,93.2,101.4,117.8,－
30人以上,平成22,2010,1月,99.5,0.3,101.5,96.2,99.3,101.7,109,105.1,107,98.1,－,－,－,－,94.2,105.7,115.7,－
30人以上,平成22,2010,2月,99.9,-0.5,101.8,96.2,102.1,101.5,108.4,111.2,104.3,99.3,－,－,－,－,96,103.8,113.9,－
30人以上,平成22,2010,3月,101.4,-0.1,101.6,98.1,101.9,102.8,109.8,111.2,106.3,99.4,－,－,－,－,104.3,101.8,118.8,－
