規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.2,153.2,136.5,16.7,14.4,92.8,88.8,4
100～499人,18.4,154.6,139,15.6,14.7,92.1,88.4,3.7
100人以上,18.3,153.9,137.8,16.1,14.6,92.3,88.5,3.8
30～99人,18.7,154.2,141.6,12.6,13.6,78.8,75.7,3.1
５～29人,19.4,157.3,147.5,9.8,13.8,86,83.7,2.3
30人以上,18.4,154,139.1,14.9,14.1,85.4,82,3.4
５人以上,18.7,154.9,141.4,13.5,14,85.8,82.9,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年５月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
