規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.5,19.8,18.8,161,166.7,149.3,144.5,148.6,136.1,16.5,18.1,13.2
100～499人,19.2,19.5,18.6,157.5,164.9,144.5,142.2,147.4,133,15.3,17.5,11.5
100人以上,19.3,19.7,18.7,159,165.7,146.5,143.2,147.9,134.3,15.8,17.8,12.2
30～99人,19,19.9,17.8,149.1,161.7,131,138.3,148.6,123.4,10.8,13.1,7.6
５～29人,18.5,19.6,17.1,141.5,158.1,120.3,133.2,147.4,115,8.3,10.7,5.3
30人以上,19.2,19.7,18.3,155.4,164.2,140.2,141.4,148.1,129.9,14,16.1,10.3
５人以上,19,19.7,17.9,151,162.4,133,138.8,147.9,124.5,12.2,14.5,8.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年３月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
