規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19,159.4,143.5,15.9,14.8,95.9,92.2,3.7
100～499人,19.2,160.9,145.5,15.4,14.6,93.2,89.4,3.8
100人以上,19.1,160.2,144.6,15.6,14.7,94.1,90.4,3.7
30～99人,19.8,162.7,150.7,12,14.6,83.3,80.7,2.6
５～29人,20.7,168.8,158.7,10.1,14.3,87.5,85.5,2
30人以上,19.3,161,146.6,14.4,14.7,88.5,85.3,3.2
５人以上,19.7,163.2,149.9,13.3,14.5,88,85.4,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年９月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
