規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,17.7,18.3,16.8,140.5,150.9,124.9,129.2,137.4,116.9,11.3,13.5,8
５人以上,"鉱業,採石業,砂利採取業",17.5,17.7,17.1,141.3,142.9,135.5,127.3,128.7,122.2,14,14.2,13.3
５人以上,建設業,18.8,19,17.8,155.5,159,137.2,143.3,146,129.3,12.2,13,7.9
５人以上,製造業,18,18.2,17.4,149.9,153.3,139.6,139.2,142,130.8,10.7,11.3,8.8
５人以上,電気・ガス・熱供給・水道業,17.1,17.3,16.3,147.2,149.3,133.6,129,130.4,120.1,18.2,18.9,13.5
５人以上,情報通信業,17.9,18.2,17,154.5,158.7,143.6,134.2,137.3,126.2,20.3,21.4,17.4
５人以上,"運輸業,郵便業",19,19.3,17.9,163.3,168.8,139.8,143.5,146.9,129.2,19.8,21.9,10.6
５人以上,"卸売業,小売業",18,18.6,17.1,139.2,149.4,125.1,131.3,140.1,119.1,7.9,9.3,6
５人以上,"金融業,保険業",17.9,18.2,17.5,149.3,153.3,143.7,133.4,136.1,129.6,15.9,17.2,14.1
５人以上,"不動産業,物品賃貸業",18.5,18.8,17.7,147.2,153.7,132.8,135.5,140.8,123.8,11.7,12.9,9
５人以上,"学術研究,専門・技術サービス業",17.9,18.2,17.5,150.7,154,143.5,133.5,135.5,129.1,17.2,18.5,14.4
５人以上,"宿泊業,飲食サービス業",16.2,17.4,15.3,110.5,132.6,92.8,104.7,123.6,89.5,5.8,9,3.3
５人以上,"生活関連サービス業,娯楽業",18.5,19.8,17.3,145.5,159.3,133.5,137.2,150.3,125.7,8.3,9,7.8
５人以上,"教育,学習支援業",15.7,16.4,14.9,111.7,118.2,105,107.1,112.8,101.2,4.6,5.4,3.8
５人以上,"医療,福祉",17.1,17.2,17.1,129.6,137,127,122.2,128.6,119.9,7.4,8.4,7.1
５人以上,複合サービス事業,16.6,17.1,15.5,135.8,143.1,121.4,125.1,130.5,114.3,10.7,12.6,7.1
５人以上,サービス業（他に分類されないもの）,17.6,18.3,16.7,137.8,149.5,124.4,126.3,135.4,115.8,11.5,14.1,8.6
30人以上,調査産業計,17.8,18.2,17,143.6,151.6,130.5,130.4,136.4,120.6,13.2,15.2,9.9
30人以上,"鉱業,採石業,砂利採取業",17.5,17.7,17.1,141.3,142.9,135.5,127.3,128.7,122.2,14,14.2,13.3
30人以上,建設業,18.6,18.8,17.7,155.8,158.1,141.4,141.3,142.9,131.3,14.5,15.2,10.1
30人以上,製造業,18,18.1,17.4,151.4,154.1,142.8,139.5,141.7,132.5,11.9,12.4,10.3
30人以上,電気・ガス・熱供給・水道業,17,17.2,16.1,147.6,149.9,132.8,128.7,130.1,119.8,18.9,19.8,13
30人以上,情報通信業,17.9,18.2,17,153.9,158,142.9,133.7,136.7,125.6,20.2,21.3,17.3
30人以上,"運輸業,郵便業",19,19.3,17.8,163.5,169.3,140.1,142.8,146.2,129.2,20.7,23.1,10.9
30人以上,"卸売業,小売業",18.2,18.7,17.5,142.6,151,130.6,133.2,140.3,123.1,9.4,10.7,7.5
30人以上,"金融業,保険業",17.9,18.1,17.5,150,154.1,144.2,133.3,135.9,129.6,16.7,18.2,14.6
30人以上,"不動産業,物品賃貸業",18.5,18.7,18,146,151.4,134.7,132.9,137.2,123.9,13.1,14.2,10.8
30人以上,"学術研究,専門・技術サービス業",18.1,18.2,17.7,154.8,156.6,150,133.4,134.6,130.2,21.4,22,19.8
30人以上,"宿泊業,飲食サービス業",16,17.2,15,112.6,131.7,94.5,106.2,122.8,90.5,6.4,8.9,4
30人以上,"生活関連サービス業,娯楽業",18.1,19.1,17.3,143.2,156.3,132.8,131.8,143.5,122.5,11.4,12.8,10.3
30人以上,"教育,学習支援業",15.8,16.5,15,113.2,117.4,107.9,108.1,111.9,103.2,5.1,5.5,4.7
30人以上,"医療,福祉",17.6,17.1,17.8,135.8,137.6,135.1,126.9,128.6,126.2,8.9,9,8.9
30人以上,複合サービス事業,16.7,17.2,15.3,136.8,143.4,117.8,125.3,130,111.6,11.5,13.4,6.2
30人以上,サービス業（他に分類されないもの）,17.3,18,16.6,135.3,146.8,123.2,123.1,131.5,114.2,12.2,15.3,9
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年５月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
