規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.6,18,16.9,145.4,150.6,134.4,130.6,134.5,122.5,14.8,16.1,11.9
100～499人,17.7,18.1,17.2,145.3,152.3,133.1,131.2,136.4,122.2,14.1,15.9,10.9
100人以上,17.7,18,17.1,145.3,151.5,133.6,130.9,135.5,122.3,14.4,16,11.3
30～99人,17.2,17.9,16.3,135.2,145.6,120.1,125.1,133.4,113,10.1,12.2,7.1
５～29人,16.9,17.9,15.5,128.3,143.3,108.9,121.2,134.1,104.6,7.1,9.2,4.3
30人以上,17.5,18,16.8,141.6,149.5,128.2,128.8,134.8,118.6,12.8,14.7,9.6
５人以上,17.3,18,16.3,137.4,147.7,121.3,126.4,134.6,113.6,11,13.1,7.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２２年１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
