区分１,区分２,該当数計（人）,割合計（％）,携帯電話（ガラホ、ＰＨＳキッズケータイも含む）該当数（人）,携帯電話（ガラホ、ＰＨＳキッズケータイも含む）割合（％）,スマートフォン該当数（人）,スマートフォン割合（％）,両方利用している該当数（人）,両方利用している割合（％）
全体,全体,1500,100.0,510,34.0,971,64.7,19,1.3
児童・生徒別,小学生,500,100.0,366,73.2,129,25.8,5,1.0
児童・生徒別,中学生,500,100.0,122,24.4,367,73.4,11,2.2
児童・生徒別,高校生,500,100.0,22,4.4,475,95.0,3,0.6
子供の性別,男性,745,100.0,250,33.6,486,65.2,9,1.2
子供の性別,女性,755,100.0,260,34.4,485,64.2,10,1.3
児童・生徒×子供の性別,小学生男子,232,100.0,176,75.9,54,23.3,2,0.9
児童・生徒×子供の性別,小学生女子,268,100.0,190,70.9,75,28.0,3,1.1
児童・生徒×子供の性別,中学生男子,244,100.0,61,25.0,177,72.5,6,2.5
児童・生徒×子供の性別,中学生女子,256,100.0,61,23.8,190,74.2,5,2.0
児童・生徒×子供の性別,高校生男子,269,100.0,13,4.8,255,94.8,1,0.4
児童・生徒×子供の性別,高校生女子,231,100.0,9,3.9,220,95.2,2,0.9
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,367,38.9,569,60.3,8,0.8
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,131,100.0,35,26.7,96,73.3,0,0.0
携帯電話の購入所別,家電量販店,273,100.0,89,32.6,181,66.3,3,1.1
携帯電話の購入所別,インターネット販売,96,100.0,3,3.1,87,90.6,6,6.3
携帯電話の購入所別,その他,31,100.0,8,25.8,21,67.7,2,6.5
携帯電話の購入所別,わからない,25,100.0,8,32.0,17,68.0,0,0.0
フィルタリングサービスの加入状況別,加入している,459,100.0,95,20.7,360,78.4,4,0.9
フィルタリングサービスの加入状況別,加入していない,563,100.0,135,24.0,414,73.5,14,2.5
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,223,89.6,26,10.4,0,0.0
フィルタリングサービスの加入状況別,わからない,229,100.0,57,24.9,171,74.7,1,0.4
利用制限サービスの加入状況別,加入している,261,100.0,0,0.0,258,98.9,3,1.1
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,0,0.0,177,96.7,6,3.3
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,0,0.0,311,97.8,7,2.2
利用制限サービスの加入状況別,わからない,85,100.0,0,0.0,85,100.0,0,0.0
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,288,50.2,276,48.1,10,1.7
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,170,25.2,497,73.7,7,1.0
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,29,17.1,140,82.4,1,0.6
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,20,27.4,52,71.2,1,1.4
利用状況の管理状態別,その他,9,100.0,3,33.3,6,66.7,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,207,37.1,344,61.6,7,1.3
説明・学習経験別,インターネットで調べた,505,100.0,169,33.5,323,64.0,13,2.6
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,186,34.3,349,64.3,8,1.5
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,116,33.5,226,65.3,4,1.2
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,18,30.5,41,69.5,0,0.0
説明・学習経験別,販売店等から詳しく説明をうけた,88,100.0,23,26.1,64,72.7,1,1.1
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,6,28.6,15,71.4,0,0.0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,334,100.0,120,35.9,212,63.5,2,0.6
説明・学習経験別,その他,11,100.0,2,18.2,9,81.8,0,0.0
