区分１,区分２,該当数計,割合計,睡眠不足になった該当数,睡眠不足になった割合,視力が落ちた該当数,視力が落ちた割合,猫背になったり、巻き肩になるなど、姿勢が悪くなった該当数,猫背になったり、巻き肩になるなど、姿勢が悪くなった割合,肩こりや頭痛、めまい等の不調を訴えるようになった該当数,肩こりや頭痛、めまい等の不調を訴えるようになった割合,勉強に集中できなくなったり、記憶力がさがったりした該当数,勉強に集中できなくなったり、記憶力がさがったりした割合,成績が下がった該当数,成績が下がった割合,その他該当数,その他割合,悪影響は特にない該当数,悪影響は特にない割合
全体,全体,1500,100.0,241,16.1,226,15.1,151,10.1,62,4.1,217,14.5,155,10.3,26,1.7,891,59.4
児童・生徒別,小学生,500,100.0,24,4.8,32,6.4,26,5.2,7,1.4,28,5.6,10,2.0,3,0.6,718,83.6
児童・生徒別,中学生,500,100.0,103,20.6,86,17.2,64,12.8,23,4.6,105,21.0,77,15.4,13,2.6,244,48.8
児童・生徒別,高校生,500,100.0,114,22.8,108,21.6,61,12.2,32,6.4,84,16.8,68,13.6,10,2.0,229,45.8
子供の性別,男性,745,100.0,130,17.4,126,16.9,78,10.5,30,4.0,131,17.6,90,12.1,15,2.0,425,57.0
子供の性別,女性,755,100.0,111,14.7,100,13.2,73,9.7,32,4.2,86,11.4,65,8.6,11,1.5,466,61.7
児童・生徒×子供の性別,小学生男子,232,100.0,14,6.0,14,6.0,15,6.5,5,2.2,17,7.3,3,1.3,1,0.4,192,82.8
児童・生徒×子供の性別,小学生女子,268,100.0,10,3.7,18,6.7,11,4.1,2,0.7,11,4.1,7,2.6,2,0.7,226,84.3
児童・生徒×子供の性別,中学生男子,244,100.0,55,22.5,44,18.0,30,12.3,8,3.3,58,23.8,46,18.9,8,3.3,113,46.3
児童・生徒×子供の性別,中学生女子,256,100.0,48,18.8,42,16.4,34,13.3,15,5.9,47,18.4,31,12.1,5,2.0,131,51.2
児童・生徒×子供の性別,高校生男子,269,100.0,61,22.7,68,25.3,33,12.3,17,6.3,56,20.8,41,15.2,6,2.2,120,44.6
児童・生徒×子供の性別,高校生女子,231,100.0,53,22.9,40,17.3,28,12.1,15,6.5,28,12.1,27,11.7,4,1.7,109,47.2
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,156,16.5,134,14.2,94,10.0,34,3.6,130,13.8,97,10.3,15,1.6,574,60.8
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,131,100.0,17,13.0,21,16.0,15,11.5,8,6.1,23,17.6,12,9.2,0,0.0,70,53.4
携帯電話の購入所別,家電量販店,273,100.0,47,17.2,52,19.0,28,10.3,11,4.0,42,15.4,24,8.8,5,1.8,156,57.1
携帯電話の購入所別,インターネット販売,96,100.0,16,16.7,14,14.6,12,12.5,7,7.3,19,19.8,18,18.8,2,2.1,48,50.0
携帯電話の購入所別,その他,31,100.0,3,9.7,5,16.1,2,6.5,2,6.5,2,6.5,3,9.7,4,12.9,21,67.7
携帯電話の購入所別,わからない,25,100.0,2,8.0,0,0.0,0,0.0,0,0.0,1,4.0,1,4.0,0,0.0,22,88.0
フィルタリングサービスの加入状況別,加入している,459,100.0,88,19.2,85,18.5,58,12.6,15,3.3,91,19.8,60,13.1,8,1.7,235,51.2
フィルタリングサービスの加入状況別,加入していない,563,100.0,106,18.8,101,17.9,57,10.1,29,5.2,90,16.0,63,11.2,11,2.0,306,54.4
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,9,3.6,11,4.4,8,3.2,4,1.6,4,1.6,6,2.4,2,0.8,220,88.4
フィルタリングサービスの加入状況別,わからない,229,100.0,38,16.6,29,12.7,28,12.2,14,6.1,32,14.0,26,11.4,5,2.2,130,56.8
利用制限サービスの加入状況別,加入している,261,100.0,67,25.7,56,21.5,43,16.5,15,5.7,65,24.9,44,16.9,6,2.3,104,39.8
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,46,25.1,35,19.1,24,13.1,9,4.9,40,21.9,25,13.7,7,3.8,78,42.6
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,68,21.4,67,21.1,42,13.2,18,5.7,56,17.6,43,13.5,8,2.5,145,45.6
