区分１,区分２,該当数計,加入している割合,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている割合,加入していないし、特段の制限も設けていない割合,わからない割合
全体,全体,847,30.8,21.6,37.5,10.0
児童・生徒別,小学生,106,30.2,35.8,24.5,9.4
児童・生徒別,中学生,323,40.9,22.6,28.2,8.4
児童・生徒別,高校生,418,23.2,17.2,48.1,11.5
子供の性別,男性,418,29.4,21.3,39.5,9.8
子供の性別,女性,429,32.2,21.9,35.7,10.3
児童・生徒×子供の性別,小学生男子,44,36.4,31.8,22.7,9.1
児童・生徒×子供の性別,小学生女子,62,25.8,38.7,25.8,9.7
児童・生徒×子供の性別,中学生男子,153,38.6,23.5,30.1,7.8
児童・生徒×子供の性別,中学生女子,170,42.9,21.8,26.5,8.8
児童・生徒×子供の性別,高校生男子,221,21.7,17.6,49.3,11.3
児童・生徒×子供の性別,高校生女子,197,24.9,16.8,46.7,11.7
