区分１,区分２,該当数計,割合計,知っていた該当数,知っていた割合,知らなかった該当数,知らなかった割合
全体,全体,1500,100.0,1275,85.0,225,15.0
児童・生徒別,小学生,500,100.0,423,84.6,77,15.4
児童・生徒別,中学生,500,100.0,433,86.6,67,13.4
児童・生徒別,高校生,500,100.0,419,83.8,81,16.2
子供の性別,男性,745,100.0,623,83.6,122,16.4
子供の性別,女性,755,100.0,652,86.4,103,13.6
児童・生徒×子供の性別,小学生男子,232,100.0,194,83.6,38,16.4
児童・生徒×子供の性別,小学生女子,268,100.0,229,85.4,39,14.6
児童・生徒×子供の性別,中学生男子,244,100.0,209,85.7,35,14.3
児童・生徒×子供の性別,中学生女子,256,100.0,224,87.5,32,12.5
児童・生徒×子供の性別,高校生男子,269,100.0,220,81.8,49,18.2
児童・生徒×子供の性別,高校生女子,231,100.0,199,86.1,32,13.9
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,796,84.3,148,15.7
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,131,100.0,106,80.9,25,19.1
携帯電話の購入所別,家電量販店,273,100.0,237,86.8,36,13.2
携帯電話の購入所別,インターネット販売,96,100.0,92,95.8,4,4.2
携帯電話の購入所別,その他,31,100.0,30,96.8,1,3.2
携帯電話の購入所別,わからない,25,100.0,14,56.0,11,44.0
フィルタリングサービスの加入状況別,加入している,459,100.0,415,90.4,44,9.6
フィルタリングサービスの加入状況別,加入していない,563,100.0,492,87.4,71,12.6
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,208,83.5,41,16.5
フィルタリングサービスの加入状況別,わからない,229,100.0,160,69.9,69,30.1
利用制限サービスの加入状況別,加入している,261,100.0,237,90.8,24,9.2
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,168,91.8,15,8.2
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,293,92.1,25,7.9
利用制限サービスの加入状況別,わからない,85,100.0,68,80.0,17,20.0
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,499,86.9,75,13.1
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,596,88.4,78,11.6
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,130,76.5,40,23.5
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,41,56.2,32,43.8
利用状況の管理状態別,その他,9,100.0,9,100.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,498,89.2,60,10.8
説明・学習経験別,インターネットで調べた,505,100.0,449,88.9,56,11.1
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,488,89.9,55,10.1
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,315,91.0,31,9.0
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,48,81.4,11,18.6
説明・学習経験別,販売店等から詳しく説明をうけた,88,100.0,77,87.5,11,12.5
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,20,95.2,1,4.8
説明・学習経験別,特に説明をうけたり学習したりしたことはない,334,100.0,261,78.1,73,21.9
説明・学習経験別,その他,11,100.0,11,100.0,0,0.0
