区分１,区分２,該当数計（人）,該当数割合（％）,価格該当数（人）,価格割合（％）,機能が多くハイスペック（高機能）なもの該当数（人）,機能が多くハイスペック（高機能）なもの割合（％）,操作や機能が比較的簡単でつかいやすいもの該当数（人）,操作や機能が比較的簡単でつかいやすいもの割合（％）,子供がほしがるもの該当数（人）,子供がほしがるもの割合（％）,その他該当数（人）,その他割合（％）
全体,全体,1500,100.0,702,46.8,145,9.7,422,28.1,198,13.2,33,2.2
児童・生徒別,小学生,500,100.0,211,42.2,26,5.2,214,42.8,35,7.0,14,2.8
児童・生徒別,中学生,500,100.0,255,51.0,47,9.4,132,26.4,56,11.2,10,2.0
児童・生徒別,高校生,500,100.0,236,47.2,72,14.4,76,15.2,107,21.4,9,1.8
子どもの性別,男性,745,100.0,361,48.5,72,9.7,199,26.7,100,13.4,13,1.7
子どもの性別,女性,755,100.0,341,45.2,73,9.7,223,29.5,98,13.0,20,2.6
児童・生徒×子どもの性別,小学生男子,232,100.0,105,45.3,10,4.3,92,39.7,17,7.3,8,3.4
児童・生徒×子どもの性別,小学生女子,268,100.0,106,39.6,16,6.0,122,45.5,18,6.7,6,2.2
児童・生徒×子どもの性別,中学生男子,244,100.0,127,52.0,23,9.4,67,27.5,25,10.2,2,0.8
児童・生徒×子どもの性別,中学生女子,256,100.0,128,50.0,24,9.4,65,25.4,31,12.1,8,3.1
児童・生徒×子どもの性別,高校生男子,269,100.0,129,48.0,39,14.4,40,14.9,58,21.6,3,1.1
児童・生徒×子どもの性別,高校生女子,231,100.0,107,46.3,33,14.3,36,15.6,49,21.2,6,2.6
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,408,43.2,105,11.1,277,29.3,132,14.0,22,2.3
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,131,100.0,67,51.1,12,9.2,31,23.7,19,14.5,2,1.5
携帯電話の購入場所別,家電量販店,273,100.0,129,47.3,20,7.3,80,29.3,37,13.6,7,2.6
携帯電話の購入場所別,インターネット販売,96,100.0,65,67.7,5,5.2,21,21.9,4,4.2,1,1.0
携帯電話の購入場所別,その他,31,100.0,16,51.6,3,9.7,9,29.0,2,6.5,1,3.2
携帯電話の購入場所別,わからない,25,100.0,17,68.0,0,0.0,4,16.0,4,16.0,0,0.0
フィルタリングサービスの加入状況別,加入している,459,100.0,211,46.0,57,12.4,123,26.8,54,11.8,14,3.1
フィルタリングサービスの加入状況別,加入していない,563,100.0,288,51.2,54,9.6,121,21.5,93,16.5,7,1.2
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,96,38.2,13,5.2,122,49.0,10,4.0,9,3.6
フィルタリングサービスの加入状況別,わからない,229,100.0,108,47.2,21,9.2,56,24.5,41,17.9,3,1.3
利用制限サービスの加入状況別,加入している,261,100.0,109,41.8,41,15.7,68,26.1,37,14.2,6,2.3
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,97,53.0,24,13.1,35,19.1,26,14.2,1,0.5
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,165,51.9,38,11.9,48,15.1,62,19.5,5,1.6
利用制限サービスの加入状況別,わからない,85,100.0,42,49.4,7,8.2,14,16.5,22,25.9,0,0.0
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,282,49.1,51,8.9,183,31.9,43,7.5,15,2.6
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,310,46.0,74,11.0,178,26.4,96,14.2,16,2.4
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,81,47.6,16,9.4,43,25.3,29,17.1,1,0.6
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,26,35.6,4,5.5,15,20.5,27,37.0,1,1.4
利用状況の管理状態別,その他,9,100.0,3,33.3,0,0.0,3,33.3,3,33.3,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,264,47.3,47,8.4,160,26.7,73,13.1,14,2.5
説明・学習経験別,インターネットで調べた,505,100.0,230,45.5,60,11.9,141,27.9,63,12.5,11,2.2
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,237,43.6,48,8.8,186,34.3,55,10.1,17,3.1
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,144,41.6,29,8.4,118,34.1,37,10.7,18,5.2
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,23,39.0,7,11.9,22,37.3,4,6.8,3,5.1
説明・学習経験別,販売店等から詳しく説明を受けた,88,100.0,36,40.9,12,13.6,27,30.7,11,12.5,2,2.3
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,10,47.6,4,19.0,4,19.0,2,9.5,1,4.8
説明・学習経験別,特に説明を受けたり学習したことはない,334,100.0,172,51.5,23,69.0,79,23.7,57,17.1,3,0.9
説明・学習経験別,その他,11,100.0,8,72.7,1,9.1,1,9.1,0,0.0,1,9.1
