区分１,区分２,該当数計,割合計,守られている該当数,守られている割合,だいたい守られている該当数,だいたい守られている割合,あまり守られていない該当数,あまり守られていない割合,守られていない該当数,守られていない割合,守られているかどうかわからない該当数,守られているかどうかわからない割合
全体,全体,896,100.0,270,30.1,465,51.9,124,13.8,23,2.6,14,1.6
児童・生徒別,小学生,208,100.0,142,46.1,133,43.2,29,9.4,1,0.3,3,1.0
児童・生徒別,中学生,348,100.0,77,22.1,186,53.4,63,18.1,15,4.3,7,2.0
児童・生徒別,高校生,240,100.0,51,21.3,146,60.8,32,13.3,7,2.9,4,1.7
子どもの性別,男性,405,100.0,107,26.4,210,51.9,68,16.8,13,3.2,7,1.7
子どもの性別,女性,491,100.0,163,33.2,255,51.9,56,11.4,10,2.0,7,1.4
児童・生徒×子どもの性別,小学生男子,127,100.0,56,44.1,53,41.7,15,11.8,1,0.8,2,1.6
児童・生徒×子どもの性別,小学生女子,181,100.0,86,47.5,80,44.2,14,7.7,0,0.0,1,0.6
児童・生徒×子どもの性別,中学生男子,168,100.0,31,18.5,90,53.6,35,20.8,9,5.4,3,1.8
児童・生徒×子どもの性別,中学生女子,180,100.0,46,25.6,96,53.3,28,15.6,6,3.3,4,2.2
児童・生徒×子どもの性別,高校生男子,110,100.0,20,18.2,67,60.9,18,16.4,3,2.7,2,1.8
児童・生徒×子どもの性別,高校生女子,130,100.0,31,23.8,79,60.8,14,10.8,4,3.1,2,1.5
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,554,100.0,179,32.3,281,50.7,72,13.0,13,2.3,9,1.6
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,80,100.0,14,17.5,49,61.3,12,15.0,4,5.0,1,1.3
携帯電話の購入場所別,家電量販店,165,100.0,46,27.9,88,53.3,26,15.8,2,1.2,3,1.8
携帯電話の購入場所別,インターネット販売,67,100.0,22,32.8,31,46.3,11,16.4,3,4.5,0,0.0
携帯電話の購入場所別,その他,20,100.0,6,30.0,10,50.0,3,15.0,0,0.0,1,5.0
携帯電話の購入場所別,わからない,10,100.0,3,30.0,6,60.0,0,0.0,1,10.0,0,0.0
フィルタリングサービスの加入状況別,加入している,339,100.0,94,27.7,182,53.7,50,14.7,10,2.9,3,0.9
フィルタリングサービスの加入状況別,加入していない,313,100.0,85,27.2,179,57.2,39,12.5,6,1.9,4,1.3
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,137,100.0,67,48.9,52,38.0,14,10.2,2,1.5,2,1.5
フィルタリングサービスの加入状況別,わからない,107,100.0,24,22.4,52,48.6,21,19.6,5,4.7,5,4.7
利用制限サービスの加入状況別,加入している,196,100.0,43,21.9,112,57.1,35,17.9,6,3.1,0,0.0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,142,100.0,26,18.3,82,57.7,27,19.0,4,2.8,3,2.1
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,156,100.0,35,22.4,92,59.0,24,15.4,3,1.9,2,1.3
利用制限サービスの加入状況別,わからない,40,100.0,7,17.5,18,45.0,8,20.0,4,10.0,3,7.5
利用状況の管理状態別,利用状況の把握及び監督もできている,379,100.0,172,45.4,179,47.2,23,6.1,3,0.8,2,0.5
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,444,100.0,87,19.6,258,58.1,76,17.1,16,3.6,7,1.6
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,56,100.0,3,5.4,21,37.5,24,42.9,4,7.1,4,7.1
利用状況の管理状態別,子供の利用状況に関心がない,11,100.0,6,54.5,3,27.3,1,9.1,0,0.0,1,9.1
利用状況の管理状態別,その他,6,100.0,2,33.3,4,66.7,0,0.0,0,0.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,368,100.0,103,28.0,200,54.3,53,14.4,6,1.6,6,1.6
説明・学習経験別,インターネットで調べた,352,100.0,104,29.5,196,55.7,42,11.9,6,1.7,4,1.1
説明・学習経験別,学校から配布される資料等を読んだ,391,100.0,117,29.9,206,52.7,55,14.1,9,2.3,4,1.0
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,269,100.0,76,28.3,140,52.7,40,14.9,8,3.0,5,1.9
説明・学習経験別,知識のある知人から説明を受けた,48,100.0,16,33.3,23,47.9,7,14.6,2,4.2,0,0.0
説明・学習経験別,販売店等から詳しく説明を受けた,67,100.0,18,26.9,32,47.8,15,22.4,2,3.0,0,0.0
説明・学習経験別,公共施設などで開催された講座に参加した,15,100.0,5,33.3,8,53.3,2,13.3,0,0.0,0,0.0
説明・学習経験別,特に説明を受けたり学習したことはない,132,100.0,45,34.1,63,47.7,16,12.1,6,4.5,2,1.5
説明・学習経験別,その他,9,100.0,4,44.4,3,33.3,2,22.2,0,0.0,0,0.0
