区分１,区分２,該当数計,割合計,利用時間（夜１０時まで等）を決めている該当数,利用時間（夜１０時まで等）を決めている割合,利用する際のマナー（誹謗中傷することは書かない等）該当数,利用する際のマナー（誹謗中傷することは書かない等）割合,友達の画像をサイト等にアップする時は、本人に許可をもらう該当数,友達の画像をサイト等にアップする時は、本人に許可をもらう割合,相手が誤解しそうな紛らわしい言葉は使わない該当数,相手が誤解しそうな紛らわしい言葉は使わない割合,既読スルーされても気にしない（相手の都合を考える）該当数,既読スルーされても気にしない（相手の都合を考える）割合,その他該当数,その他割合
全体,全体,180,100.0,117,65.0,89,49.4,44,24.4,44,24.4,33,18.3,7,3.9
児童・生徒別,小学生,77,100.0,51,66.2,42,54.5,16,20.8,16,20.8,12,15.6,4,5.2
児童・生徒別,中学生,69,100.0,53,76.8,31,44.9,19,27.5,14,20.3,16,23.2,2,2.9
児童・生徒別,高校生,34,100.0,13,38.2,16,47.1,9,26.5,14,41.2,5,14.7,1,2.9
子どもの性別,男性,73,100.0,46,63.0,29,39.7,18,24.7,15,20.5,6,8.2,3,4.1
子どもの性別,女性,107,100.0,71,66.4,60,56.1,26,24.3,29,27.1,27,25.2,4,3.7
児童・生徒×子どもの性別,小学生男子,32,100.0,21,65.6,14,43.8,9,28.1,5,15.6,2,6.3,1,3.1
児童・生徒×子どもの性別,小学生女子,45,100.0,30,66.7,28,62.2,7,15.6,11,24.4,10,22.2,3,6.7
児童・生徒×子どもの性別,中学生男子,26,100.0,19,73.1,10,38.5,6,23.1,3,11.5,2,7.7,1,3.8
児童・生徒×子どもの性別,中学生女子,43,100.0,34,79.1,21,48.8,13,30.2,11,25.6,14,32.6,1,2.3
児童・生徒×子どもの性別,高校生男子,15,100.0,6,40.0,5,33.3,3,20.0,7,46.7,2,13.3,1,6.7
児童・生徒×子どもの性別,高校生女子,19,100.0,7,36.8,11,57.9,6,31.6,7,36.8,3,15.8,0,0.0
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,115,100.0,77,67.0,59,51.3,28,24.3,29,25.2,21,18.3,6,5.2
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,15,100.0,6,40.0,7,46.7,5,33.3,5,33.3,2,13.3,0,0.0
携帯電話の購入場所別,家電量販店,31,100.0,24,77.4,16,51.6,5,16.1,9,29.0,7,22.6,0,0.0
携帯電話の購入場所別,インターネット販売,15,100.0,9,60.0,6,40.0,5,33.3,1,6.7,2,13.3,1,6.7
携帯電話の購入場所別,その他,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入場所別,わからない,3,100.0,0,0.0,1,33.3,1,33.3,0,0.0,1,33.3,0,0.0
フィルタリングサービスの加入状況別,加入している,77,100.0,53,68.8,40,51.9,20,26.0,19,24.7,13,16.9,2,2.6
フィルタリングサービスの加入状況別,加入していない,68,100.0,45,66.2,33,48.5,17,25.0,18,26.5,16,23.5,2,2.9
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,26,100.0,14,53.8,15,57.7,5,19.2,6,23.1,4,15.4,3,11.5
フィルタリングサービスの加入状況別,わからない,9,100.0,5,55.6,1,11.1,2,22.2,1,11.1,0,0.0,0,0.0
利用制限サービスの加入状況別,加入している,49,100.0,36,73.5,29,59.2,14,28.6,15,30.6,10,20.4,1,2.0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,27,100.0,15,55.6,14,51.9,7,25.9,7,25.9,7,25.9,0,0.0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,24,100.0,12,50.0,12,50.0,10,41.7,8,33.3,7,29.2,1,4.2
利用制限サービスの加入状況別,わからない,7,100.0,5,71.4,1,14.3,2,28.6,2,28.6,1,14.3,0,0.0
利用状況の管理状態別,利用状況の把握及び監督もできている,101,100.0,71,70.3,54,53.5,25,24.8,28,27.7,24,23.8,7,6.9
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,64,100.0,40,62.5,30,46.9,16,25.0,14,21.9,9,14.1,0,0.0
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,12,100.0,5,41.7,4,33.3,2,16.7,2,16.7,0,0.0,0,0.0
利用状況の管理状態別,子供の利用状況に関心がない,3,100.0,1,33.3,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,その他,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,72,100.0,46,63.9,42,58.3,17,23.6,22,30.6,16,22.2,3,4.2
説明・学習経験別,インターネットで調べた,87,100.0,61,70.1,47,54.0,21,24.1,24,27.6,18,20.7,3,3.4
説明・学習経験別,学校から配布される資料等を読んだ,77,100.0,49,63.6,43,55.8,28,36.4,29,37.7,21,27.3,4,5.2
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,51,100.0,34,66.7,32,62.7,20,39.2,19,37.3,14,27.5,1,2.0
説明・学習経験別,知識のある知人から説明を受けた,15,100.0,10,66.7,9,60.0,10,66.7,7,46.7,3,20.0,0,0.0
説明・学習経験別,販売店等から詳しく説明を受けた,18,100.0,11,61.1,10,55.6,9,50.0,7,38.9,5,27.8,1,5.6
説明・学習経験別,公共施設などで開催された講座に参加した,2,100.0,1,50.0,1,50.0,2,100.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,特に説明を受けたり学習したことはない,20,100.0,12,60.0,6,30.0,1,5.0,4,20.0,3,15.0,1,5.0
説明・学習経験別,その他,2,100.0,1,50.0,1,50.0,0,0.0,1,50.0,0,0.0,1,50.0
