区分１,区分２,該当数計,割合計,契約時から未加入該当数,契約時から未加入割合,当初は加入していたが、解除した該当数,当初は加入していたが、解除した割合,わからない該当数,わからない割合
全体,全体,563,100.0,391,69.4,49,8.7,123,21.8
児童・生徒別,小学生,143,100.0,105,73.4,6,4.2,32,22.4
児童・生徒別,中学生,172,100.0,126,73.3,9,5.2,37,21.5
児童・生徒別,高校生,248,100.0,160,64.5,34,13.7,54,21.8
子どもの性別,男性,296,100.0,211,71.3,26,8.8,59,19.9
子どもの性別,女性,267,100.0,180,67.4,23,8.6,64,24.0
児童・生徒×子どもの性別,小学生男子,65,100.0,45,69.2,3,4.6,17,26.2
児童・生徒×子どもの性別,小学生女子,78,100.0,60,76.9,3,3.8,15,19.2
児童・生徒×子どもの性別,中学生男子,93,100.0,72,77.4,2,2.2,19,20.4
児童・生徒×子どもの性別,中学生女子,79,100.0,54,68.4,7,8.9,18,22.8
児童・生徒×子どもの性別,高校生男子,138,100.0,94,68.1,21,15.2,23,16.7
児童・生徒×子どもの性別,高校生女子,110,100.0,66,60.0,13,11.8,31,28.2
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,330,100.0,220,66.7,32,9.7,78,23.6
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,40,100.0,25,62.5,5,12.5,10,25.0
携帯電話の購入場所別,家電量販店,116,100.0,81,69.8,11,9.5,24,20.7
携帯電話の購入場所別,インターネット販売,60,100.0,51,85.0,0,0.0,9,15.0
携帯電話の購入場所別,その他,13,100.0,12,92.3,0,0.0,1,7.7
携帯電話の購入場所別,わからない,4,100.0,2,50.0,1,25.0,1,25.0
フィルタリングサービスの加入状況別,加入している,0,0.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,加入していない,563,100.0,391,69.4,49,8.7,123,21.8
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,0,0.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,わからない,0,0.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入している,35,100.0,19,54.3,7,20.0,9,25.7
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,74,100.0,60,81.1,6,8.1,8,10.8
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,251,100.0,185,73.7,25,10.0,41,16.3
利用制限サービスの加入状況別,わからない,18,100.0,6,33.3,2,11.1,10,55.6
利用状況の管理状態別,利用状況の把握及び監督もできている,194,100.0,149,76.8,13,6.7,32,16.5
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,253,100.0,173,68.4,23,9.1,57,22.5
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,85,100.0,50,58.8,10,11.8,25,29.4
利用状況の管理状態別,子供の利用状況に関心がない,27,100.0,15,55.6,3,11.1,9,33.3
利用状況の管理状態別,その他,4,100.0,4,100.0,0,0.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,208,100.0,151,72.6,17,8.2,40,19.2
説明・学習経験別,インターネットで調べた,203,100.0,147,72.4,21,10.3,35,17.2
説明・学習経験別,学校から配布される資料等を読んだ,188,100.0,127,67.6,20,10.6,41,21.8
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,112,100.0,73,65.2,16,14.3,23,20.5
説明・学習経験別,知識のある知人から説明を受けた,18,100.0,11,61.1,3,16.7,4,22.2
説明・学習経験別,販売店等から詳しく説明を受けた,19,100.0,13,68.4,3,15.8,3,15.8
説明・学習経験別,公共施設などで開催された講座に参加した,3,100.0,2,66.7,1,33.3,0,0.0
説明・学習経験別,特に説明を受けたり学習したことはない,127,100.0,87,68.5,5,3.9,35,27.6
説明・学習経験別,その他,6,100.0,6,100.0,0,0.0,0,0.0
