区分１,区分２,該当数計,割合計,ｉｏｓ（ｉｐｈｏｎｅ）該当数,ｉｏｓ（ｉｐｈｏｎｅ）割合,Ａｎｄｒｏiｄ該当数,Ａｎｄｒｏiｄ割合,その他該当数,その他割合
全体,全体,990,100.0,531,53.6,452,45.7,7,0.7
児童・生徒別,小学生,134,100.0,55,41.0,77,57.5,2,1.5
児童・生徒別,中学生,378,100.0,180,47.6,193,51.1,5,1.3
児童・生徒別,高校生,478,100.0,296,61.9,182,38.1,0,0.0
子供の性別,男性,495,100.0,268,54.1,227,45.9,0,0.0
子供の性別,女性,495,100.0,263,53.1,225,45.5,7,1.4
児童・生徒×子供の性別,小学生男子,56,100.0,25,44.6,31,55.4,0,0.0
児童・生徒×子供の性別,小学生女子,78,100.0,30,38.5,46,59.0,2,2.6
児童・生徒×子供の性別,中学生男子,183,100.0,86,47.0,97,53.0,0,0.0
児童・生徒×子供の性別,中学生女子,195,100.0,94,48.2,96,49.2,5,2.6
児童・生徒×子供の性別,高校生男子,256,100.0,157,61.3,99,38.7,0,0.0
児童・生徒×子供の性別,高校生女子,222,100.0,139,62.6,83,37.4,0,0.0
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,577,100.0,354,61.4,220,38.1,3,0.5
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,96,100.0,45,46.9,49,51.0,2,2.1
携帯電話の購入所別,家電量販店,184,100.0,94,51.1,90,48.9,0,0.0
携帯電話の購入所別,インターネット販売,93,100.0,18,19.4,73,78.5,2,2.2
携帯電話の購入所別,その他,23,100.0,10,43.5,13,56.5,0,0.0
携帯電話の購入所別,わからない,17,100.0,10,58.8,7,41.2,0,0.0
フィルタリングサービスの加入状況別,加入している,364,100.0,193,53.0,170,46.7,1,0.3
フィルタリングサービスの加入状況別,加入していない,428,100.0,225,52.6,202,47.2,1,0.2
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,26,100.0,10,38.5,13,50.0,3,11.5
フィルタリングサービスの加入状況別,わからない,172,100.0,103,59.9,67,39.0,2,1.2
利用制限サービスの加入状況別,加入している,261,100.0,126,48.3,133,51.0,2,0.8
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,106,57.9,76,41.5,1,0.5
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,176,55.3,141,44.3,1,0.3
利用制限サービスの加入状況別,わからない,85,100.0,52,61.2,33,38.8,0,0.0
利用状況の管理状態別,利用状況の把握及び監督もできている,286,100.0,140,49.0,142,49.7,4,1.4
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,504,100.0,268,53.2,234,46.4,2,0.4
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,141,100.0,83,58.9,57,40.4,1,0.7
利用状況の管理状態別,子供の利用状況に関心がない,53,100.0,36,67.9,17,32.1,0,0.0
利用状況の管理状態別,その他,6,100.0,4,66.7,2,33.3,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,351,100.0,193,55.0,156,44.4,2,0.6
説明・学習経験別,インターネットで調べた,336,100.0,181,53.9,153,45.5,2,0.6
説明・学習経験別,学校から配布される資料等を読んだ,357,100.0,178,49.9,177,49.6,2,0.6
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,230,100.0,122,53.0,108,47.0,0,0.0
説明・学習経験別,知識のある知人から説明を受けた,41,100.0,23,56.1,18,43.9,0,0.0
説明・学習経験別,販売店等から詳しく説明をうけた,65,100.0,32,49.2,33,50.8,0,0.0
説明・学習経験別,公共施設などで開催された講座に参加した,15,100.0,7,46.7,8,53.3,0,0.0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,214,100.0,127,59.3,84,39.3,3,1.4
説明・学習経験別,その他,9,100.0,3,33.3,6,66.7,0,0.0
