区分１,区分２,該当数計,割合計,友達が使用していると、つられて使用してしまうから該当数,友達が使用していると、つられて使用してしまうから割合,ルールが厳しすぎるから該当数,ルールが厳しすぎるから割合,まじめに守ると友人関係に影響があるから該当数,まじめに守ると友人関係に影響があるから割合,友達同士でも、塾などで生活リズムが異なるから該当数,友達同士でも、塾などで生活リズムが異なるから割合,家庭環境が違うから該当数,家庭環境が違うから割合,その他該当数,その他割合
全体,全体,10,100.0,5,50.0,1,10.0,3,30.0,3,30.0,0,0.0,0,0.0
児童・生徒別,小学生,4,100.0,2,50.0,0,0.0,1,25.0,2,50.0,0,0.0,0,0.0
児童・生徒別,中学生,4,100.0,3,75.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0
児童・生徒別,高校生,2,100.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0
子どもの性別,男性,7,100.0,3,42.9,1,14.3,3,42.9,2,28.6,0,0.0,0,0.0
子どもの性別,女性,3,100.0,2,66.7,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0
児童・生徒×子どもの性別,小学生男子,4,100.0,2,50.0,0,0.0,1,25.0,2,50.0,0,0.0,0,0.0
児童・生徒×子どもの性別,小学生女子,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒×子どもの性別,中学生男子,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒×子どもの性別,中学生女子,3,100.0,2,66.7,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0
児童・生徒×子どもの性別,高校生男子,2,100.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0
児童・生徒×子どもの性別,高校生女子,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,9,100.0,5,55.6,1,11.1,3,33.3,2,22.2,0,0.0,0,0.0
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入場所別,家電量販店,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
携帯電話の購入場所別,インターネット販売,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入場所別,その他,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入場所別,わからない,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,加入している,2,100.0,1,50.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,加入していない,5,100.0,4,80.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,わからない,2,100.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入している,4,100.0,2,50.0,1,25.0,1,25.0,2,50.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,わからない,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,利用状況の把握及び監督もできている,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,7,100.0,3,42.9,1,14.3,2,28.6,3,42.9,0,0.0,0,0.0
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,2,100.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,子供の利用状況に関心がない,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,その他,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,3,100.0,2,66.7,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0
説明・学習経験別,インターネットで調べた,3,100.0,2,66.7,1,33.3,1,33.3,1,33.3,0,0.0,0,0.0
説明・学習経験別,学校から配布される資料等を読んだ,3,100.0,1,33.3,0,0.0,1,33.3,1,33.3,0,0.0,0,0.0
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,知識のある知人から説明を受けた,3,100.0,2,66.7,1,33.3,1,33.3,1,33.3,0,0.0,0,0.0
説明・学習経験別,販売店等から詳しく説明を受けた,2,100.0,1,50.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0
説明・学習経験別,公共施設などで開催された講座に参加した,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,特に説明を受けたり学習したことはない,2,100.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
説明・学習経験別,その他,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
