区分１,区分２,該当数計,割合計,男子該当数,男子割合,女子該当数,女子割合
全体,全体,1500,100.0,1015,67.7,485,32.3
児童・生徒別,小学生,500,100.0,323,64.6,177,35.4
児童・生徒別,中学生,500,100.0,334,66.8,166,33.2
児童・生徒別,高校生,500,100.0,358,71.6,142,28.4
子供の性別,男性,745,100.0,526,70.6,219,29.4
子供の性別,女性,755,100.0,489,64.8,266,35.2
児童・生徒×子供の性別,小学生男子,232,100.0,155,66.8,77,33.2
児童・生徒×子供の性別,小学生女子,268,100.0,168,62.7,100,37.3
児童・生徒×子供の性別,中学生男子,244,100.0,174,71.3,70,28.7
児童・生徒×子供の性別,中学生女子,256,100.0,160,62.5,96,37.5
児童・生徒×子供の性別,高校生男子,269,100.0,197,73.2,72,26.8
児童・生徒×子供の性別,高校生女子,231,100.0,161,69.7,70,30.3
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,632,66.9,312,33.1
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,131,100.0,89,67.9,42,32.1
携帯電話の購入所別,家電量販店,273,100.0,191,70.0,82,30.0
携帯電話の購入所別,インターネット販売,96,100.0,61,63.5,35,36.5
携帯電話の購入所別,その他,31,100.0,26,83.9,5,16.1
携帯電話の購入所別,わからない,25,100.0,16,64.0,9,36.0
フィルタリングサービスの加入状況別,加入している,459,100.0,306,66.7,153,33.3
フィルタリングサービスの加入状況別,加入している,563,100.0,409,72.6,154,27.4
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,151,60.6,98,39.4
フィルタリングサービスの加入状況別,わからない,229,100.0,149,65.1,80,34.9
利用制限サービスの加入状況別,加入している,261,100.0,177,67.8,84,32.2
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,122,66.7,61,33.3
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,232,73.0,86,27.0
利用制限サービスの加入状況別,わからない,85,100.0,52,61.2,33,38.8
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,389,67.8,185,32.2
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,443,65.7,231,34.3
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,124,72.9,46,27.1
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,55,75.3,18,24.7
利用状況の管理状態別,その他,9,100.0,4,44.4,5,55.6
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,388,69.5,170,30.5
説明・学習経験別,インターネットで調べた,505,100.0,395,78.2,110,21.8
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,267,49.2,276,50.8
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,155,44.8,191,55.2
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,41,69.5,18,30.5
説明・学習経験別,販売店等から詳しく説明をうけた,88,100.0,70,79.5,18,20.5
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,14,66.7,7,33.3
説明・学習経験別,特に説明をうけたり学習したりしたことはない,334,100.0,262,78.4,72,21.6
説明・学習経験別,その他,11,100.0,9,81.8,2,18.2
