区分１,区分２,該当数計,割合計,メールが原因で友達とトラブルになった該当数,メールが原因で友達とトラブルになった割合,無料アプリやコミュニケーションアプリが原因で友達等とトラブルになった該当数,無料アプリやコミュニケーションアプリが原因で、友達等とトラブルになった割合,メールで誹謗中傷、チェーンメールなどが届いた該当数,メールで誹謗中傷、チェーンメールなどが届いた割合,身に覚えのない料金請求のメールが届いた該当数,身に覚えのない料金請求のメールが届いた割合,無断で携帯・スマホ向けの有料ゲームを利用する等により、多額の請求が届いた該当数,無断で携帯・スマホ向けの有料ゲームを利用する等により、多額の請求が届いた割合,歩きスマホ等により何らかのトラブルにあった該当数,歩きスマホ等により何らかのトラブルにあった割合,個人情報を知られた（盗まれた）該当数,個人情報を知られた（盗まれた）割合,掲示板等に個人の誹謗中傷などの書き込みをされた該当数,掲示板等に個人の誹謗中傷などの書き込みをされた割合,下着姿や裸の写真を撮ったり送ったりしていた該当数,下着姿や裸の写真を撮ったり送ったりしていた割合,ネット上で知り合った人と会う約束をしたり、実際に会う等をしていた該当数,ネット上で知り合った人と会う約束をしたり、実際に会う等をしていた割合,その他該当数,その他割合
全体,全体,145,100.0,40,27.6,39,26.9,23,15.9,28,19.3,9,6.2,11,7.6,3,2.1,5,3.4,0,0.0,5,3.4,37,25.5
児童・生徒別,小学生,37,100.0,13,35.1,8,21.6,8,21.6,4,10.8,3,8.1,3,8.1,0,0.0,1,2.7,0,0.0,1,2.7,13,35.1
児童・生徒別,中学生,68,100.0,17,25.0,20,29.4,12,17.6,15,22.1,4,5.9,5,7.4,3,4.4,3,4.4,0,0.0,1,1.5,15,22.1
児童・生徒別,高校生,40,100.0,10,25.0,11,27.5,3,7.5,9,22.5,2,5.0,3,7.5,0,0.0,1,2.5,0,0.0,3,7.5,9,22.5
子供の性別,男性,88,100.0,21,23.9,26,29.5,13,14.8,18,20.5,8,9.1,10,11.4,1,1.1,4,4.5,0,0.0,3,3.4,23,26.1
子供の性別,女性,57,100.0,19,33.3,13,22.8,10,17.5,10,17.5,1,1.8,1,1.8,2,3.5,1,1.8,0,0.0,2,3.5,14,24.6
児童・生徒×子供の性別,小学生男子,20,100.0,5,25.0,7,35.0,5,25.0,4,20.0,2,10.0,3,15.0,0,0.0,1,5.0,0,0.0,1,5.0,8,40.0
児童・生徒×子供の性別,小学生女子,17,100.0,8,47.1,1,5.9,3,17.6,0,0.0,1,5.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,29.4
児童・生徒×子供の性別,中学生男子,43,100.0,10,23.3,14,32.6,6,14.0,7,16.3,4,9.3,4,9.3,1,2.3,2,4.7,0,0.0,1,2.3,10,23.3
児童・生徒×子供の性別,中学生女子,25,100.0,7,28.0,6,24.0,6,24.0,8,32.0,0,0.0,1,4.0,2,8.0,1,4.0,0,0.0,0,0.0,5,20.0
児童・生徒×子供の性別,高校生男子,25,100.0,6,24.0,5,20.0,2,8.0,7,28.0,2,8.0,3,12.0,0,0.0,1,4.0,0,0.0,1,4.0,5,20.0
児童・生徒×子供の性別,高校生女子,15,100.0,4,26.7,6,40.0,1,6.7,2,13.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,13.3,4,26.7
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,88,100.0,24,27.3,25,28.4,15,17.0,19,21.6,6,6.8,5,5.7,2,2.3,1,1.1,0,0.0,4,4.5,20,22.7
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,12,100.0,4,33.3,4,33.3,2,16.7,2,16.7,1,8.3,2,16.7,0,0.0,1,8.3,0,0.0,0,0.0,2,16.7
携帯電話の購入所別,家電量販店,30,100.0,7,23.3,6,20.0,4,13.3,6,20.0,0,0.0,3,10.0,1,3.0,2,6.7,0,0.0,0,0.0,10,33.3
携帯電話の購入所別,インターネット販売,11,100.0,3,27.3,3,27.3,1,9.1,1,9.1,2,18.2,1,9.1,0,0.0,1,9.1,0,0.0,0,0.0,4,36.4
携帯電話の購入所別,その他,3,100.0,1,33.3,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.3,1,33.3
携帯電話の購入所別,わからない,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,加入している,56,100.0,13,23.2,22,39.3,10,17.9,12,21.4,3,5.4,5,5.9,2,3.6,0,0.0,0,0.0,1,1.8,15,26.8
フィルタリングサービスの加入状況別,加入していない,52,100.0,16,30.8,13,25.0,7,13.5,10,19.2,3,5.8,5,9.6,0,0.0,4,7.7,0,0.0,4,7.7,11,21.2
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,17,100.0,6,35.3,3,17.6,5,29.4,1,5.9,1,5.9,1,5.9,1,5.9,1,5.9,0,0.0,0,0.0,4,23.5
フィルタリングサービスの加入状況別,わからない,20,100.0,5,25.0,1,5.0,1,5.0,5,25.0,2,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,35.0
利用制限サービスの加入状況別,加入している,40,100.0,9,22.5,16,40.0,7,17.5,8,20.0,3,7.5,4,10.0,0,0.0,0,0.0,0,0.0,1,2.5,9,22.5
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,30,100.0,7,23.3,11,36.7,10,33.3,6,20.0,2,6.7,3,10.0,2,6.7,2,6.7,0,0.0,2,6.7,8,26.7
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,26,100.0,9,34.6,5,19.2,2,7.7,9,34.6,3,11.5,2,7.7,0,0.0,2,7.7,0,0.0,0,0.0,3,11.5
利用制限サービスの加入状況別,わからない,7,100.0,1,14.3,5,71.4,0,0.0,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.3,1,14.3
利用状況の管理状態別,利用状況の把握及び監督もできている,43,100.0,10,23.3,10,23.3,8,18.6,6,14.0,0,0.0,2,4.7,2,4.7,2,4.7,0,0.0,1,2.3,15,34.9
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,69,100.0,22,31.9,23,33.3,10,14.5,15,21.7,5,7.2,8,11.6,1,1.4,1,1.4,0,0.0,2,2.9,15,21.7
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,24,100.0,4,16.7,4,16.7,5,20.8,5,20.8,3,12.5,1,4.2,0,0.0,1,4.2,0,0.0,1,4.2,6,25.0
利用状況の管理状態別,子供の利用状況に関心がない,7,100.0,4,57.1,2,28.6,0,0.0,1,14.3,1,14.3,0,0.0,0,0.0,1,14.3,0,0.0,1,14.3,0,0.0
利用状況の管理状態別,その他,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,53,100.0,11,20.8,15,28.3,10,18.9,10,18.9,2,3.8,2,3.8,2,3.8,3,5.7,0,0.0,3,5.7,15,28.3
説明・学習経験別,インターネットで調べた,68,100.0,19,27.9,18,26.5,13,19.1,12,17.6,5,7.4,8,11.8,1,1.5,4,5.9,0,0.0,2,2.9,17,25.0
説明・学習経験別,学校から配布される資料等を読んだ,54,100.0,13,24.1,15,27.8,10,18.5,8,14.8,4,7.4,7,13.0,1,1.9,3,5.6,0,0.0,1,1.9,17,31.5
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,36,100.0,11,30.6,10,27.8,6,16.7,6,16.7,2,5.6,6,16.7,1,2.8,0,0.0,0,0.0,2,5.6,12,33.3
説明・学習経験別,知識のある知人から説明を受けた,9,100.0,4,44.4,2,22.2,1,11.1,3,3.3,3,33.3,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0,1,11.1
説明・学習経験別,販売店等から詳しく説明をうけた,9,100.0,4,44.4,2,22.2,0,0.0,4,44.4,2,22.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,33.3
説明・学習経験別,公共施設などで開催された講座に参加した,3,100.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.3
説明・学習経験別,特に説明をうけたり学習したりしたことはない,21,100.0,6,28.6,6,28.6,3,14.3,3,14.3,3,14.3,0,0.0,1,4.8,1,4.8,0,0.0,0,0.0,3,14.3
説明・学習経験別,その他,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
