区分１,区分２,該当数計,割合計,守られている該当数,守られている割合,だいたい守られている該当数,だいたい守られている割合,あまり守られていない該当数,あまり守られていない割合,守られていない該当数,守られていない割合,わからない該当数,わからない割合
全体,全体,180,100.0,76,42.2,83,46.1,8,4.4,2,1.1,11,6.1
児童・生徒別,小学生,77,100.0,42,54.5,25,32.5,2,2.6,2,2.6,6,7.8
児童・生徒別,中学生,69,100.0,27,39.1,36,52.2,4,5.8,0,0.0,2,2.9
児童・生徒別,高校生,34,100.0,7,20.6,22,64.7,2,5.9,0,0.0,3,8.8
子どもの性別,男性,73,100.0,25,34.2,36,49.3,5,6.8,2,2.7,5,6.8
子どもの性別,女性,107,100.0,51,47.7,47,43.9,3,2.8,0,0.0,6,5.6
児童・生徒×子どもの性別,小学生男子,32,100.0,14,43.8,13,40.6,2,6.3,2,6.3,1,3.2
児童・生徒×子どもの性別,小学生女子,45,100.0,28,62.2,12,26.7,0,0.0,0,0.0,5,11.1
児童・生徒×子どもの性別,中学生男子,26,100.0,7,26.9,16,61.5,1,3.8,0,0.0,2,7.7
児童・生徒×子どもの性別,中学生女子,43,100.0,20,46.5,20,46.5,3,7.0,0,0.0,0,0.0
児童・生徒×子どもの性別,高校生男子,15,100.0,4,26.7,7,46.7,2,13.3,0,0.0,2,13.3
児童・生徒×子どもの性別,高校生女子,19,100.0,3,15.8,15,78.9,0,0.0,0,0.0,1,5.3
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,115,100.0,55,47.8,47,40.9,7,6.1,2,1.7,4,3.5
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,15,100.0,2,13.3,11,73.3,0,0.0,0,0.0,2,13.3
携帯電話の購入場所別,家電量販店,31,100.0,9,29.0,17,54.8,1,3.2,0,0.0,4,12.9
携帯電話の購入場所別,インターネット販売,15,100.0,8,53.3,6,40.0,0,0.0,0,0.0,1,6.7
携帯電話の購入場所別,その他,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入場所別,わからない,3,100.0,1,33.3,2,66.7,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,加入している,77,100.0,35,45.5,36,46.8,1,1.3,1,1.3,4,5.2
フィルタリングサービスの加入状況別,加入していない,68,100.0,25,36.8,35,51.5,5,7.4,0,0.0,3,4.4
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,26,100.0,13,50.0,8,30.8,1,3.8,0,0.0,4,15.4
フィルタリングサービスの加入状況別,わからない,9,100.0,3,33.3,4,44.4,1,11.1,1,11.1,0,0.0
利用制限サービスの加入状況別,加入している,49,100.0,18,36.7,24,49.0,3,6.1,1,2.0,3,6.1
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,27,100.0,10,37.0,16,59.3,1,3.7,0,0.0,0,0.0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,24,100.0,9,37.5,12,50.0,1,4.2,0,0.0,2,8.3
利用制限サービスの加入状況別,わからない,7,100.0,3,42.9,4,57.1,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,利用状況の把握及び監督もできている,101,100.0,59,58.4,39,38.6,1,1.0,0,0.0,2,2.0
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,64,100.0,15,23.4,39,60.9,5,7.8,2,3.1,3,4.7
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,12,100.0,2,16.7,4,33.3,2,16.7,0,0.0,4,33.3
利用状況の管理状態別,子供の利用状況に関心がない,3,100.0,0,0.0,1,33.3,0,0.0,0,0.0,2,66.7
利用状況の管理状態別,その他,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,72,100.0,38,52.8,27,37.5,3,4.2,0,0.0,4,5.6
説明・学習経験別,インターネットで調べた,87,100.0,38,43.7,42,48.3,2,2.3,1,1.1,4,4.6
説明・学習経験別,学校から配布される資料等を読んだ,77,100.0,35,45.5,37,48.1,2,2.6,1,1.3,2,2.6
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,51,100.0,25,49.0,24,47.1,1,2.0,0,0.0,1,2.0
説明・学習経験別,知識のある知人から説明を受けた,15,100.0,7,46.7,5,33.3,2,13.3,1,6.7,0,0.0
説明・学習経験別,販売店等から詳しく説明を受けた,18,100.0,7,38.9,9,50.0,1,5.6,1,5.6,0,0.0
説明・学習経験別,公共施設などで開催された講座に参加した,2,100.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,特に説明を受けたり学習したことはない,20,100.0,7,35.0,8,40.0,2,10.0,0,0.0,3,15.0
説明・学習経験別,その他,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0
