区分１,区分２,該当数計,割合計,子供から相談があった該当数,子供から相談があった割合,子供の様子がおかしいため質問した等、コミュニケーションをとる上で発見した該当数,子供の様子がおかしいため質問した等、コミュニケーションをとる上で発見した割合,子供の携帯電話等を見た、請求書が届いたこと等により発見した該当数,子供の携帯電話等を見た、請求書が届いたこと等により発見した割合,学校や子供の友人等、第三者・第三機関から連絡や相談があった該当数,学校や子供の友人等、第三者・第三機関から連絡や相談があった割合,その他該当数,その他割合
全体,全体,145,100.0,58,40.0,34,23.4,17,11.7,19,13.1,17,11.7
児童・生徒別,小学生,37,100.0,16,43.2,112,32.4,1,2.7,3,8.1,5,13.5
児童・生徒別,中学生,68,100.0,24,35.3,14,20.6,12,17.6,10,14.7,8,11.8
児童・生徒別,高校生,40,100.0,18,45.0,8,20.0,4,10.0,6,15.0,4,10.0
子供の性別,男性,88,100.0,30,34.1,22,25.0,13,14.8,10,11.4,13,14.8
子供の性別,女性,57,100.0,28,49.1,12,21.1,4,7.0,9,15.8,4,7.0
児童・生徒×子供の性別,小学生男子,20,100.0,8,40.0,6,30.0,1,5.0,1,5.0,4,20.0
児童・生徒×子供の性別,小学生女子,17,100.0,8,47.1,6,35.3,0,0.0,2,11.8,1,5.9
児童・生徒×子供の性別,中学生男子,43,100.0,10,23.3,11,25.6,10,23.3,6,14.0,6,14.0
児童・生徒×子供の性別,中学生女子,25,100.0,14,56.0,3,12.0,2,8.0,4,16.0,2,8.0
児童・生徒×子供の性別,高校生男子,25,100.0,12,48.0,5,20.0,2,8.0,3,12.0,3,12.0
児童・生徒×子供の性別,高校生女子,15,100.0,6,40.0,3,20.0,2,13.3,3,20.0,1,6.7
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,88,100.0,45,51.1,18,20.5,7,8.0,10,11.4,8,9.1
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,12,100.0,1,8.3,5,41.7,2,16.7,2,16.7,2,16.7
携帯電話の購入所別,家電量販店,30,100.0,7,23.3,10,33.3,4,13.3,4,13.3,5,16.7
携帯電話の購入所別,インターネット販売,11,100.0,4,36.4,1,9.1,3,27.3,2,18.2,1,9.1
携帯電話の購入所別,その他,3,100.0,1,33.3,0,0.0,1,33.3,0,0.0,1,33.3
携帯電話の購入所別,わからない,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
フィルタリングサービスの加入状況別,加入している,56,100.0,22,39.3,19,33.9,5,8.9,5,8.9,5,8.9
フィルタリングサービスの加入状況別,加入していない,52,100.0,22,42.3,11,21.2,5,9.6,8,15.4,6,11.5
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,17,100.0,9,52.9,2,11.8,3,17.6,0,0.0,3,17.6
フィルタリングサービスの加入状況別,わからない,20,100.0,5,25.0,2,10.0,4,20.0,6,30.0,3,15.0
利用制限サービスの加入状況別,加入している,40,100.0,11,27.5,18,45.0,4,10.0,4,10.0,3,7.5
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,30,100.0,14,46.7,5,16.7,5,16.7,4,13.3,2,6.7
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,26,100.0,13,50.0,4,15.4,3,11.5,5,19.2,1,3.8
利用制限サービスの加入状況別,わからない,7,100.0,1,14.3,1,14.3,1,14.3,2,28.6,2,28.6
利用状況の管理状態別,利用状況の把握及び監督もできている,43,100.0,20,46.5,8,18.6,4,9.3,4,9.3,7,16.3
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,69,100.0,26,37.7,21,30.4,6,8.7,10,14.5,6,8.7
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,24,100.0,9,37.5,4,16.7,5,20.8,3,12.5,3,12.5
利用状況の管理状態別,子供の利用状況に関心がない,7,100.0,3,42.9,1,14.3,1,14.3,2,28.6,0,0.0
利用状況の管理状態別,その他,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,53,100.0,22,41.5,12,22.6,7,13.2,6,11.3,6,11.3
説明・学習経験別,インターネットで調べた,68,100.0,32,47.1,19,27.9,3,4.4,8,11.8,6,8.8
説明・学習経験別,学校から配布される資料等を読んだ,54,100.0,19,35.2,18,33.3,3,5.6,7,13.0,7,13.0
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,36,100.0,12,33.3,9,25.0,3,8.3,7,19.4,5,13.9
説明・学習経験別,知識のある知人から説明を受けた,9,100.0,1,11.1,3,33.3,2,22.2,2,22.2,1,11.1
説明・学習経験別,販売店等から詳しく説明をうけた,9,100.0,2,22.2,2,22.2,2,22.2,2,22.2,1,11.1
説明・学習経験別,公共施設などで開催された講座に参加した,3,100.0,0,0.0,1,33.3,0,0.0,1,33.3,1,33.3
説明・学習経験別,特に説明をうけたり学習したりしたことはない,21,100.0,7,33.3,4,19.0,5,23.8,3,14.3,2,9.5
説明・学習経験別,その他,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
