区分１,区分２,該当数計,割合計,友達が使用していると、つられて使用してしまうから該当数,友達が使用していると、つられて使用してしまうから割合,ルールが厳しすぎるから該当数,ルールが厳しすぎるから割合,親と子供で決めたいルールが異なるから該当数,親と子供で決めたいルールが異なるから割合,親が子供を見張るようなことができない（したくない）から該当数,親が子供を見張るようなことができない（したくない）から割合,その他該当数,その他割合
全体,全体,147,100.0,61,41.5,15,10.2,34,23.1,54,36.7,12,8.2
児童・生徒別,小学生,30,100.0,11,36.7,4,13.3,11,36.7,7,23.3,4,13.3
児童・生徒別,中学生,78,100.0,37,47.4,7,9.0,15,19.2,29,37.2,6,7.7
児童・生徒別,高校生,39,100.0,13,33.3,4,10.3,8,20.5,18,46.2,2,5.1
子どもの性別,男性,81,100.0,27,33.3,7,8.6,19,23.5,32,39.5,9,11.1
子どもの性別,女性,66,100.0,34,51.5,8,12.1,15,22.7,22,33.3,3,4.5
児童・生徒×子どもの性別,小学生男子,16,100.0,3,18.8,2,12.5,8,50.0,3,18.8,3,18.8
児童・生徒×子どもの性別,小学生女子,14,100.0,8,57.1,2,14.3,3,21.4,4,28.6,1,7.1
児童・生徒×子どもの性別,中学生男子,44,100.0,20,45.5,4,9.1,8,18.2,17,38.6,4,9.1
児童・生徒×子どもの性別,中学生女子,34,100.0,17,50.0,3,8.8,7,20.6,12,35.3,2,5.9
児童・生徒×子どもの性別,高校生男子,21,100.0,4,19.0,1,4.8,3,14.3,12,57.1,2,9.5
児童・生徒×子どもの性別,高校生女子,18,100.0,9,50.0,3,16.7,5,27.8,6,33.3,0,0.0
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,85,100.0,32,37.6,10,11.8,21,24.7,31,36.5,5,5.9
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,16,100.0,5,31.3,3,18.8,1,6.3,5,31.3,3,18.8
携帯電話の購入場所別,家電量販店,28,100.0,14,50.0,1,3.6,8,28.6,12,42.9,1,3.6
携帯電話の購入場所別,インターネット販売,14,100.0,7,50.0,1,7.1,3,21.4,5,35.7,3,21.4
携帯電話の購入場所別,その他,3,100.0,2,66.7,0,0.0,1,33.3,1,33.3,0,0.0
携帯電話の購入場所別,わからない,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,加入している,60,100.0,31,51.7,7,11.7,14,23.3,17,28.3,6,10.0
フィルタリングサービスの加入状況別,加入していない,45,100.0,15,33.3,3,6.7,11,24.4,17,37.8,3,6.7
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,16,100.0,5,31.3,4,25.0,5,31.3,5,31.3,2,12.5
フィルタリングサービスの加入状況別,わからない,26,100.0,10,38.5,1,3.8,4,15.4,15,57.7,1,3.8
利用制限サービスの加入状況別,加入している,41,100.0,24,58.5,6,14.6,9,22.0,12,29.3,3,7.3
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,31,100.0,12,38.7,2,6.5,6,19.4,15,48.4,1,3.2
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,27,100.0,12,44.4,3,11.1,6,22.2,8,29.6,3,11.1
利用制限サービスの加入状況別,わからない,12,100.0,4,33.3,0,0.0,3,25.0,6,50.0,0,0.0
利用状況の管理状態別,利用状況の把握及び監督もできている,26,100.0,9,34.6,3,11.5,0,26.9,3,11.5,10,38.5
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,92,100.0,40,43.5,8,8.7,22,23.9,38,41.3,1,1.1
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,28,100.0,12,42.9,4,14.3,5,17.9,12,42.9,1,3.6
利用状況の管理状態別,子供の利用状況に関心がない,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
利用状況の管理状態別,その他,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,59,100.0,24,40.7,7,11.9,16,27.1,21,35.6,3,5.1
説明・学習経験別,インターネットで調べた,48,100.0,21,43.8,7,14.9,13,27.1,18,37.5,5,10.4
説明・学習経験別,学校から配布される資料等を読んだ,64,100.0,27,42.2,6,9.4,10,15.6,24,37.5,6,9.4
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,48,100.0,17,35.4,5,10.4,7,14.6,21,43.8,5,10.4
説明・学習経験別,知識のある知人から説明を受けた,9,100.0,5,55.6,2,22.2,4,44.4,3,33.3,0,0.0
説明・学習経験別,販売店等から詳しく説明を受けた,17,100.0,13,76.5,4,23.5,4,23.5,4,23.5,2,11.8
説明・学習経験別,公共施設などで開催された講座に参加した,2,100.0,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0
説明・学習経験別,特に説明を受けたり学習したことはない,22,100.0,9,40.9,0,0.0,5,22.7,10,45.5,1,4.5
説明・学習経験別,その他,2,100.0,1,50.0,0,0.0,0,0.0,1,50.0,1,50.0
