区分１,区分２,該当数計（人）,割合計（％）,３０分未満該当数（人）,３０分未満割合（％）,３０分以上１時間未満該当数（人）,３０分以上１時間未満割合（％）,１時間以上２時間未満該当数（人）,１時間以上２時間未満割合（％）,２時間以上３時間未満該当数（人）,２時間以上３時間未満割合（％）,３時間以上４時間未満該当数（人）,３時間以上４時間未満割合（％）,４時間以上５時間未満該当数（人）,４時間以上５時間未満割合（％）,５時間以上該当数（人）,５時間以上割合（％）
全体,全体,1500,100.0,370,24.7,368,24.5,434,28.9,199,13.3,76,5.1,20,1.3,33,2.2
お子さんの利用している携帯電話等タイプ別,携帯電話（ガラホ、ＰＨＳ、キッズケータイも含む）,510,100.0,142,27.8,140,27.5,128,25.1,61,12.0,24,4.7,4,0.8,11,2.2
お子さんの利用している携帯電話等タイプ別,スマートフォン,971,100.0,224,23.1,225,23.2,299,30.8,136,14.0,51,5.3,15,1.5,21,2.2
お子さんの利用している携帯電話等タイプ別,両方利用している,19,100.0,4,21.1,3,15.8,7,36.8,2,10.5,1,5.3,1,5.3,1,5.3
お子さんの利用している携帯電話等タイプ別,利用していない,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
お子さんの携帯電話の利用時間別,３０分未満,543,100.0,172,31.7,145,26.7,129,23.8,59,10.9,22,4.1,7,1.3,9,1.7
お子さんの携帯電話の利用時間別,３０分以上１時間未満,199,100.0,48,24.1,79,39.7,58,29.1,10,5.0,3,1.5,1,0.5,0,0.0
お子さんの携帯電話の利用時間別,１時間以上２時間未満,254,100.0,44,17.3,56,22.0,101,39.8,34,13.4,13,5.1,1,0.4,5,2.0
お子さんの携帯電話の利用時間別,２時間以上３時間未満,192,100.0,31,16.1,32,16.7,59,30.7,48,25.0,18,9.4,1,0.5,3,1.6
お子さんの携帯電話の利用時間別,３時間以上４時間未満,77,100.0,15,19.5,8,10.4,21,27.3,19,24.7,12,15.6,0,0.0,2,2.6
お子さんの携帯電話の利用時間別,４時間以上５時間未満,31,100.0,3,9.7,4,12.9,10,32.3,7,22.6,3,9.7,3,9.7,1,3.2
お子さんの携帯電話の利用時間別,５時間以上,44,100.0,9,20.5,7,15.9,12,27.3,4,9.1,3,6.8,3,6.8,6,13.6
お子さんの携帯電話の利用時間別,わからない,160,100.0,48,30.0,37,23.1,44,27.5,18,11.3,2,1.3,4,2.5,7,4.4
