区分１,区分２,該当数計,割合計,２０代該当数,２０代割合,３０代該当数,３０代割合,４０代該当数,４０代割合,５０代該当数,５０代割合,６０代以上該当数,６０代以上割合
全体,全体,1500,100.0,4,0.3,132,8.8,937,62.5,410,27.3,17,1.1
児童・生徒別,小学生,500,100.0,4,0.8,94,18.8,319,63.8,79,15.8,4,0.8
児童・生徒別,中学生,500,100.0,0.,0.0,32,6.4,333,66.6,130,26.0,5,1.0
児童・生徒別,高校生,500,100.0,0,0.0,6,1.2,285,57.0,201,40.2,8,1.6
子供の性別,男性,745,100.0,2,0.3,61,8.2,455,61.1,216,29.0,11,1.5
子供の性別,女性,755,100.0,2,0.3,71,9.4,482,63.8,194,25.7,6,0.8
児童・生徒×子供の性別,小学生男子,232,100.0,2,0.9,46,19.8,145,62.5,38,16.4,1,0.4
児童・生徒×子供の性別,小学生女子,268,100.0,2,0.7,48,17.9,174,64.9,41,15.3,3,1.1
児童・生徒×子供の性別,中学生男子,244,100.0,0,0.0,14,5.7,161,66.0,66,27.0,3,1.2
児童・生徒×子供の性別,中学生女子,256,100.0,0,0.0,18,7.0,172,67.2,64,25.0,2,0.8
児童・生徒×子供の性別,高校生男子,269,100.0,0,0.0,1,0.4,149,55.4,112,41.6,7,2.6
児童・生徒×子供の性別,高校生女子,231,100.0,0,0.0,5,2.2,136,58.9,89,38.5,1,0.4
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,2,0.2,77,8.2,586,62.1,266,28.2,13,1.4
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,131,100.0,1,0.8,16,12.2,79,60.3,33,25.2,2,1.5
携帯電話の購入所別,家電量販店,273,100.0,1,0.4,24,8.8,174,63.7,72,26.4,2,0.7
携帯電話の購入所別,インターネット販売,96,100.0,0,0.0,10,10.4,64,66.7,22,22.9,0,0.0
携帯電話の購入所別,その他,31,100.0,0,0.0,2,6.5,20,64.5,9,29.0,0,0.0
携帯電話の購入所別,わからない,25,100.0,0,0.0,3,12.0,14,56.0,8,32.0,0,0.0
フィルタリングサービスの加入状況別,加入している,459,100.0,1,0.2,34,7.4,274,59.7,143,31.2,7,1.5
フィルタリングサービスの加入状況別,加入している,563,100.0,0,0.0,36,6.4,351,62.3,168,29.8,8,1.4
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,1,0.4,48,19.3,158,63.5,41,16.5,1,0.4
フィルタリングサービスの加入状況別,わからない,229,100.0,2,0.9,14,6.1,154,67.2,58,25.3,1,0.4
利用制限サービスの加入状況別,加入している,261,100.0,1,0.4,14,5.4,159,60.9,80,30.7,7,2.7
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,0,0.0,11,6.0,108,59.0,62,33.9,2,1.1
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,0,0.0,15,4.7,204,64.2,97,30.5,2,0.6
利用制限サービスの加入状況別,わからない,85,100.0,0,0.0,7,8.2,55,64.7,21,24.7,2,2.4
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,2,0.3,72,12.5,360,62.7,132,23.0,8,1.4
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,1,0.1,43,6.4,417,61.9,207,30.7,6,0.9
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,0,0.0,9,5.3,107,62.9,52,30.6,2,1.2
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,1,1.4,8,11.0,47,64.4,17,23.3,0,0.0
利用状況の管理状態別,その他,9,100.0,0,0.0,0,0.0,6,66.7,2,22.2,1,11.1
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,2,0.4,43,7.7,352,63.1,153,27.4,8,1.4
説明・学習経験別,インターネットで調べた,505,100.0,1,0.2,42,8.3,301,59.6,157,31.1,4,0.8
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,1,0.2,55,10.1,348,64.1,133,24.5,6,1.1
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,2,0.6,32,9.2,224,64.7,82,23.7,6,1.7
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,0,0.0,7,11.9,39,66.1,11,18.6,2,3.4
説明・学習経験別,販売店等から詳しく説明をうけた,88,100.0,0,0.0,7,8.0,42,47.7,35,39.8,4,4.5
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,0,0.0,2,9.5,13,61.9,5,23.8,1,4.8
説明・学習経験別,特に説明をうけたり学習したりしたことはない,334,100.0,0,0.0,32,9.6,211,63.2,88,26.3,3,0.9
説明・学習経験別,その他,11,100.0,0,0.0,1,9.1,6,54.5,4,36.4,0,0.0
