区分１,区分２,該当数計,割合計,高額のゲーム代（アイテム購入代など）の請求が届いた該当数,高額のゲーム代（アイテム購入代など）の請求が届いた割合,アイテム交換等をすると言ってだまされた該当数,アイテム交換等をすると言ってだまされた割合,個人情報を知られた（盗まれた）該当数,個人情報を知られた（盗まれた）割合,掲示板等に個人の誹謗中傷などの書き込みをされた該当数,掲示板等に個人の誹謗中傷などの書き込みをされた割合,使い過ぎによる体調不良や成績の落ち込み該当数,使い過ぎによる体調不良や成績の落ち込み割合,その他該当数,その他割合
全体,全体,57,100.0,13,22.8,12,21.1,7,12.3,8,14.0,24,42.1,5,8.8
児童・生徒別,小学生,23,100.0,7,30.4,8,34.8,2,8.7,2,8.7,6,26.1,2,8.7
児童・生徒別,中学生,20,100.0,4,20.0,2,10.0,3,15.0,3,15.0,11,55.0,2,10.0
児童・生徒別,高校生,14,100.0,2,14.3,2,14.3,2,14.3,3,21.4,7,50.0,1,7.1
子供の性別,男性,41,100.0,11,26.8,9,22.0,5,12.2,4,9.8,18,43.9,3,7.3
子供の性別,女性,16,100.0,2,12.5,3,18.8,2,12.5,4,25.0,6,37.5,2,12.5
児童・生徒×子供の性別,小学生男子,18,100.0,6,33.3,6,33.3,2,11.1,0,0.0,5,27.8,2,11.1
児童・生徒×子供の性別,小学生女子,5,100.0,1,20.0,2,40.0,0,0.0,2,40.0,1,20.0,0,0.0
児童・生徒×子供の性別,中学生男子,14,100.0,3,21.4,2,14.3,1,7.1,2,14.3,9,64.3,0,0.0
児童・生徒×子供の性別,中学生女子,6,100.0,1,16.7,0,0.0,2,33.3,1,16.7,2,33.3,2,33.3
児童・生徒×子供の性別,高校生男子,9,100.0,2,22.2,1,11.1,2,22.2,2,22.2,4,44.4,1,11.1
児童・生徒×子供の性別,高校生女子,5,100.0,0,0.0,1,20.0,0,0.0,1,20.0,3,60.0,0,0.0
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,37,100.0,7,18.9,10,27.0,6,16.2,5,13.5,16,43.2,4,10.8
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,7,100.0,2,28.6,1,14.3,1,14.3,1,14.3,3,42.9,0,0.0
携帯電話の購入所別,家電量販店,9,100.0,4,44.4,1,11.1,0,0.0,1,11.1,2,22.2,1,11.1
携帯電話の購入所別,インターネット販売,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0
携帯電話の購入所別,その他,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0
携帯電話の購入所別,わからない,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,.0,0,0.0
フィルタリングサービスの加入状況別,加入している,22,100.0,6,27.3,7,31.8,2,9.1,2,9.1,8,36.4,1,4.5
フィルタリングサービスの加入状況別,加入していない,20,100.0,4,20.0,4,20.0,2,10.0,3,15.0,10,50.0,1,5.0
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,8,100.0,1,12.5,1,12.5,3,37.5,2,25.0,3,37.5,1,12.5
フィルタリングサービスの加入状況別,わからない,7,100.0,2,28.6,0,0.0,0,0.0,1,14.3,3,42.9,2,28.6
利用制限サービスの加入状況別,加入している,16,100.0,6,37.5,4,25.0,2,12.5,2,12.5,5,31.3,1,6.3
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,7,100.0,2,28.6,2,28.6,1,14.3,1,14.3,5,71.4,0,0.0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,10,100.0,1,10.0,0,0.0,2,20.0,2,20.0,4,40.0,2,20.0
利用制限サービスの加入状況別,わからない,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
利用状況の管理状態別,利用状況の把握及び監督もできている,12,100.0,2,16.7,2,16.7,3,25.0,2,16.7,3,25.0,2,16.7
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,37,100.0,11,29.7,8,21.6,3,8.1,3,8.1,17,45.9,2,5.4
