区分１,区分２,該当数計,割合計,使い方は個人の問題だから該当数,使い方は個人の問題だから割合,家庭のルールがあれば十分だ該当数,家庭のルールがあれば十分だ割合,子供同士でルールを決めても守らないと思う該当数,子供同士でルールを決めても守らないと思う割合,友達同士でコミュニケーションをとっていれば、ルールなんて不要だと思う該当数,友達同士でコミュニケーションをとっていれば、ルールなんて不要だと思う割合,ルールで子供をしばりたくない該当数,ルールで子供をしばりたくない割合,子供同士も失敗の中で経験を積むべきだ該当数,子供同士も失敗の中で経験を積むべきだ割合,その他該当数,その他割合
全体,全体,371,100.0,197,53.1,116,31.3,45,12.1,67,18.1,27,7.3,62,16.7,13,3.5
児童・生徒別,小学生,96,100.0,37,38.5,44,45.8,12,12.5,11,11.5,6,6.3,14,14.6,6,6.3
児童・生徒別,中学生,96,100.0,48,50.0,31,32.3,16,16.7,18,18.8,9,9.4,19,19.8,2,2.1
児童・生徒別,高校生,179,100.0,112,62.6,41,22.9,17,9.5,38,21.2,12,6.7,29,16.2,5,2.8
子どもの性別,男性,210,100.0,110,52.4,60,28.6,26,12.4,30,14.3,16,7.6,30,14.3,10,4.8
子どもの性別,女性,161,100.0,87,54.0,56,34.8,19,11.8,37,23.0,11,6.8,32,19.9,3,1.9
児童・生徒×子どもの性別,小学生男子,48,100.0,18,37.5,21,43.8,6,12.5,2,4.2,2,4.2,7,14.6,5,10.4
児童・生徒×子どもの性別,小学生女子,48,100.0,19,39.6,23,47.9,6,12.5,9,18.8,4,8.3,7,14.6,1,2.1
児童・生徒×子どもの性別,中学生男子,52,100.0,22,42.3,18,34.6,9,17.3,7,13.5,5,9.6,9,17.3,1,1.9
児童・生徒×子どもの性別,中学生女子,44,100.0,26,59.1,13,29.5,7,15.9,11,25.0,4,9.1,10,22.7,1,2.3
児童・生徒×子どもの性別,高校生男子,110,100.0,70,63.6,21,19.1,11,10.0,21,19.1,9,8.2,14,12.7,4,3.6
児童・生徒×子どもの性別,高校生女子,69,100.0,42,60.9,20,29.0,6,8.7,17,24.6,3,4.3,15,21.7,1,1.4
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,246,100.0,135,54.9,72,29.3,26,10.6,40,16.3,18,7.3,42,17.1,6,2.4
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,25,100.0,14,56.0,8,32.0,5,20.0,5,20.0,0,0.0,4,16.0,1,4.0
携帯電話の購入場所別,家電量販店,63,100.0,29,46.0,26,41.3,6,9.5,12,19.0,6,9.5,7,11.1,4,6.3
携帯電話の購入場所別,インターネット販売,18,100.0,10,55.6,8,44.4,4,22.2,8,44.4,1,5.6,7,38.9,0,0.0
携帯電話の購入場所別,その他,9,100.0,5,55.6,1,11.1,1,11.1,2,22.2,1,11.1,1,11.1,1,11.1
携帯電話の購入場所別,わからない,10,100.0,4,40.0,1,10.0,3,30.0,0,0.0,1,10.0,1,10.0,1,10.0
フィルタリングサービスの加入状況別,加入している,87,100.0,43,49.4,32,36.8,11,12.6,12,13.8,8,9.2,15,17.2,1,1.1
フィルタリングサービスの加入状況別,加入していない,157,100.0,94,59.9,47,29.9,12,7.6,37,23.6,13,8.3,24,15.3,3,1.9
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,50,100.0,14,28.0,24,48.0,10,20.0,9,18.0,5,10.0,11,22.0,4,8.0
フィルタリングサービスの加入状況別,わからない,77,100.0,46,59.7,13,16.9,12,15.6,9,11.7,1,1.3,12,15.6,5,6.5
利用制限サービスの加入状況別,加入している,53,100.0,30,56.6,17,32.1,5,9.4,12,22.6,4,7.5,10,18.9,1,1.9
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,31,100.0,20,64.5,9,29.0,4,12.9,6,19.4,2,6.5,4,12.9,1,3.2
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,104,100.0,69,66.3,27,26.0,8,7.7,23,22.1,10,9.6,20,19.2,2,1.9
