区分１,区分２,該当数計,割合計,内容の説明があり、説明書の交付もあった該当数,内容の説明があり、説明書の交付もあった割合,内容の説明はあったが、説明書は交付はされなかった該当数,内容の説明はあったが、説明書は交付はされなかった割合,説明書は交付されたが、内容の説明はなかった該当数,説明書は交付されたが、内容の説明はなかった割合,内容の説明も、説明書の交付もなかった該当数,内容の説明も、説明書の交付もなかった割合,わからない該当数,わからない割合
全体,全体,1500,100.0,479,31.9,275,18.3,69,4.6,274,18.3,403,26.9
児童・生徒別,小学生,500,100.0,149,29.8,68,13.6,18,3.6,101,20.2,164,32.8
児童・生徒別,中学生,500,100.0,172,34.4,110,22.0,20,4.0,82,16.4,116,23.2
児童・生徒別,高校生,500,100.0,158,31.6,97,19.4,31,6.2,91,18.2,123,24.6
子どもの性別,男性,745,100.0,217,29.1,151,20.3,33,4.4,143,19.2,201,27.0
子どもの性別,女性,755,100.0,262,34.7,124,16.4,36,4.8,131,17.4,202,26.8
児童・生徒×子どもの性別,小学生男子,232,100.0,61,26.3,43,18.5,7,3.0,47,20.3,74,31.9
児童・生徒×子どもの性別,小学生女子,268,100.0,88,32.8,25,9.3,11,4.1,54,20.1,90,33.6
児童・生徒×子どもの性別,中学生男子,244,100.0,77,31.6,56,23.0,11,4.5,42,17.2,58,23.8
児童・生徒×子どもの性別,中学生女子,256,100.0,95,37.1,54,21.1,9,3.5,40,15.6,58,22.7
児童・生徒×子どもの性別,高校生男子,269,100.0,79,29.4,52,19.3,15,5.6,54,20.1,69,25.7
児童・生徒×子どもの性別,高校生女子,231,100.0,79,34.2,45,19.5,16,6.9,37,16.0,54,23.4
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,345,36.5,163,17.3,41,4.3,138,14.6,257,27.2
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,131,100.0,32,24.4,34,26.0,11,8.4,19,14.5,35,26.7
携帯電話の購入場所別,家電量販店,273,100.0,79,28.9,61,22.3,12,4.4,50,18.3,71,26.0
携帯電話の購入場所別,インターネット販売,96,100.0,13,13.5,13,13.5,4,4.2,53,55.2,13,13.5
携帯電話の購入場所別,その他,31,100.0,6,19.4,2,6.5,0,0.0,12,38.7,11,35.5
携帯電話の購入場所別,わからない,25,100.0,4,16.0,2,8.0,1,4.0,2,8.0,16,64.0
フィルタリングサービスの加入状況別,加入している,459,100.0,264,57.5,115,25.1,12,2.6,27,5.9,41,8.9
フィルタリングサービスの加入状況別,加入していない,563,100.0,135,24.0,117,20.8,42,7.5,158,28.1,111,19.7
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,61,24.5,26,10.4,10,1.0,61,24.5,91,36.5
フィルタリングサービスの加入状況別,わからない,229,100.0,19,8.3,17,7.4,5,2.2,28,12.2,160,69.9
利用制限サービスの加入状況別,加入している,261,100.0,133,51.0,66,25.3,9,3.4,19,7.3,34,13.0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,64,35.0,52,28.4,8,4.4,30,16.4,29,15.8
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,92,28.9,49,15.4,14,4.7,99,31.1,63,19.8
利用制限サービスの加入状況別,わからない,85,100.0,15,17.6,6,7.1,4,4.7,6,7.1,54,63.5
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,227,39.5,75,13.1,16,2.8,99,17.2,157,27.4
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,207,30.7,156,23.1,37,5.5,117,17.4,157,23.3
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,30,17.6,34,20.0,12,7.1,39,22.9,55,32.4
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,15,20.5,8,11.0,4,5.5,16,21.9,30,41.1
利用状況の管理状態別,その他,9,100.0,0,0.0,2,22.2,0,0.0,3,33.3,4,44.4
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,218,39.1,97,17.4,26,4.7,98,17.6,119,21.3
説明・学習経験別,インターネットで調べた,505,100.0,187,37.0,106,21.0,29,5.7,85,16.8,98,19.4
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,203,37.4,121,22.3,25,4.6,90,16.6,104,19.2
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,128,37.0,76,22.0,13,3.8,58,16.8,71,20.5
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,23,39.0,15,25.4,2,3.4,10,16.9,9,15.3
説明・学習経験別,販売店等から詳しく説明を受けた,88,100.0,45,51.1,23,26.1,6,6.8,7,8.0,7,8.0
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,10,47.6,4,19.0,1,4.8,3,14.3,3,14.3
説明・学習経験別,特に説明を受けたり学習したことはない,334,100.0,58,17.4,39,11.7,13,3.9,82,24.6,142,42.5
説明・学習経験別,その他,11,100.0,4,36.4,1,9.1,0,0.0,5,45.5,1,9.1
