区分１,区分２,該当数計,割合計,インターネットの使い方について、子供を信用しているから該当数,インターネットの使い方について、子供を信用しているから割合,子供がインターネット上の有害情報を見ないよう、保護者として適切に管理できるから該当数,子供がインターネット上の有害情報を見ないよう、保護者として適切に管理できるから割合,フィルタリングサービスを利用すると、子供の日常生活に不便が生じるから該当数,フィルタリングサービスを利用すると、子供の日常生活に不便が生じるから割合,フィルタリングサービスの利用方法がわからない該当数,フィルタリングサービスの利用方法がわからない割合,フィルタリングサービスの必要性がわからない該当数,フィルタリングサービスの必要性がわからない割合,子供にフィルタリング設定をしないようせがまれて、仕方なく該当数,子供にフィルタリング設定をしないようせがまれて、仕方なく割合,フィルタリングサービス自体を知らない該当数,フィルタリングサービス自体を知らない割合,無料サービスのものがあることを知らず、お金がかかると思った該当数,無料サービスのものがあることを知らず、お金がかかると思った割合,購入時に説明を受けなかったから該当数,購入時に説明を受けなかったから割合,キッズ携帯等で、インターネットを利用させていないから該当数,キッズ携帯等で、インターネットを利用させていないから割合,その他該当数,その他割合
全体,全体,563,100.0,280,49.7,101,17.9,66,11.7,47,8.3,29,5.2,10,1.8,19,3.4,33,5.9,37,6.6,65,11.5,29,5.2
児童・生徒別,小学生,143,100.0,44,30.8,26,18.2,12,8.4,15,10.5,3,2.1,1,0.7,8,5.6,11,7.7,10,7.0,49,34.3,6,4.2
児童・生徒別,中学生,172,100.0,84,48.8,35,20.3,13,7.6,20,11.6,11,6.4,3,1.7,7,4.1,12,7.0,15,8.7,13,7.6,12,7.0
児童・生徒別,高校生,248,100.0,152,61.3,40,16.1,41,16.5,12,4.8,15,6.0,6,2.4,4,1.6,10,4.0,12,4.8,3,1.2,11,4.4
子どもの性別,男性,296,100.0,143,48.3,47,15.9,37,12.5,24,8.1,19,6.4,4,1.4,9,3.0,19,6.4,25,8.4,33,11.1,14,4.7
子どもの性別,女性,267,100.0,137,51.3,54,20.2,29,10.9,23,8.6,10,3.7,6,2.2,10,3.7,14,5.2,12,4.5,32,12.0,15,5.6
児童・生徒×子どもの性別,小学生男子,65,100.0,19,29.2,10,15.4,4,6.2,6,9.2,0,0.0,1,1.5,2,3.1,5,7.7,5,7.7,24,36.9,4,6.2
児童・生徒×子どもの性別,小学生女子,78,100.0,25,32.1,16,20.5,8,10.3,9,11.5,3,3.8,0,0.0,6,7.7,6,7.7,5,6.4,25,32.1,2,2.6
児童・生徒×子どもの性別,中学生男子,93,100.0,42,45.2,19,20.4,8,8.6,11,11.8,8,8.6,1,1.1,5,5.4,8,8.6,13,14.0,6,6.5,6,6.5
児童・生徒×子どもの性別,中学生女子,79,100.0,42,53.2,16,20.3,5,6.3,9,11.4,3,3.8,2,2.5,2,2.5,4,5.1,2,2.5,7,8.9,6,7.6
児童・生徒×子どもの性別,高校生男子,138,100.0,82,59.4,18,13.0,25,18.1,7,5.1,11,8.0,2,1.4,2,1.4,6,4.3,7,5.1,3,2.2,4,2.9
