区分１,区分２,該当数計（人）,該当数割合（％）,テレビや本・雑誌などの特集を見た・読んだ該当数（人）,テレビや本・雑誌などの特集を見た・読んだ割合（％）,インターネットで調べた該当数（人）,インターネットで調べた割合（％）,学校から配布される資料等を読んだ該当数（人）,学校から配布される資料等を読んだ割合（％）,学校の保護者会等で行われた後援会で説明を受けた該当数（人）,学校の保護者会等で行われた後援会で説明を受けた割合（％）,知識のある知人から説明を受けた該当数（人）,知識のある知人から説明を受けた割合（％）,販売店等から詳しく説明を受けた該当数（人）,販売店等から詳しく説明を受けた割合（％）,公共施設などで開催された講座に参加した該当数（人）,公共施設などで開催された講座に参加した割合（％）,特に説明を受けたり学習したことはない該当数（人）,特に説明を受けたり学習したことはない割合（％）,その他該当数（人）,その他割合（％）
全体,全体,1500,100.0,558,37.2,505,33.7,543,36.2,346,23.1,59,3.9,88,5.9,21,1.4,334,22.3,11,0.7
児童・生徒別,小学生,500,100.0,187,37.4,165,33.0,166,33.2,110,22.0,20,4.0,22,4.4,6,1.2,125,25.0,4,0.8
児童・生徒別,中学生,500,100.0,194,38.8,172,34.4,207,41.4,131,26.2,20,4.0,41,8.2,13,2.6,88,17.6,1,0.2
児童・生徒別,高校生,500,100.0,177,35.4,168,33.6,170,34.0,105,21.0,19,3.8,25,5.0,2,0.4,121,24.2,6,1.2
子どもの性別,男性,745,100.0,272,36.5,259,34.8,247,33.2,136,18.3,27,3.6,35,4.7,11,1.5,188,25.2,6,0.7
子どもの性別,女性,755,100.0,286,37.9,246,32.6,296,39.2,210,27.8,32,4.2,53,7.0,10,1.3,146,19.3,6,0.8
児童・生徒×子どもの性別,小学生男子,232,100.0,86,37.1,77,33.2,70,30.2,42,18.1,7,3.0,11,4.7,3,1.3,64,27.6,1,0.4
児童・生徒×子どもの性別,小学生女子,268,100.0,101,37.7,88,32.8,96,35.8,68,25.4,13,4.9,11,4.1,3,1.1,61,22.8,3,1.1
児童・生徒×子どもの性別,中学生男子,244,100.0,96,39.3,89,36.5,96,39.3,51,20.9,12,4.9,15,6.1,6,2.5,46,18.9,1,0.4
児童・生徒×子どもの性別,中学生女子,256,100.0,98,38.3,83,32.4,111,43.4,80,31.3,8,3.1,26,10.2,7,2.7,42,16.4,0,0.0
児童・生徒×子どもの性別,高校生男子,269,100.0,90,33.5,93,34.6,81,30.1,43,16.0,8,3.0,9,3.3,2,0.7,78,29.0,3,1.1
児童・生徒×子どもの性別,高校生女子,231,100.0,87,37.7,75,32.5,89,38.5,62,26.8,11,4.8,16,6.9,0,0.0,43,18.6,3,1.3
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,357,37.8,311,32.9,345,36.5,211,22.4,35,3.7,60,6.4,16,1.7,213,22.6,6,0.6
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,131,100.0,36,27.5,38,29.0,45,34.4,31,23.7,7,5.3,5,3.8,0,0.0,33,25.2,1,0.8
携帯電話の購入場所別,家電量販店,273,100.0,111,40.7,91,33.3,92,33.7,68,24.9,12,4.4,17,6.2,2,0.7,59,21.6,1,0.4
携帯電話の購入場所別,インターネット販売,96,100.0,33,34.4,47,49.0,44,45.8,30,31.3,5,5.2,4,4.2,3,3.1,11,11.5,1,1.0
携帯電話の購入場所別,その他,31,100.0,13,41.9,14,45.2,12,38.7,4,12.9,0,0.0,1,3.2,0,0.0,7,22.6,2,6.5
携帯電話の購入場所別,わからない,25,100.0,8,32.0,4,16.0,5,20.0,2,8.0,0,0.0,1,4.0,0,0.0,11,44.0,0,0.0
フィルタリングサービスの加入状況別,加入している,459,100.0,190,41.4,179,39.0,205,44.7,130,28.3,21,4.6,53,11.5,10,2.2,60,13.1,3,0.7
フィルタリングサービスの加入状況別,加入していない,563,100.0,208,36.9,203,36.1,188,33.4,112,19.9,18,3.2,19,3.4,3,0.5,127,22.6,6,1.1
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,100,40.2,78,31.3,93,37.3,60,24.1,10,4.0,11,4.4,3,1.2,60,24.1,2,0.8
フィルタリングサービスの加入状況別,わからない,229,100.0,60,26.2,45,19.7,57,24.9,44,19.2,10,4.4,5,2.2,5,2.2,87,38.0,0,0.0
利用制限サービスの加入状況別,加入している,261,100.0,102,39.1,97,37.2,111,42.5,81,31.0,13,5.0,30,11.5,9,3.4,36,13.8,2,0.8
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,69,37.7,91,38.8,81,44.3,57,31.1,7,3.8,12,6.6,2,1.1,33,18.0,3,1.6
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,115,36.2,114,35.8,109,34.3,60,18.9,14,4.4,12,3.8,3,0.9,71,22.3,3,0.9
利用制限サービスの加入状況別,わからない,85,100.0,20,23.5,16,18.8,21,24.7,15,17.5,2,2.4,2,2.4,0,0.0,30,35.3,0,0.0
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,219,38.2,211,36.8,218,38.0,140,24.4,24,4.2,43,7.5,8,1.4,124,21.6,9,1.4
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,256,38.0,238,35.3,249,36.9,163,24.2,27,4.0,42,6.2,12,1.8,122,18.1,3,0.4
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,59,34.7,42,24.7,56,32.9,27,15.9,4,2.4,2,1.2,0,0.0,52,30.6,0,0.0
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,18,24.7,11,15.1,15,20.5,11,15.1,4,5.5,1,1.4,1,1.4,35,47.9,0,0.0
利用状況の管理状態別,その他,9,100.0,6,66.7,3,33.3,5,55.6,5,55.6,0,0.0,0,0.0,0,0.0,1,11.1,0,0.0
