区分１,区分２,該当数計（人）,該当数割合（％）,利用状況の把握及び監督もできている該当数（人）,利用状況の把握及び監督もできている割合（％）,利用状況は把握できているが、監督まではできていない該当数（人）,利用状況は把握できているが、監督まではできていない割合（％）,利用状況を把握しておらず、監督もできていない該当数（人）,利用状況を把握しておらず、監督もできていない割合（％）,子供の利用状況に関心がない該当数（人）,子供の利用状況に関心がない割合（％）,その他該当数（人）,その他割合（％）
全体,全体,1500,100.0,574,38.3,674,44.9,170,11.3,73,4.9,9,0.6
児童・生徒別,小学生,500,100.0,290,58.0,157,31.4,27,5.4,23,4.6,3,0.6
児童・生徒別,中学生,500,100.0,172,34.4,262,52.4,48,9.6,17,3.4,1,0.2
児童・生徒別,高校生,500,100.0,112,22.4,255,51.0,95,19.0,33,6.6,5,1.0
子どもの性別,男性,745,100.0,271,36.4,336,45.1,92,12.3,40,5.4,6,0.8
子どもの性別,女性,755,100.0,303,40.1,338,44.8,78,10.3,33,4.4,3,0.4
児童・生徒×子どもの性別,小学生男子,232,100.0,140,60.3,69,29.7,10,4.3,12,5.2,1,0.4
児童・生徒×子どもの性別,小学生女子,268,100.0,150,56.0,88,32.8,17,6.3,11,4.1,2,0.7
児童・生徒×子どもの性別,中学生男子,244,100.0,78,32.0,129,52.9,26,10.7,10,4.1,1,0.4
児童・生徒×子どもの性別,中学生女子,256,100.0,94,36.7,133,52.0,22,8.6,7,2.7,0,0.0
児童・生徒×子どもの性別,高校生男子,269,100.0,53,19.7,138,51.3,56,20.8,18,6.7,4,1.5
児童・生徒×子どもの性別,高校生女子,231,100.0,59,25.5,117,50.6,39,16.9,15,6.5,1,0.4
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,373,39.5,416,44.1,105,11.1,44,4.7,6,0.6
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,131,100.0,37,28.2,73,55.7,16,12.2,5,3.8,0,0.0
携帯電話の購入場所別,家電量販店,273,100.0,103,37.7,127,46.5,29,10.6,13,4.8,1,0.4
携帯電話の購入場所別,インターネット販売,96,100.0,34,35.4,45,46.9,15,15.6,2,2.1,0,0.0
携帯電話の購入場所別,その他,31,100.0,15,48.4,9,29.0,2,6.5,3,9.7,2,6.5
携帯電話の購入場所別,わからない,25,100.0,12,48.0,4,16.0,3,12.0,6,24.0,0,0.0
フィルタリングサービスの加入状況別,加入している,459,100.0,173,37.7,252,54.9,25,5.4,9,2.0,0,0.0
フィルタリングサービスの加入状況別,加入していない,563,100.0,194,34.5,253,44.9,85,15.1,27,4.8,4,0.7
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,156,62.7,69,27.7,11,4.4,11,4.4,2,0.8
フィルタリングサービスの加入状況別,わからない,229,100.0,51,22.3,100,43.7,49,21.4,26,11.4,3,1.3
利用制限サービスの加入状況別,加入している,261,100.0,85,32.6,148,56.7,22,8.4,6,2.3,0,0.0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,60,32.8,109,59.6,11,6.0,2,1.1,1,0.5
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,82,25.8,151,47.5,62,19.5,21,6.6,2,0.6
利用制限サービスの加入状況別,わからない,85,100.0,15,17.6,42,49.4,22,25.9,4,4.7,2,2.4
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,574,100.0,0,0.0,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,0,0.0,674,100.0,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,0,0.0,0,0.0,170,100.0,0,0.0,0,0.0
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,0,0.0,0,0.0,0,0.0,73,100.0,0,0.0
利用状況の管理状態別,その他,9,100.0,0,0.0,0,0.0,0,0.0,0,0.0,9,100.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,219,39.2,256,45.9,59,10.6,18,3.2,6,1.1
説明・学習経験別,インターネットで調べた,505,100.0,211,41.8,238,47.1,42,8.3,11,2.2,3,0.6
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,218,40.1,249,45.9,56,10.3,15,2.8,5,0.9
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,140,40.5,163,47.1,27,7.8,11,3.2,5,1.4
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,24,40.7,27,45.8,4,6.8,4,4.8,0,0.0
説明・学習経験別,販売店等から詳しく説明を受けた,88,100.0,43,48.9,42,47.7,2,2.3,1,1.1,0,0.0
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,8,38.1,12,57.1,0,0.0,1,4.8,0,0.0
説明・学習経験別,特に説明を受けたり学習したことはない,334,100.0,124,37.1,122,36.5,52,15.6,35,10.5,1,0.3
説明・学習経験別,その他,11,100.0,8,72.7,3,27.3,0,0.0,0,0.0,0,0.0
