区分１,区分２,該当数計（人）,該当数割合（％）,家庭のルール作りを推進する講座の開催該当数（人）,家庭のルール作りを推進する講座の開催割合（％）,学校・地域（家庭外）のルール作りを推進する講座の開催該当数（人）,学校・地域（家庭外）のルール作りを推進する講座の開催割合（％）,インターネットの危険性について啓発する講演会・イベントの開催該当数（人）,インターネットの危険性について啓発する講演会・イベントの開催割合（％）,ネットトラブル相談の充実化該当数（人）,ネットトラブル相談の充実化割合（％）,ネットに潜む危険性に関する、より一層の広報該当数（人）,ネットに潜む危険性に関する、より一層の広報割合（％）,学校の授業等で、ネットの危険性について取り扱う該当数（人）,学校の授業等で、ネットの危険性について取り扱う割合（％）,子供の有害にならないよう、事業者を規制すべき該当数（人）,子供の有害にならないよう、事業者を規制すべき割合（％）,各家庭で小学生に携帯電話・スマートフォンを持たせないようにする該当数（人）,各家庭で小学生に携帯電話・スマートフォンを持たせないようにする割合（％）,各家庭で中学生に携帯電話・スマートフォンを持たせないようにする該当数（人）,各家庭で中学生に携帯電話・スマートフォンを持たせないようにする割合（％）,小中学校への携帯電話・スマートフォンの持ち込みを厳禁にする該当数（人）,小中学校への携帯電話・スマートフォンの持ち込みを厳禁にする割合（％）,特に必要ない該当数（人）,特に必要ない割合（％）,その他該当数（人）,その他割合（％）
全体,全体,1500,100.0,308,20.5,276,18.4,359,23.9,227,15.1,247,16.5,470,31.3,181,12.1,35,2.3,57,3.8,115,7.7,171,11.4,15,1.0
児童・生徒別,小学生,500,100.0,110,22.0,98,19.6,106,21.2,58,11.6,69,13.8,166,33.2,73,14.6,11,2.2,20,4.0,42,8.4,58,11.6,7,1.4
児童・生徒別,中学生,500,100.0,109,21.8,97,19.4,126,25.2,71,14.2,93,18.6,167,33.4,55,11.0,11,2.2,18,3.6,31,6.2,49,9.8,4,0.8
児童・生徒別,高校生,500,100.0,89,17.8,81,16.2,127,25.4,98,19.6,85,17.0,137,27.4,53,10.6,13,2.6,19,3.8,42,8.4,64,12.8,4,0.8
子どもの性別,男性,745,100.0,138,18.5,138,18.5,173,23.2,103,13.8,116,15.6,219,29.4,81,10.9,16,2.1,35,4.7,68,9.1,99,13.3,9,1.2
子どもの性別,女性,755,100.0,170,22.5,138,18.3,186,24.6,124,16.4,131,17.4,251,33.2,100,13.2,19,2.5,22,2.9,47,6.2,72,9.5,6,0.8
児童・生徒×子どもの性別,小学生男子,232,100.0,49,21.1,47,20.3,45,19.4,24,10.3,28,12.1,70,30.2,30,12.9,7,1.7,13,5.6,27,11.6,29,12.5,4,1.7
児童・生徒×子どもの性別,小学生女子,268,100.0,61,22.8,51,19.0,61,22.8,34,12.7,41,15.3,96,35.8,43,16.0,7,2.6,7,2.6,15,5.6,29,10.8,3,1.1
児童・生徒×子どもの性別,中学生男子,244,100.0,53,21.7,49,20.1,62,25.4,31,12.7,45,18.4,87,35.7,23,9.4,3,1.2,8,3.3,14,5.7,25,10.2,1,0.4
児童・生徒×子どもの性別,中学生女子,256,100.0,56,21.9,48,18.8,64,25.0,40,15.6,48,18.8,80,31.3,32,12.5,8,3.1,10,3.9,17,6.6,24,9.4,3,1.2
児童・生徒×子どもの性別,高校生男子,269,100.0,36,13.4,42,15.6,66,24.5,48,17.8,43,16.0,62,23.0,28,10.4,9,3.3,14,5.2,27,10.0,45,16.7,4,1.5
児童・生徒×子どもの性別,高校生女子,231,100.0,53,22.9,39,16.9,61,26.4,50,21.6,42,18.2,75,32.5,25,10.8,4,1.7,5,2.2,15,6.5,19,8.2,0,0.0
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,208,22.0,173,18.3,231,24.5,144,15.3,155,16.4,278,29.4,108,11.4,23,2.4,37,3.9,70,7.4,103,10.9,10,1.1
