区分１,区分２,該当数計,割合計,子供といつでも連絡が取れるようにするため該当数,子供といつでも連絡が取れるようにするため割合,子供の所在地がわかるようにするため該当数,子供の所在地がわかるようにするため割合,子供にせがまれたため仕方なく持たせた該当数,子供にせがまれたため仕方なく持たせた割合,持たせたほうが、メディアリテラシー（＊）や情報処理能力がぐくと思ったため該当数,持たせたほうが、メディアリテラシー（＊）や情報処理能力がぐくと思ったため割合,子供の要望ではないが友達が持っており、仲間はずれにされないか心配なため該当数,子供の要望ではないが友達が持っており、仲間はずれにされないか心配なため割合,お祝い等で、親戚等からもらったため該当数,お祝い等で、親戚等からもらったため割合,子供の疾病等があり、大切なコミュニケーション手段として活用するため該当数,子供の疾病等があり、大切なコミュニケーション手段として活用するため割合,その他該当数,その他割合
全体,全体,510,100.0,445,87.3,256,50.2,14,2.7,9,1.8,7,1.4,3,0.6,5,1.0,27,5.3
児童・生徒別,小学生,366,100.0,326,89.1,194,53.0,6,1.6,6,1.6,5,1.4,2,0.5,3,0.8,20,5.5
児童・生徒別,中学生,122,100.0,103,84.4,52,42.6,6,4.9,2,1.6,1,0.8,0,0.0,1,0.8,7,5.7
児童・生徒別,高校生,22,100.0,16,72.7,10,45.5,2,9.1,1,4.5,1,4.5,1,4.5,1,4.5,0,0.0
子供の性別,男性,250,100.0,215,86.0,124,49.6,5,2.0,6,2.4,4,1.6,1,0.4,2,0.8,10,4.0
子供の性別,女性,260,100.0,230,88.5,132,50.8,9,3.5,3,1.2,3,1.2,2,0.8,3,1.2,17,6.5
児童・生徒×子供の性別,小学生男子,176,100.0,157,89.2,91,51.7,1,0.6,4,2.3,3,1.7,0,0.0,1,0.6,6,3.4
児童・生徒×子供の性別,小学生女子,190,100.0,169,88.9,103,54.2,5,2.6,2,1.1,2,1.1,2,1.1,2,1.1,14,7.4
児童・生徒×子供の性別,中学生男子,61,100.0,49,80.3,25,41.0,3,4.9,1,1.6,0,0.0,0,0.0,0,0.0,4,6.6
児童・生徒×子供の性別,中学生女子,61,100.0,54,88.5,27,44.3,3,4.9,1,1.6,1,1.6,0,0.0,1,1.6,3,4.9
児童・生徒×子供の性別,高校生男子,13,100.0,9,69.2,8,61.5,1,7.7,1,7.7,1,7.7,1,7.7,1,7.7,0,0.0
児童・生徒×子供の性別,高校生女子,9,100.0,7,77.8,2,22.2,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,367,100.0,328,89.4,196,53.4,10,2.7,5,1.4,5,1.4,1,0.3,4,1.1,14,3.8
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,35,100.0,32,91.4,17,48.6,1,2.9,1,2.9,1,2.9,0,0.0,0,0.0,1,2.9
携帯電話の購入所別,家電量販店,89,100.0,69,77.5,38,42.7,3,3.4,3,3.4,0,0.0,1,1.1,1,1.1,11,12.4
携帯電話の購入所別,インターネット販売,3,100.0,3,100.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入所別,その他,8,100.0,6,75.0,2,25.0,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0,1,12.5
携帯電話の購入所別,わからない,8,100.0,7,87.5,1,12.5,0,0.0,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0
フィルタリングサービスの加入状況別,加入している,95,100.0,80,84.2,49,51.6,4,4.2,4,4.2,1,1.1,2,2.1,0,0.0,6,6.3
