区分１,区分２,該当数計,割合計,作っている該当数,作っている割合,作っていない該当数,作っていない割合
全体,全体,896,100.0,483,53.9,413,46.1
児童・生徒別,小学生,308,100.0,152,49.4,156,50.6
児童・生徒別,中学生,348,100.0,229,65.8,119,34.2
児童・生徒別,高校生,240,100.0,102,42.5,138,57.5
子供の性別,男性,405,100.0,234,57.8,171,42.2
子供の性別,女性,491,100.0,249,50.7,242,49.3
児童・生徒×子供の性別,小学生男子,127,100.0,71,55.9,56,44.1
児童・生徒×子供の性別,小学生女子,181,100.0,81,44.8,100,55.2
児童・生徒×子供の性別,中学生男子,168,100.0,115,68.5,53,31.5
児童・生徒×子供の性別,中学生女子,180,100.0,114,63.3,66,36.7
児童・生徒×子供の性別,高校生男子,110,100.0,48,43.6,62,56.4
児童・生徒×子供の性別,高校生女子,130,100.0,54,41.5,76,58.5
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,554,100.0,308,55.6,246,44.4
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,80,100.0,41,51.3,39,48.8
携帯電話の購入所別,家電量販店,165,100.0,82,49.7,83,50.3
携帯電話の購入所別,インターネット販売,67,100.0,38,56.7,29,43.3
携帯電話の購入所別,その他,20,100.0,11,55.0,9,45.0
携帯電話の購入所別,わからない,10,100.0,3,30.0,7,70.0
フィルタリングサービスの加入状況別,加入している,339,100.0,211,62.2,128,37.8
フィルタリングサービスの加入状況別,加入していない,313,100.0,162,51.8,151,48.2
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,137,100.0,64,46.7,73,53.3
フィルタリングサービスの加入状況別,わからない,107,100.0,46,43.0,61,57.0
利用制限サービスの加入状況別,加入している,196,100.0,124,63.3,72,36.7
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,142,100.0,90,63.4,52,36.6
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,156,100.0,81,51.9,75,48.1
利用制限サービスの加入状況別,わからない,40,100.0,19,47.5,21,52.5
利用状況の管理状態別,利用状況の把握及び監督もできている,379,100.0,217,57.3,162,42.7
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,444,100.0,229,51.6,215,48.4
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,56,100.0,28,50.0,28,50.0
利用状況の管理状態別,子供の利用状況に関心がない,11,100.0,5,45.5,6,54.5
利用状況の管理状態別,その他,6,100.0,4,66.7,2,33.3
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,368,100.0,206,56.0,162,44.0
説明・学習経験別,インターネットで調べた,352,100.0,223,63.4,129,36.6
説明・学習経験別,学校から配布される資料等を読んだ,391,100.0,221,56.5,170,43.5
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,269,100.0,141,52.4,128,47.6
説明・学習経験別,知識のある知人から説明を受けた,48,100.0,33,68.8,15,31.3
説明・学習経験別,販売店等から詳しく説明をうけた,67,100.0,41,61.2,26,38.8
説明・学習経験別,公共施設などで開催された講座に参加した,15,100.0,8,53.3,7,46.7
説明・学習経験別,特に説明をうけたり学習したりしたことはない,132,100.0,57,43.2,75,56.8
説明・学習経験別,その他,9,100.0,6,66.7,3,33.3
