区分１,区分２,該当数計,割合計,子どもを信用しており不要だから該当数,子どもを信用しており不要だから割合,子どもが有害情報を含むアプリをダウンロードしないよう、保護者として適切に管理できているから該当数,子どもが有害情報を含むアプリをダウンロードしないよう、保護者として適切に管理できているから割合,利用制限サービスの利用方法がわからない該当数,利用制限サービスの利用方法がわからない割合,利用制限サービスの必要性がわからない該当数,利用制限サービスの必要性がわからない割合,子どもに利用制限サービスの設定をしないようにせがまれて、仕方なく該当数,子どもに利用制限サービスの設定をしないようにせがまれて、仕方なく割合,利用制限サービス自体を知らない該当数,利用制限サービス自体を知らない割合,無料サービスのものがあることを知らず、お金がかかると思った該当数,無料サービスのものがあることを知らず、お金がかかると思った割合,購入時に説明を受けなかったから該当数,購入時に説明を受けなかったから割合,その他該当数,その他割合
全体,全体,318,100.0,185,58.2,48,15.1,18,5.7,10,3.1,6,1.9,13,4.1,8,2.5,17,5.3,13,4.1
児童・生徒別,小学生,26,100.0,16,61.5,7,26.9,0,0.0,0,0.0,0,0.0,0,0.0,1,3.8,1,3.8,1,3.8
児童・生徒別,中学生,91,100.0,54,59.3,13,14.3,12,13.2,2,2.2,0,0.0,2,2.2,1,1.1,4,4.4,3,3.3
児童・生徒別,高校生,201,100.0,115,57.2,28,13.9,6,3.0,8,4.0,6,3.0,11,5.5,6,3.0,12,6.0,9,4.5
子供の性別,男性,165,100.0,92,55.8,21,12.7,11,6.7,7,4.2,5,3.0,8,4.8,3,1.8,8,4.8,10,6.1
子供の性別,女性,153,100.0,93,60.8,27,17.6,7,4.6,3,2.0,1,0.7,5,3.3,5,3.3,9,5.9,3,2.0
児童・生徒×子供の性別,小学生男子,10,100.0,6,60.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,1,10.0
児童・生徒×子供の性別,小学生女子,16,100.0,10,62.5,5,31.3,0,0.0,0,0.0,0,0.0,0,0.0,1,6.3,0,0.0,0,0.0
児童・生徒×子供の性別,中学生男子,46,100.0,28,60.9,6,13.0,6,13.0,1,2.2,0,0.0,2,4.3,0,0.0,0,0.0,3,6.5
児童・生徒×子供の性別,中学生女子,45,100.0,26,57.8,7,15.6,6,13.3,1,2.2,0,0.0,0,0.0,1,2.2,4,8.9,0,0.0
児童・生徒×子供の性別,高校生男子,109,100.0,58,53.2,13,11.9,5,4.6,6,5.5,5,4.6,6,5.5,3,2.8,7,6.4,6,5.5
児童・生徒×子供の性別,高校生女子,92,100.0,57,62.0,15,16.3,1,1.1,2,2.2,1,1.1,5,5.4,3,3.3,5,5.4,3,3.3
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,167,100.0,104,62.3,22,13.2,8,4.8,7,4.2,4,2.4,7,4.2,5,3.0,5,3.0,5,3.0
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,29,100.0,18,62.1,4,13.8,3,10.3,0,0.0,0,0.0,1,3.4,1,3.4,2,6.9,0,0.0
携帯電話の購入所別,家電量販店,62,100.0,32,51.6,11,17.7,3,4.8,3,4.8,2,3.2,1,1.6,2,3.2,5,8.1,3,4.8
携帯電話の購入所別,インターネット販売,51,100.0,29,56.9,7,13.7,4,7.8,0,0.0,0,0.0,4,7.8,0,0.0,4,7.8,3,5.9
携帯電話の購入所別,その他,8,100.0,2,25.0,4,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,1,12.5
携帯電話の購入所別,わからない,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0
フィルタリングサービスの加入状況別,加入している,32,100.0,17,53.1,6,18.8,2,6.3,0,0.0,0,0.0,2,6.3,2,6.3,3,9.4,0,0.0
フィルタリングサービスの加入状況別,加入していない,251,100.0,151,60.2,40,15.9,10,4.0,8,3.2,6,2.4,11,4.4,4,1.6,9,3.6,12,4.8
