区分１,区分２,該当数計,割合計,提出した該当数,提出した割合,提出していない該当数,提出していない割合,わからない該当数,わからない割合
全体,全体,563,100.0,33,5.9,375,66.6,155,27.5
児童・生徒別,小学生,143,100.0,3,2.1,104,72.7,36,25.2
児童・生徒別,中学生,172,100.0,7,4.1,118,68.6,47,27.3
児童・生徒別,高校生,248,100.0,23,9.3,153,61.7,72,29.0
子どもの性別,男性,296,100.0,15,5.1,198,66.9,83,28.0
子どもの性別,女性,267,100.0,18,6.7,177,66.3,72,27.0
児童・生徒×子どもの性別,小学生男子,65,100.0,1,1.5,46,70.8,18,27.7
児童・生徒×子どもの性別,小学生女子,78,100.0,2,2.6,58,74.4,18,23.1
児童・生徒×子どもの性別,中学生男子,93,100.0,4,4.3,61,65.6,28,30.1
児童・生徒×子どもの性別,中学生女子,79,100.0,3,3.8,57,72.2,19,24.1
児童・生徒×子どもの性別,高校生男子,138,100.0,10,7.2,91,65.9,37,26.8
児童・生徒×子どもの性別,高校生女子,110,100.0,13,11.8,62,56.4,35,31.8
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,330,100.0,21,6.4,213,64.5,96,29.1
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,40,100.0,2,5.0,31,77.5,7,17.5
携帯電話の購入場所別,家電量販店,116,100.0,8,6.9,69,59.5,39,33.6
携帯電話の購入場所別,インターネット販売,60,100.0,1,1.7,50,83.3,9,15.0
携帯電話の購入場所別,その他,13,100.0,1,7.7,10,76.9,2,15.4
携帯電話の購入場所別,わからない,4,100.0,0,0.0,2,50.0,2,50.0
フィルタリングサービスの加入状況別,加入している,0,0.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,加入していない,563,100.0,33,5.9,375,66.6,155,27.5
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,0,0.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,わからない,0,0.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入している,35,100.0,6,17.1,22,62.9,7,20.0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,74,100.0,2,2.7,49,66.2,23,31.1
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,251,100.0,22,8.8,168,66.9,61,24.3
利用制限サービスの加入状況別,わからない,18,100.0,0,0.0,12,66.7,6,33.3
利用状況の管理状態別,利用状況の把握及び監督もできている,194,100.0,13,6.7,126,64.9,55,28.4
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,253,100.0,13,5.1,170,67.2,70,27.7
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,85,100.0,4,4.7,56,65.9,25,29.4
利用状況の管理状態別,子供の利用状況に関心がない,27,100.0,3,11.1,19,70.4,5,18.5
利用状況の管理状態別,その他,4,100.0,0,0.0,4,100.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,208,100.0,14,6.7,127,61.1,67,32.2
説明・学習経験別,インターネットで調べた,203,100.0,15,7.4,138,68.0,50,24.6
説明・学習経験別,学校から配布される資料等を読んだ,188,100.0,11,5.9,114,60.6,63,33.5
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,112,100.0,6,5.4,69,61.6,37,33.0
説明・学習経験別,知識のある知人から説明を受けた,18,100.0,1,5.6,14,77.8,3,16.7
説明・学習経験別,販売店等から詳しく説明を受けた,19,100.0,2,10.5,12,63.2,5,26.3
説明・学習経験別,公共施設などで開催された講座に参加した,3,100.0,0,0.0,3,100.0,0,0.0
説明・学習経験別,特に説明を受けたり学習したことはない,127,100.0,5,3.9,90,70.9,32,25.2
説明・学習経験別,その他,6,100.0,1,16.7,4,66.7,1,16.7
