区分１,区分２,該当数（人）,利用状況の把握及び監督もできている（％）,利用状況は把握できているが、監督まではできていない（％）,利用状況を把握しておらず、監督もできていない（％）,子供の利用状況に関心がない（％）,その他（％）
全体,全体,1500,38.3,44.9,11.3,4.9,0.6
フィルタリングサービスの加入状況別,加入している,459,37.7,54.9,5.4,2.0,0.0
フィルタリングサービスの加入状況別,加入していない,563,34.5,44.9,15.1,4.8,0.7
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,62.7,27.7,4.4,4.4,0.8
フィルタリングサービスの加入状況別,わからない,229,22.3,43.7,21.4,11.4,1.3
利用制限サービスの加入状況別,加入している,261,32.6,56.7,8.4,2.3,0.0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,32.8,59.6,6.0,1.1,0.5
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,25.8,47.5,19.5,6.6,0.6
利用制限サービスの加入状況別,わからない,85,17.6,49.4,25.9,4.7,2.4
家庭内でのルールの有無,作っている,896,42.3,49.6,6.3,1.2,0.7
家庭内でのルールの有無,作っていない,604,32.3,38.1,18.9,10.3,0.5
家庭内でのルールを作っていない理由,子供を信用しており、ルールを作らなくても、子供が適正な利用をしているから,327,35.2,39.8,15.0,9.8,0.3
家庭内でのルールを作っていない理由,ルールを作っても、守れないから,120,15.8,44.2,33.3,5.8,0.8
家庭内でのルールを作っていない理由,ルールを作ろうとしても、子供とケンカになってしまうから,34,8.8,55.9,29.4,2.9,2.9
家庭内でのルールを作っていない理由,話し合ってルールを作る時間がないから,18,5.6,33.3,55.6,5.6,0.0
家庭内でのルールを作っていない理由,ルール作りが推奨されていること自体を知らなかったから,6,0.0,50.3,16.7,33.3,0.0
家庭内でのルールを作っていない理由,どんなルールを作ればいいのかよくわからないから,39,17.9,38.5,33.3,10.3,0.0
家庭内でのルールを作っていない理由,親も自由に使いたいから、ルールを決めたくない,21,9.5,38.1,28.6,23.8,0.0
家庭内でのルールを作っていない理由,機能が少ない携帯電話（キッズ携帯等）だから,116,56.9,24.1,6.9,11.2,0.9
家庭内でのルールを作っていない理由,その他,17,23.5,412,23.5,11.8,0.0
