区分１,区分２,該当数計（人）,該当数割合（％）,利用状況の把握及び監督もできている該当数（人）,利用状況の把握及び監督もできている割合（％）,利用状況は把握できているが、監督まではできていない該当数（人）,利用状況は把握できているが、監督まではできていない割合（％）,利用状況を把握しておらず、監督もできていない該当数（人）,利用状況を把握しておらず、監督もできていない割合（％）,子供の利用状況に関心がない該当数（人）,子供の利用状況に関心がない割合（％）,その他該当数（人）,その他割合（％）
全体,全体,1500,100.0,574,38.3,674,44.9,170,11.3,73,4.9,9,0.6
児童・生徒別,小学生,500,100.0,290,58.0,157,31.4,27,5.4,23,4.5,3,0.6
児童・生徒別,中学生,500,100.0,172,34.4,262,52.4,48,9.6,17,3.4,1,0.2
児童・生徒別,高校生,500,100.0,112,22.4,255,51.0,95,19.0,33,6.6,5,1.0
子どもの性別,男性,745,100.0,271,36.4,336,45.1,92,12.3,40,5.4,6,0.8
子どもの性別,女性,755,100.0,303,40.1,338,44.8,78,10.3,33,4.4,3,0.4
フィルタリングサービスの加入状況別,加入している,459,100.0,173,37.7,252,54.9,25,5.4,9,2.0,0,0.0
フィルタリングサービスの加入状況別,加入していない,563,100.0,194,34.5,253,44.9,85,15.1,27,4.8,4,0.7
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,156,62.7,69,27.7,11,4.4,11,4.4,2,0.8
フィルタリングサービスの加入状況別,わからない,229,100.0,51,22.3,100,43.7,49,21.4,26,11.4,3,1.3
利用制限サービスの加入状況別,加入している,261,100.0,85,32.6,148,56.7,22,8.4,6,2.3,0,0.0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,60,32.8,109,59.6,11,6.0,2,1.1,1,0.5
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,82,25.8,151,47.5,62,19.5,21,6.6,2,0.6
利用制限サービスの加入状況別,わからない,85,100.0,15,17.6,42,49.4,22,25.9,4,4.7,2,2.4
家庭内でのルールの有無,作っている,896,100.0,379,42.3,444,49.6,56,6.3,11,1.2,6,0.7
家庭内でのルールの有無,作っていない,604,100.0,195,32.3,230,38.1,114,18.9,62,10.3,3,0.5
家庭内でのルールを作っていない理由,子供を信用しており、ルールを作らなくても、子供が適正な利用をしているから,327,100.0,115,35.2,130,39.8,49,15.0,32,9.8,1,0.3
家庭内でのルールを作っていない理由,ルールを作っても、守れないから,120,100.0,19,15.8,53,44.2,40,33.3,7,5.8,1,0.8
家庭内でのルールを作っていない理由,ルールを作ろうとしても、子供とケンカになってしまうから,34,100.0,2,8.8,19,55.9,10,29.4,1,2.9,1,2.9
家庭内でのルールを作っていない理由,話し合ってルールを作る時間がないから,18,100.0,1,5.6,6,33.3,10,55.6,1,5.6,0,0.0
家庭内でのルールを作っていない理由,ルール作りが推奨されていること自体を知らなかったから,8,100.0,0,0.0,3,50.3,1,16.7,2,33.3,0,0.0
家庭内でのルールを作っていない理由,どんなルールを作ればいいのかよくわからないから,39,100.0,7,17.9,15,38.5,13,33.3,4,10.3,0,0.0
家庭内でのルールを作っていない理由,親も自由に使いたいから、ルールを決めたくない,21,100.0,2,9.5,8,38.1,6,28.6,5,23.8,0,0.0
家庭内でのルールを作っていない理由,機能が少ない携帯電話（キッズ携帯等）だから,116,100.0,66,56.9,28,24.1,8,6.9,13,11.2,1,0.9
家庭内でのルールを作っていない理由,その他,17,100.0,4,23.5,7,412.0,4,23.5,2,11.8,0,0.0
