区分１,区分２,該当数計,割合計,利用料金の制限該当数,利用料金の制限割合,利用する際のマナー（誹謗中傷することは書かない等）該当数,利用する際のマナー（誹謗中傷することは書かない等）割合,利用するサイトやアプリを決めている該当数,利用するサイトやアプリを決めている割合,利用する時間の制限該当数,利用する時間の制限割合,利用する場所の制限該当数,利用する場所の制限割合,メールなどの相手を制限該当数,メールなどの相手を制限割合,困ったときはすぐに保護者へ相談すること該当数,困ったときはすぐに保護者へ相談すること割合,パスワードや利用者情報が漏れないようにすること該当数,パスワードや利用者情報が漏れないようにすること割合,その他該当数,その他割合
全体,全体,896,100.0,281,31.4,347,38.7,285,31.8,525,58.6,264,29.5,204,22.8,381,42.5,225,25.1,33,3.7
児童・生徒別,小学生,308,100.0,74,24.0,83,26.9,96,31.2,168,54.5,85,27.6,123,39.9,128,41.6,60,19.5,22,7.1
児童・生徒別,中学生,348,100.0,109,31.3,156,44.8,134,38.5,242,69.5,116,33.3,64,18.4,157,45.1,95,27.3,7,2.0
児童・生徒別,高校生,240,100.0,98,40.8,108,45.0,55,22.9,115,47.9,63,26.3,17,7.1,96,40.0,70,29.2,4,1.7
子供の性別,男性,405,100.0,130,32.1,142,35.1,124,30.6,240,59.3,120,29.6,75,18.5,154,38.0,90,22.2,15,3.7
子供の性別,女性,491,100.0,151,30.8,205,41.8,161,32.8,285,58.0,144,29.3,129,26.3,227,46.2,135,27.5,18,3.7
児童・生徒×子供の性別,小学生男子,127,100.0,34,26.8,32,25.2,39,30.7,68,53.5,35,27.6,44,34.6,53,41.7,28,22.0,10,7.9
児童・生徒×子供の性別,小学生女子,181,100.0,40,22.1,51,28.2,57,31.5,100,55.2,50,27.6,79,43.6,75,41.4,32,17.7,12,6.6
児童・生徒×子供の性別,中学生男子,168,100.0,48,28.6,61,36.3,66,39.3,115,68.5,53,31.5,27,16.1,65,38.7,35,20.8,4,2.4
児童・生徒×子供の性別,中学生女子,180,100.0,61,33.9,95,52.8,68,37.8,127,70.6,63,35.0,37,20.6,92,51.1,60,33.3,3,1.7
児童・生徒×子供の性別,高校生男子,110,100.0,48,43.6,49,44.5,19,17.3,57,51.8,32,29.1,4,3.6,36,32.7,27,24.5,1,0.9
児童・生徒×子供の性別,高校生女子,130,100.0,50,38.5,59,45.4,36,27.7,58,44.6,31,23.8,13,10.0,60,46.2,43,33.1,3,2.3
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,554,100.0,168,30.3,219,39.5,167,30.1,314,56.7,164,29.6,132,23.8,239,43.1,147,26.5,19,3.4
