区分１,区分２,該当数計（人）,割合計（％）,３０分未満該当数（人）,３０分未満割合（％）,３０分以上１時間未満該当数（人）,３０分以上１時間未満割合（％）,１時間以上２時間未満該当数（人）,１時間以上２時間未満割合（％）,２時間以上３時間未満該当数（人）,２時間以上３時間未満割合（％）,３時間以上４時間未満該当数（人）,３時間以上４時間未満割合（％）,４時間以上５時間未満該当数（人）,４時間以上５時間未満割合（％）,５時間以上該当数（人）,５時間以上割合（％）
全体,全体,1500,100.0,370,24.7,368,24.5,434,28.9,199,13.3,76,5.1,20,1.3,33,2.2
児童・生徒別,小学生,500,100.0,114,22.8,122,24.4,147,29.4,69,13.8,32,6.4,4,0.8,12,2.4
児童・生徒別,中学生,500,100.0,121,24.2,126,25.2,147,29.4,60,12.0,25,5.0,11,2.2,10,2.0
児童・生徒別,高校生,500,100.0,135,27.0,120,24.0,140,28.0,70,14.0,19,3.8,5,1.0,11,2.2
子どもの性別,男性,745,100.0,177,23.8,190,25.5,209,28.1,109,14.6,38,5.1,10,1.3,12,1.6
子どもの性別,女性,755,100.0,193,25.6,178,23.6,225,29.8,90,11.9,38,5.0,10,1.3,21,2.8
児童・生徒×子どもの性別,小学生男子,232,100.0,53,22.8,63,27.2,64,27.6,32,13.8,13,5.6,2,0.9,5,2.2
児童・生徒×子どもの性別,小学生女子,268,100.0,61,22.8,59,22.0,83,31.0,37,13.8,19,7.1,2,0.7,7,2.6
児童・生徒×子どもの性別,中学生男子,244,100.0,52,21.3,65,26.6,70,28.7,36,14.8,13,5.3,6,2.5,2,0.8
児童・生徒×子どもの性別,中学生女子,256,100.0,69,27.0,61,23.8,77,30.1,24,9.4,12,4.7,5,2.0,8,3.1
児童・生徒×子どもの性別,高校生男子,269,100.0,72,26.8,62,23.0,75,27.9,41,15.2,12,14.5,2,0.7,5,1.9
児童・生徒×子どもの性別,高校生女子,231,100.0,63,27.3,58,25.1,65,28.1,29,12.6,7,3.0,3,1.3,6,2.6
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,239,25.3,243,25.7,257,27.2,123,13.0,52,5.5,14,1.5,16,1.7
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,131,100.0,34,26.0,22,16.8,44,33.6,19,14.5,5,3.8,0,0.0,7,5.3
携帯電話の購入場所別,家電量販店,273,100.0,58,21.2,71,26.0,82,30.0,38,13.9,14,5.1,5,1.8,5,1.8
携帯電話の購入場所別,インターネット販売,96,100.0,28,29.2,19,19.8,31,32.3,10,10.4,4,4.2,1,1.0,3,3.1
携帯電話の購入場所別,その他,31,100.0,4,12.9,7,22.6,13,41.9,5,16.1,1,3.2,0,0.0,1,3.2
携帯電話の購入場所別,わからない,25,100.0,7,28.0,6,24.0,7,28.0,4,16.0,0,0.0,0,0.0,1,4.0
フィルタリングサービスの加入状況別,加入している,459,100.0,100,21.8,120,26.1,142,30.9,63,13.7,22,4.8,7,1.5,5,1.1
フィルタリングサービスの加入状況別,加入していない,563,100.0,132,23.4,144,25.6,154,27.4,80,14.2,30,5.3,9,1.6,14,2.5
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,71,28.5,49,19.7,68,27.3,34,13.7,18,7.2,2,0.8,7,2.8
フィルタリングサービスの加入状況別,わからない,229,100.0,67,29.3,55,24.0,70,30.6,22,9.6,6,2.6,2,0.9,7,3.1
利用制限サービスの加入状況別,加入している,261,100.0,52,19.9,65,24.9,85,32.6,36,13.8,15,5.7,2,0.8,6,2.3
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,33,18.0,40,21.9,62,33.9,28,15.3,12,6.6,4,2.2,4,2.2
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,75,23.6,73,23.0,90,28.3,53,16.7,16,5.0,6,1.9,5,1.6
利用制限サービスの加入状況別,わからない,85,100.0,21,24.7,20,23.5,27,31.8,10,11.8,3,3.5,1,1.2,3,3.5
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,135,23.5,143,24.9,159,27.7,84,14.6,30,5.2,8,1.4,15,2.6
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,160,23.7,171,25.4,205,30.4,86,12.8,37,5.5,8,1.2,7,1.0
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,49,28.8,36,21.2,44,25.9,24,14.1,6,3.5,2,1.2,9,5.3
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,24,32.9,16,21.9,23,31.5,3,4.1,3,4.1,2,2.7,2,2.7
利用状況の管理状態別,その他,9,100.0,2,22.2,2,22.2,3,33.3,2,22.2,0,0.0,0,0.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,137,24.6,146,26.2,163,29.2,72,12.9,22,3.9,8,1.4,10,1.8
説明・学習経験別,インターネットで調べた,505,100.0,110,21.8,121,24.0,156,30.9,79,15.6,26,5.1,4,0.8,9,1.8
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,127,23.4,136,25.0,160,29.5,76,14.0,29,5.3,7,1.3,8,1.5
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,85,24.6,81,23.4,110,31.8,47,13.6,20,5.8,1,0.3,2,0.6
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,11,18.6,10,16.9,19,32.2,10,16.9,7,11.9,0,0.0,2,3.4
