区分１,区分２,該当数計,割合計,ある該当数,ある割合,ない該当数,ない割合,わからない該当数,わからない割合
全体,全体,1500,100.0,57,3.8,1243,82.9,200,13.3
児童・生徒別,小学生,500,100.0,23,4.6,443,88.6,34,6.8
児童・生徒別,中学生,500,100.0,20,4.0,402,80.4,78,15.6
児童・生徒別,高校生,500,100.0,14,2.8,398,79.6,88,17.6
子供の性別,男性,745,100.0,41,5.5,593,79.6,111,14.9
子供の性別,女性,755,100.0,16,2.1,650,86.1,89,11.8
児童・生徒×子供の性別,小学生男子,232,100.0,18,7.8,197,84.9,17,7.3
児童・生徒×子供の性別,小学生女子,268,100.0,5,1.9,246,91.8,17,6.3
児童・生徒×子供の性別,中学生男子,244,100.0,14,5.7,186,76.2,44,18.0
児童・生徒×子供の性別,中学生女子,256,100.0,6,2.3,216,84.4,34,13.3
児童・生徒×子供の性別,高校生男子,269,100.0,9,3.3,210,78.1,50,18.6
児童・生徒×子供の性別,高校生女子,231,100.0,5,2.2,188,81.4,38,16.5
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,37,3.9,782,82.8,125,13.2
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,131,100.0,7,5.3,115,87.8,9,6.9
携帯電話の購入所別,家電量販店,273,100.0,9,3.3,227,83.2,37,13.6
携帯電話の購入所別,インターネット販売,96,100.0,2,2.1,81,84.4,13,13.5
携帯電話の購入所別,その他,31,100.0,2,6.5,24,77.7,5,16.1
携帯電話の購入所別,わからない,25,100.0,0,0.0,14,56.0,11,44.0
フィルタリングサービスの加入状況別,加入している,459,100.0,22,4.8,394,85.8,43,9.4
フィルタリングサービスの加入状況別,加入していない,563,100.0,20,3.6,485,86.1,58,10.3
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,8,3.2,222,89.2,19,7.6
フィルタリングサービスの加入状況別,わからない,229,100.0,7,3.1,142,62.0,80,34.9
利用制限サービスの加入状況別,加入している,261,100.0,16,6.1,218,83.5,27,10.3
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,7,3.8,160,87.4,16,8.7
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,10,3.1,266,83.6,42,13.2
利用制限サービスの加入状況別,わからない,85,100.0,1,1.2,53,62.4,31,36.5
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,12,2.1,533,92.9,29,5.1
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,37,5.5,545,80.9,92,13.6
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,6,3.5,121,71.2,43,25.3
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,1,1.4,38,52.1,34,46.6
利用状況の管理状態別,その他,9,100.0,1,11.1,6,66.7,2,22.2
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,20,3.6,465,83.3,73,13.1
説明・学習経験別,インターネットで調べた,505,100.0,33,6.5,412,81.6,60,11.9
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,27,5.0,466,85.8,50,9.2
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,18,5.2,303,87.6,25,7.2
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,7,11.9,45,76.3,7,11.9
説明・学習経験別,販売店等から詳しく説明をうけた,88,100.0,5,5.7,80,90.9,3,3.4
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,3,14.3,15,71.4,3,14.3
説明・学習経験別,特に説明をうけたり学習したりしたことはない,334,100.0,4,1.2,267,79.9,63,18.9
説明・学習経験別,その他,11,100.0,1,9.1,10,90.9,0,0.0
