区分１,区分２,該当数計,割合計,利用している該当数,利用している割合,利用していない該当数,利用していない割合,わからない該当数,わからない割合
全体,全体,990,100.0,847,85.6,89,9.0,54,5.5
児童・生徒別,小学生,134,100.0,106,79.1,24,17.9,4,3.0
児童・生徒別,中学生,378,100.0,323,85.4,35,9.3,20,5.3
児童・生徒別,高校生,478,100.0,418,87.4,30,6.3,30,6.3
子供の性別,男性,495,100.0,418,84.4,47,9.5,30,6.1
子供の性別,女性,495,100.0,429,86.7,42,8.5,24,4.8
児童・生徒×子供の性別,小学生男子,56,100.0,44,78.6,10,17.9,2,3.6
児童・生徒×子供の性別,小学生女子,78,100.0,62,79.5,14,17.9,2,2.6
児童・生徒×子供の性別,中学生男子,183,100.0,153,83.6,22,12.0,8,4.4
児童・生徒×子供の性別,中学生女子,195,100.0,170,87.2,13,6.7,12,6.2
児童・生徒×子供の性別,高校生男子,256,100.0,221,86.3,15,5.9,20,7.8
児童・生徒×子供の性別,高校生女子,222,100.0,197,88.7,15,6.8,10,4.5
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,577,100.0,792,85.3,53,9.2,32,5.5
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,96,100.0,85,88.5,6,6.3,5,52
携帯電話の購入所別,家電量販店,184,100.0,162,88.0,13,7.1,9,4.9
携帯電話の購入所別,インターネット販売,93,100.0,80,86.0,11,11.8,2,2.2
携帯電話の購入所別,その他,23,100.0,20,87.0,2,8.7,1,4.3
携帯電話の購入所別,わからない,17,100.0,8,47.1,4,23.5,5,29.4
フィルタリングサービスの加入状況別,加入している,364,100.0,323,88.7,33,9.1,8,2.2
フィルタリングサービスの加入状況別,加入していない,428,100.0,378,88.3,39,9.1,11,2.6
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,26,100.0,19,73.1,6,23.1,1,3.8
フィルタリングサービスの加入状況別,わからない,172,100.0,127,73.8,11,6.4,34,19.8
利用制限サービスの加入状況別,加入している,261,100.0,261,100.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,183,100.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,318,100.,0,0.0,0,0.0
利用制限サービスの加入状況別,わからない,85,100.0,85,100.,0,0.0,0,0.0
利用状況の管理状態別,利用状況の把握及び監督もできている,286,100.0,242,84.6,34,11.9,10,3.5
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,504,100.0,450,89.3,37,7.3,17,3.4
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,141,100.0,117,83.0,12,8.5,12,8.5
利用状況の管理状態別,子供の利用状況に関心がない,53,100.0,33,62.3,6,11.3,14,26.4
利用状況の管理状態別,その他,6,100.0,5,83.3,0,0.0,1,16.7
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,351,100.0,306,87.2,28,8.0,17,4.8
説明・学習経験別,インターネットで調べた,336,100.0,298,88.7,26,7.7,12,3.6
説明・学習経験別,学校から配布される資料等を読んだ,357,100.0,322,90.2,29,8.1,6,1.7
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,230,100.0,213,92.6,15,6.5,2,0.9
説明・学習経験別,知識のある知人から説明を受けた,41,100.0,36,87.8,4,9.8,1,2.4
説明・学習経験別,販売店等から詳しく説明をうけた,65,100.0,56,86.2,7,10.8,2,3.1
説明・学習経験別,公共施設などで開催された講座に参加した,15,100.0,14,93.3,1,6.7,0,0.0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,214,100.0,170,79.4,19,8.9,25,11.7
説明・学習経験別,その他,9,100.0,8,88.9,0,0.0,1,11.1
