区分１,区分２,該当数計（人）,割合計（％）,男子該当数（人）,男子割合（％）,女子該当数（人）,女子割合（％）
全体,全体,1500,100.0,745,49.7,755,50.3
児童・生徒別,小学生,500,100.0,232,46.4,268,53.6
児童・生徒別,中学生,500,100.0,244,48.8,256,51.2
児童・生徒別,高校生,500,100.0,269,53.8,231,46.2
子供の性別,男性,745,100.0,745,100.0,0,0.0
子供の性別,女性,755,100.0,0,0.0,755,100.0
児童・生徒×子供の性別,小学生男子,232,100.0,232,100.0,0,0.0
児童・生徒×子供の性別,小学生女子,268,100.0,0,0.0,268,100.0
児童・生徒×子供の性別,中学生男子,244,100.0,244,100.0,0,0.0
児童・生徒×子供の性別,中学生女子,256,100.0,0,0.0,256,100.0
児童・生徒×子供の性別,高校生男子,269,100.0,269,100.0,0,0.0
児童・生徒×子供の性別,高校生女子,231,100.0,0,0.0,231,100.0
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,468,49.6,476,50.4
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,131,100.0,61,46.6,70,53.4
携帯電話の購入所別,家電量販店,273,100.0,139,50.9,134,49.1
携帯電話の購入所別,インターネット販売,96,100.0,43,44.8,53,55.2
携帯電話の購入所別,その他,31,100.0,17,54.8,14,45.2
携帯電話の購入所別,わからない,25,100.0,17,68.0,8,32.0
フィルタリングサービスの加入状況別,加入している,459,100.0,220,47.9,239,52.1
フィルタリングサービスの加入状況別,加入していない,563,100.0,296,52.6,267,47.4
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,117,47.0,132,53.0
フィルタリングサービスの加入状況別,わからない,229,100.0,112,48.9,117,51.1
利用制限サービスの加入状況別,加入している,261,100.0,123,47.1,138,52.9
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,89,48.6,94,51.4
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,165,51.9,153,48.1
利用制限サービスの加入状況別,わからない,85,100.0,41,48.2,44,51.8
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,271,47.2,303,52.8
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,336,49.9,338,50.1
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,92,54.1,78,45.9
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,40,54.8,33,45.2
利用状況の管理状態別,その他,9,100.0,6,66.7,3,33.3
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,272,48.7,286,51.3
説明・学習経験別,インターネットで調べた,505,100.0,259,51.3,246,48.7
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,247,45.5,296,54.5
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,136,39.3,210,60.7
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,27,45.8,32,54.2
説明・学習経験別,販売店等から詳しく説明をうけた,88,100.0,35,39.8,53,60.2
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,11,52.4,10,47.6
説明・学習経験別,特に説明をうけたり学習したりしたことはない,334,100.0,188,56.3,146,43.7
説明・学習経験別,その他,11,100.0,5,45.5,6,54.5
