医療機関名,指定病床数/一種,指定病床数/二種,所在地,緯度,経度,座標系,二次保健医療圏,勧告保健所,主たる管轄区域（区市町村）
都立駒込病院,2,28,文京区本駒込三丁目１８番２２号,35.729858,139.756422,JGD2011,区中央部,各区保健所,文京・台東・北・荒川・足立・葛飾
公益財団法人東京都保健医療公社荏原病院,2,18,大田区東雪谷四丁目５番１０号,35.5946075,139.6936761,JGD2011,区南部,各区保健所,品川・目黒・大田・世田谷・渋谷
都立墨東病院,2,8,墨田区江東橋四丁目２３番１５号,35.6953008,139.8187956,JGD2011,区東部,各区保健所,千代田・中央・港・墨田・江東・江戸川
自衛隊中央病院,2,,世田谷区池尻一丁目２番２４号,35.645171,139.684603,JGD2011,-,-,-
公益財団法人東京都保健医療公社豊島病院,,20,板橋区栄町３３番１号,35.7527058,139.7009139,JGD2011,区西北部,各区保健所,新宿・中野・杉並・豊島・板橋・練馬
青梅市立総合病院,,4,青梅市東青梅四丁目１６番５号,35.7825467,139.2812683,JGD2011,西多摩,西多摩,青梅・福生・羽村・あきる野・瑞穂・日の出・奥多摩・檜原
東京医科大学八王子医療センター,,8,八王子市館町１１６３番地,35.6319383,139.2890258,JGD2011,南多摩,八王子,八王子・町田・日野・多摩・稲城
国家公務員共済組合連合会立川病院,,6,立川市錦町四丁目２番２２号,35.692955,139.422312,JGD2011,北多摩西部,多摩立川,立川・昭島・国分寺・国立・東大和・武蔵村山
日本赤十字社東京都支部武蔵野赤十字病院,,6,武蔵野市境南町一丁目２６番１号,35.6968861,139.5485708,JGD2011,北多摩南部,多摩府中,武蔵野・三鷹・府中・調布・小金井・狛江
公立昭和病院,,6,小平市花小金井八丁目１番１号,35.7312972,139.5033369,JGD2011,北多摩北部,多摩小平,小平・東村山・西東京・清瀬・東久留米
国民健康保険町立八丈病院,,2,八丈島八丈町三根２６番地１１,33.112792,139.791667,JGD2011,島しょ,島しょ,大島・利島・新島・神津・三宅・御蔵・八丈・青ヶ島・小笠原
合計,8,106,,,,,,,
