"年月[西暦]","調査項目","設問","選択肢","回答数[件]","構成比[%]"
"202003","貴組織について","主な業種（○は１つ）","農業、林業、漁業","2","1.6"
"202003","貴組織について","主な業種（○は１つ）","鉱業、採石業、砂利採取業","0","0.0"
"202003","貴組織について","主な業種（○は１つ）","建設業","8","6.2"
"202003","貴組織について","主な業種（○は１つ）","製造業","21","16.3"
"202003","貴組織について","主な業種（○は１つ）","電気･ガス･熱供給･水道業","3","2.3"
"202003","貴組織について","主な業種（○は１つ）","情報通信業","10","7.8"
"202003","貴組織について","主な業種（○は１つ）","運輸業、郵便業","4","3.1"
"202003","貴組織について","主な業種（○は１つ）","卸売業、小売業","19","14.7"
"202003","貴組織について","主な業種（○は１つ）","金融業、保険業","2","1.6"
"202003","貴組織について","主な業種（○は１つ）","不動産業、物品賃貸業","6","4.7"
"202003","貴組織について","主な業種（○は１つ）","学術研究、専門･技術サービス業","9","7.0"
"202003","貴組織について","主な業種（○は１つ）","宿泊業、飲食サービス業","9","7.0"
"202003","貴組織について","主な業種（○は１つ）","生活関連サービス業、娯楽業","4","3.1"
"202003","貴組織について","主な業種（○は１つ）","教育、学習支援業","2","1.6"
"202003","貴組織について","主な業種（○は１つ）","医療、福祉","3","2.3"
"202003","貴組織について","主な業種（○は１つ）","複合サービス業","1","0.8"
"202003","貴組織について","主な業種（○は１つ）","サービス業（他に分類されないもの）","13","10.1"
"202003","貴組織について","主な業種（○は１つ）","その他","10","7.8"
"202003","貴組織について","主な業種（○は１つ）","無回答","3","2.3"
"202003","貴組織について","事業所の形態（○は１つ）","事務所","101","78.3"
"202003","貴組織について","事業所の形態（○は１つ）","店舗","22","17.1"
"202003","貴組織について","事業所の形態（○は１つ）","工場","1","0.8"
"202003","貴組織について","事業所の形態（○は１つ）","その他","4","3.1"
"202003","貴組織について","事業所の形態（○は１つ）","無回答","1","0.8"
"202003","貴組織について","本社（本店）・支社（支店）の別（○は１つ）","本社または本店","111","86.0"
"202003","貴組織について","本社（本店）・支社（支店）の別（○は１つ）","支社または支店","12","9.3"
"202003","貴組織について","本社（本店）・支社（支店）の別（○は１つ）","その他","4","3.1"
"202003","貴組織について","本社（本店）・支社（支店）の別（○は１つ）","無回答","2","1.6"
"202003","貴組織について","建物の使用・所有の状況（○は１つ）","テナントとして入居している","92","71.3"
"202003","貴組織について","建物の使用・所有の状況（○は１つ）","建築物を所有しており、賃貸は行っていない","18","14.0"
"202003","貴組織について","建物の使用・所有の状況（○は１つ）","建築物を所有しており、一部賃貸で貸し出している","17","13.2"
"202003","貴組織について","建物の使用・所有の状況（○は１つ）","その他","1","0.8"
"202003","貴組織について","建物の使用・所有の状況（○は１つ）","無回答","1","0.8"
"202003","貴組織について","従業者数（○は１つ）","1～4人","31","24.0"
"202003","貴組織について","従業者数（○は１つ）","5～9人","25","19.4"
"202003","貴組織について","従業者数（○は１つ）","10～19人","11","8.5"
"202003","貴組織について","従業者数（○は１つ）","20～49人","10","7.8"
"202003","貴組織について","従業者数（○は１つ）","50～99人","10","7.8"
"202003","貴組織について","従業者数（○は１つ）","100～299人","12","9.3"
"202003","貴組織について","従業者数（○は１つ）","300人以上","28","21.7"
"202003","貴組織について","従業者数（○は１つ）","無回答","2","1.6"

"港区の環境に関する事業者アンケート調査結果・単純集計表・貴組織についてQ12","Ver202003",,,,
