区分,都市構造上の位置付け,緩和する容積率のメニュー／空地の確保に対して緩和する容積率の最高限度／第５の１空地の確保に対して緩和する容積率(%),緩和する容積率のメニュー／住宅により緩和する容積率の最高限度／第５の６住宅の確保に対して緩和する容積率(%),緩和する容積率のメニュー／質の高い住宅等により緩和する容積率の最高限度／第５の７質の高い住宅等の確保により基準容積率等による緩和する容積率の最高限度を超える場合の措置(%),緩和する容積率のメニュー／住み替え用住宅等により緩和する容積率の最高限度／第５の８住み替え用住宅等の確保に対して緩和する容積率(%),緩和する容積率のメニュー／マンションの建替えにより緩和する容積率の最高限度／第５の９マンションの建替えに対して緩和する容積率(%),緩和する容積率のメニュー／公共的屋内空間により緩和する容積率の最高限度／第５の２公共的屋内空間の確保に対して緩和する容積率(%),緩和する容積率のメニュー／緑化施設により緩和する容積率の最高限度／第５の３緑化施設の確保に対して緩和する容積率,緩和する容積率のメニュー／一時滞在施設により緩和する容積率の最高限度／第５の４一時滞在施設の確保に対して緩和する容積率,緩和する容積率のメニュー／子育て支援施設により緩和する容積率の最高限度／第５の５子育て支援施設の確保に対して緩和する容積率,緩和する容積率のメニュー／宿泊施設により緩和する容積率の最高限度／第５の１０宿泊施設の確保に対して緩和する容積率(%),緩和する容積率のメニュー／高齢者福祉施設等により緩和する容積率の最高限度／第５の１１高齢者福祉施設等の確保に対して緩和する容積率,緩和する容積率のメニュー／域外貢献に対する緩和する容積率の最高限度／第５の１２域外貢献により容積率の緩和(%),緩和する容積率全体の最高限度／基準容積率により最高限度／住宅、マンションの建替え、宿泊施設又は域外貢献により緩和する容積率を設けない場合／第４の１容積率の緩和の最高限度及び容積率の最高限度※別途、道路幅員、敷地面積により上限あり,緩和する容積率全体の最高限度／基準容積率により最高限度／住宅により緩和する容積率を設ける場合／第４の１容積率の緩和の最高限度及び容積率の最高限度※別途、道路幅員、敷地面積により上限あり,緩和する容積率全体の最高限度／基準容積率により最高限度／マンションの建替えにより緩和する容積率を設ける場合／第４の１容積率の緩和の最高限度及び容積率の最高限度※別途、道路幅員、敷地面積により上限あり,緩和する容積率全体の最高限度／基準容積率により最高限度／宿泊施設により緩和する容積率を設ける場合／第４の１容積率の緩和の最高限度及び容積率の最高限度※別途、道路幅員、敷地面積により上限あり,緩和する容積率全体の最高限度／基準容積率により最高限度／域外貢献により緩和する容積率を設ける場合／第４の１容積率の緩和の最高限度及び容積率の最高限度※別途、道路幅員、敷地面積により上限あり,緩和する容積率全体の最高限度／空地等の確保に係る最高限度／第４の２空地等の確保に係る容積率の緩和の最高限度,緩和する容積率部分に対する用途規制／事務所用途規制等／第４の３容積率の緩和の用途,緩和する容積率部分に対する用途規制／育成用途割合の設定／空地等の確保に対して緩和する容積率,緩和する容積率部分に対する用途規制／育成用途割合の設定／住宅及び質の高い住宅等の確保に対して緩和する容積率,緩和する容積率部分に対する用途規制／育成用途割合の設定／マンションの建替えに対して緩和する容積率,緩和する容積率部分に対する用途規制／育成用途割合の設定／一時滞在施設の確保に対して緩和する容積率,緩和する容積率部分に対する用途規制／育成用途割合の設定／宿泊施設の確保に対して緩和する容積率,緩和する容積率部分に対する用途規制／育成用途割合の設定／域外貢献により容積率の緩和
中枢広域拠点域／国際ビジネス交流ゾーン,ア中核的な拠点地区,・建蔽率の最高限度の低減・壁面の位置の制限・広場等の確保に応じて５０%～３００%,－,－,住み替え用住宅等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),建替えを行う旧耐震マンションの住宅の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),①公共的屋内空間の床面積が当該敷地における容積率５０%以上１００%未満に相当する場合５０%②公共的屋内空間の床面積が当該敷地における容積率１００%以上に相当する場合１００%,緑化施設の合計面積の敷地面積に対する率(%),待機スペースの合計面積に０．４を乗じて得た数値の敷地面積に対する率(%),子育て支援施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),宿泊施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),高齢者福祉施設等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),整備内容に応じて～２００%,３００%又は基準容積率×０．５倍いずれか低い方,－,300,３００%又は基準容積率×０．５倍＋５０%いずれか低い方,４００%又は基準容積率×０．５倍＋１００%いずれか低い方,300,－,割増容積率の１/２以上は、育成用途とする。,－,マンションの建替えに対する容積率の緩和を受ける場合は、通常の分譲住宅を育成用途とすることができる。ただし、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。,一時滞在施設等による容積率緩和部分には育成用途を設けないことができる。,宿泊施設の用途に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する割合を４００％以上とする計画の場合は、宿泊施設による容積率緩和部分には育成用途を設けないことができる。,空地等の確保に対して緩和する容積率の限度を超えて、第５の９に定める域外貢献による容積率の緩和を受ける場合は、容積率の緩和の限度を超える域外貢献による容積率緩和部分には育成用途を設けないことができる。
中枢広域拠点域／国際ビジネス交流ゾーン,イ中核的な拠点周辺地区,・建蔽率の最高限度の低減・壁面の位置の制限・広場等の確保に応じて５０%～３００%,・地区の位置・用途地域・住宅の割合に応じて５０%～２００%,質の高い住宅等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）に係数を乗じて得た数値の敷地面積に対する率(%),住み替え用住宅等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),建替えを行う旧耐震マンションの住宅の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),①公共的屋内空間の床面積が当該敷地における容積率５０%以上１００%未満に相当する場合５０%②公共的屋内空間の床面積が当該敷地における容積率１００%以上に相当する場合１００%,緑化施設の合計面積の敷地面積に対する率(%),待機スペースの合計面積に０．４を乗じて得た数値の敷地面積に対する率(%),子育て支援施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),宿泊施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),高齢者福祉施設等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),整備内容に応じて～２００%,３００%又は基準容積率×０．５倍いずれか低い方,４００%又は基準容積率×０．５倍＋１００%いずれか低い方,300,３００%又は基準容積率×０．５倍＋５０%いずれか低い方,４００%又は基準容積率×０．５倍＋１００%いずれか低い方,250,－,２００%までの部分は、１／２以上を育成用途とする。２００%を超える部分も育成用途とする。,質の高い住宅等の確保に対する容積率の緩和を受ける場合は、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。住宅の確保に対する容積率の緩和を受ける場合で、かつ、整備地域等において老朽建築物の除却・共同化や基盤整備により地域の不燃化を促進するなど、地域の防災性向上に特に寄与する計画については、その地域貢献を育成用途とみなすことができる。ただし、この場合において、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。,マンションの建替えに対する容積率の緩和を受ける場合は、通常の分譲住宅を育成用途とすることができる。ただし、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。,一時滞在施設等による容積率緩和部分には育成用途を設けないことができる。,宿泊施設の用途に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する割合を４００％以上とする計画の場合は、宿泊施設による容積率緩和部分には育成用途を設けないことができる。,空地等の確保に対して緩和する容積率の限度を超えて、第５の９に定める域外貢献による容積率の緩和を受ける場合は、容積率の緩和の限度を超える域外貢献による容積率緩和部分には育成用途を設けないことができる。
中枢広域拠点域／国際ビジネス交流ゾーン,ウ活力とにぎわいの拠点地区群,・建蔽率の最高限度の低減・壁面の位置の制限・広場等の確保に応じて５０%～３００%,・地区の位置・用途地域・住宅の割合に応じて５０%～２００%,質の高い住宅等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）に係数を乗じて得た数値の敷地面積に対する率(%),住み替え用住宅等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),建替えを行う旧耐震マンションの住宅の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),①公共的屋内空間の床面積が当該敷地における容積率５０%以上１００%未満に相当する場合５０%②公共的屋内空間の床面積が当該敷地における容積率１００%以上に相当する場合１００%,緑化施設の合計面積の敷地面積に対する率(%),待機スペースの合計面積に０．４を乗じて得た数値の敷地面積に対する率(%),子育て支援施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),宿泊施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),高齢者福祉施設等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),整備内容に応じて～２００%,３００%又は基準容積率×０．５倍いずれか低い方,４００%又は基準容積率×０．５倍＋１００%いずれか低い方,300,３００%又は基準容積率×０．５倍＋５０%いずれか低い方,４００%又は基準容積率×０．５倍＋１００%いずれか低い方,250,－,２００%までの部分は、１／２以上を育成用途とする。２００%を超える部分も育成用途とする。,質の高い住宅等の確保に対する容積率の緩和を受ける場合は、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。住宅の確保に対する容積率の緩和を受ける場合で、かつ、整備地域等において老朽建築物の除却・共同化や基盤整備により地域の不燃化を促進するなど、地域の防災性向上に特に寄与する計画については、その地域貢献を育成用途とみなすことができる。ただし、この場合において、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。,マンションの建替えに対する容積率の緩和を受ける場合は、通常の分譲住宅を育成用途とすることができる。ただし、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。,一時滞在施設等による容積率緩和部分には育成用途を設けないことができる。,宿泊施設の用途に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する割合を４００％以上とする計画の場合は、宿泊施設による容積率緩和部分には育成用途を設けないことができる。,空地等の確保に対して緩和する容積率の限度を超えて、第５の９に定める域外貢献による容積率の緩和を受ける場合は、容積率の緩和の限度を超える域外貢献による容積率緩和部分には育成用途を設けないことができる。
中枢広域拠点域／国際ビジネス交流ゾーン,エ活力とにぎわいの拠点地区,・建蔽率の最高限度の低減・壁面の位置の制限・広場等の確保に応じて５０%～３００%,・地区の位置・用途地域・住宅の割合に応じて５０%～２００%,質の高い住宅等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）に係数を乗じて得た数値の敷地面積に対する率(%),住み替え用住宅等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),建替えを行う旧耐震マンションの住宅の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),①公共的屋内空間の床面積が当該敷地における容積率５０%以上１００%未満に相当する場合５０%②公共的屋内空間の床面積が当該敷地における容積率１００%以上に相当する場合１００%,緑化施設の合計面積の敷地面積に対する率(%),待機スペースの合計面積に０．４を乗じて得た数値の敷地面積に対する率(%),子育て支援施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),宿泊施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),高齢者福祉施設等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),整備内容に応じて～２００%,３００%又は基準容積率×０．５倍いずれか低い方,４００%又は基準容積率×０．５倍＋１００%いずれか低い方,300,３００%又は基準容積率×０．５倍＋５０%いずれか低い方,４００%又は基準容積率×０．５倍＋１００%いずれか低い方,250,－,２００%までの部分は、１／５以上を育成用途とする。２００%を超える部分は、２／５以上を育成用途とする。,質の高い住宅等の確保に対する容積率の緩和を受ける場合は、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。住宅の確保に対する容積率の緩和を受ける場合で、かつ、整備地域等において老朽建築物の除却・共同化や基盤整備により地域の不燃化を促進するなど、地域の防災性向上に特に寄与する計画については、その地域貢献を育成用途とみなすことができる。ただし、この場合において、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。,マンションの建替えに対する容積率の緩和を受ける場合は、通常の分譲住宅を育成用途とすることができる。ただし、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。,一時滞在施設等による容積率緩和部分には育成用途を設けないことができる。,宿泊施設の用途に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する割合を４００％以上とする計画の場合は、宿泊施設による容積率緩和部分には育成用途を設けないことができる。,空地等の確保に対して緩和する容積率の限度を超えて、第５の９に定める域外貢献による容積率の緩和を受ける場合は、容積率の緩和の限度を超える域外貢献による容積率緩和部分には育成用途を設けないことができる。
中枢広域拠点域／国際ビジネス交流ゾーン,オその他のゾーン内,・建蔽率の最高限度の低減・壁面の位置の制限・広場等の確保に応じて５０%～３００%,・地区の位置・用途地域・住宅の割合に応じて５０%～２００%,質の高い住宅等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）に係数を乗じて得た数値の敷地面積に対する率(%),住み替え用住宅等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),建替えを行う旧耐震マンションの住宅の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),①公共的屋内空間の床面積が当該敷地における容積率５０%以上１００%未満に相当する場合５０%②公共的屋内空間の床面積が当該敷地における容積率１００%以上に相当する場合１００%,緑化施設の合計面積の敷地面積に対する率(%),－,子育て支援施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),宿泊施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),高齢者福祉施設等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),整備内容に応じて～２００%,３００%又は基準容積率×０．５倍いずれか低い方,４００%又は基準容積率×０．５倍＋１００%いずれか低い方,300,３００%又は基準容積率×０．５倍＋５０%いずれか低い方,４００%又は基準容積率×０．５倍＋１００%いずれか低い方,250,原則として事務所の用途に供する部分は基準容積率の範囲内とする。,２００%を超える部分は、育成用途とする。,質の高い住宅等の確保に対する容積率の緩和を受ける場合は、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。住宅の確保に対する容積率の緩和を受ける場合で、かつ、整備地域等において老朽建築物の除却・共同化や基盤整備により地域の不燃化を促進するなど、地域の防災性向上に特に寄与する計画については、その地域貢献を育成用途とみなすことができる。ただし、この場合において、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。,マンションの建替えに対する容積率の緩和を受ける場合は、通常の分譲住宅を育成用途とすることができる。ただし、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。,一時滞在施設等による容積率緩和部分には育成用途を設けないことができる。,宿泊施設の用途に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する割合を４００％以上とする計画の場合は、宿泊施設による容積率緩和部分には育成用途を設けないことができる。,空地等の確保に対して緩和する容積率の限度を超えて、第５の９に定める域外貢献による容積率の緩和を受ける場合は、容積率の緩和の限度を超える域外貢献による容積率緩和部分には育成用途を設けないことができる。
中枢広域拠点域,カ中核的な拠点地区,・建蔽率の最高限度の低減・壁面の位置の制限・広場等の確保に応じて５０%～３００%,－,－,住み替え用住宅等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),建替えを行う旧耐震マンションの住宅の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),①公共的屋内空間の床面積が当該敷地における容積率５０%以上１００%未満に相当する場合５０%②公共的屋内空間の床面積が当該敷地における容積率１００%以上に相当する場合１００%,緑化施設の合計面積の敷地面積に対する率(%),待機スペースの合計面積に０．４を乗じて得た数値の敷地面積に対する率(%),子育て支援施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),宿泊施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),高齢者福祉施設等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),整備内容に応じて～２００%,３００%又は基準容積率×０．５倍いずれか低い方,－,300,３００%又は基準容積率×０．５倍＋５０%いずれか低い方,４００%又は基準容積率×０．５倍＋１００%いずれか低い方,300,－,割増容積率の１／２以上は、育成用途とする。,－,マンションの建替えに対する容積率の緩和を受ける場合は、通常の分譲住宅を育成用途とすることができる。ただし、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。,一時滞在施設等による容積率緩和部分には育成用途を設けないことができる。,宿泊施設の用途に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する割合を４００％以上とする計画の場合は、宿泊施設による容積率緩和部分には育成用途を設けないことができる。,空地等の確保に対して緩和する容積率の限度を超えて、第５の９に定める域外貢献による容積率の緩和を受ける場合は、容積率の緩和の限度を超える域外貢献による容積率緩和部分には育成用途を設けないことができる。
中枢広域拠点域,キ中核的な拠点周辺地区,・建蔽率の最高限度の低減・壁面の位置の制限・広場等の確保に応じて５０%～３００%,・地区の位置・用途地域・住宅の割合に応じて５０%～２００%,質の高い住宅等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）に係数を乗じて得た数値の敷地面積に対する率(%),住み替え用住宅等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),建替えを行う旧耐震マンションの住宅の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),①公共的屋内空間の床面積が当該敷地における容積率５０%以上１００%未満に相当する場合５０%②公共的屋内空間の床面積が当該敷地における容積率１００%以上に相当する場合１００%,緑化施設の合計面積の敷地面積に対する率(%),待機スペースの合計面積に０．４を乗じて得た数値の敷地面積に対する率(%),子育て支援施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),宿泊施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),高齢者福祉施設等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),整備内容に応じて～２００%,３００%又は基準容積率×０．５倍いずれか低い方,４００%又は基準容積率×０．５倍＋１００%いずれか低い方,300,３００%又は基準容積率×０．５倍＋５０%いずれか低い方,４００%又は基準容積率×０．５倍＋１００%いずれか低い方,200,－,割増容積率の１／２以上は、育成用途とする。,質の高い住宅等の確保に対する容積率の緩和を受ける場合は、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。住宅の確保に対する容積率の緩和を受ける場合で、かつ、整備地域等において老朽建築物の除却・共同化や基盤整備により地域の不燃化を促進するなど、地域の防災性向上に特に寄与する計画については、その地域貢献を育成用途とみなすことができる。ただし、この場合において、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。,マンションの建替えに対する容積率の緩和を受ける場合は、通常の分譲住宅を育成用途とすることができる。ただし、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。,一時滞在施設等による容積率緩和部分には育成用途を設けないことができる。,宿泊施設の用途に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する割合を４００％以上とする計画の場合は、宿泊施設による容積率緩和部分には育成用途を設けないことができる。,空地等の確保に対して緩和する容積率の限度を超えて、第５の９に定める域外貢献による容積率の緩和を受ける場合は、容積率の緩和の限度を超える域外貢献による容積率緩和部分には育成用途を設けないことができる。
中枢広域拠点域,ク活力とにぎわいの拠点地区,・建蔽率の最高限度の低減・壁面の位置の制限・広場等の確保に応じて５０%～３００%,・地区の位置・用途地域・住宅の割合に応じて５０%～２００%,質の高い住宅等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）に係数を乗じて得た数値の敷地面積に対する率(%),住み替え用住宅等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),建替えを行う旧耐震マンションの住宅の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),①公共的屋内空間の床面積が当該敷地における容積率５０%以上１００%未満に相当する場合５０%②公共的屋内空間の床面積が当該敷地における容積率１００%以上に相当する場合１００%,緑化施設の合計面積の敷地面積に対する率(%),待機スペースの合計面積に０．４を乗じて得た数値の敷地面積に対する率(%),子育て支援施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),宿泊施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),高齢者福祉施設等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),整備内容に応じて～２００%,３００%又は基準容積率×０．５倍いずれか低い方,４００%又は基準容積率×０．５倍＋１００%いずれか低い方,300,３００%又は基準容積率×０．５倍＋５０%いずれか低い方,４００%又は基準容積率×０．５倍＋１００%いずれか低い方,250,－,割増容積率の１／５以上は、育成用途とする。,質の高い住宅等の確保に対する容積率の緩和を受ける場合は、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。住宅の確保に対する容積率の緩和を受ける場合で、かつ、整備地域等において老朽建築物の除却・共同化や基盤整備により地域の不燃化を促進するなど、地域の防災性向上に特に寄与する計画については、その地域貢献を育成用途とみなすことができる。ただし、この場合において、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。,マンションの建替えに対する容積率の緩和を受ける場合は、通常の分譲住宅を育成用途とすることができる。ただし、地域特性に応じた育成用途２分類以上（住宅を除く。）を必要量設けるものとする。,一時滞在施設等による容積率緩和部分には育成用途を設けないことができる。,宿泊施設の用途に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する割合を４００％以上とする計画の場合は、宿泊施設による容積率緩和部分には育成用途を設けないことができる。,空地等の確保に対して緩和する容積率の限度を超えて、第５の９に定める域外貢献による容積率の緩和を受ける場合は、容積率の緩和の限度を超える域外貢献による容積率緩和部分には育成用途を設けないことができる。
中枢広域拠点域,ケその他の域内,・建蔽率の最高限度の低減・壁面の位置の制限・広場等の確保に応じて５０%～３００%,－,－,住み替え用住宅等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),建替えを行う旧耐震マンションの住宅の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),－,緑化施設の合計面積の敷地面積に対する率(%),－,子育て支援施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),－,高齢者福祉施設等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),整備内容に応じて～２００%,３００%又は基準容積率×０．５倍いずれか低い方,－,300,－,４００%又は基準容積率×０．５倍＋１００%いずれか低い方,200,原則として事務所の用途に供する部分は基準容積率の範囲内とする。,－,－,マンションの建替えに対する容積率の緩和を受ける場合は、通常の分譲住宅を育成用途とすることができる。,一時滞在施設等による容積率緩和部分には育成用途を設けないことができる。,－,空地等の確保に対して緩和する容積率の限度を超えて、第５の９に定める域外貢献による容積率の緩和を受ける場合は、容積率の緩和の限度を超える域外貢献による容積率緩和部分には育成用途を設けないことができる。
区部,コ住宅重点地区等,・建蔽率の最高限度の低減・壁面の位置の制限・広場等の確保に応じて５０%～３００%,・地区の位置・用途地域・住宅の割合に応じて５０%～２００%,－,住み替え用住宅等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),建替えを行う旧耐震マンションの住宅の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),－,緑化施設の合計面積の敷地面積に対する率(%),－,子育て支援施設の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),－,高齢者福祉施設等の用に供する部分の床面積（容積率の算定の基礎となる延べ面積に算入しない床面積の部分を除く。）の敷地面積に対する率(%),整備内容に応じて～２００%,３００%又は基準容積率×０．５倍いずれか低い方,３００%又は基準容積率×０．５倍＋５０%いずれか低い方,300,－,４００%又は基準容積率×０．５倍＋１００%いずれか低い方,200,住居系用途地域内について、第一種中高層住居専用地域に建築することができる建築物の用途以外に対する容積率の緩和は行わないものとする。,－,－,マンションの建替えに対する容積率の緩和を受ける場合は、通常の分譲住宅を育成用途とすることができる。,一時滞在施設等による容積率緩和部分には育成用途を設けないことができる。,－,空地等の確保に対して緩和する容積率の限度を超えて、第５の９に定める域外貢献による容積率の緩和を受ける場合は、容積率の緩和の限度を超える域外貢献による容積率緩和部分には育成用途を設けないことができる。
