"年月[西暦]","収受日","業態","届出種類","施設名称","施設所在地","施設方書","施設電話番号","許可番号","許可開始日","緯度","経度"
"202110","2021/10/4","薬局","新規","ＭＥＧＵＲＵ漢方薬局","東京都港区北青山二丁目9番13号","斎藤ビル201","03-6271-5800","3港み生薬第50号","2021/10/14","35.671249","139.716529"
"202111","2021/10/21","薬局","新規","薬局くすりの福太郎　東麻布店","東京都港区東麻布三丁目10番5号","オークウッドホテル&アパートメンツ麻布1階","03-5545-5437","3港み生薬第53号","2021/11/4","35.655870","139.738853"
"202111","2021/9/27","薬局","新規","万代薬局　外苑前店","東京都港区南青山二丁目22番17号","川上ビル1階","03-6447-4321","3港み生薬第48号","2021/11/2","35.670757","139.719322"
"202111","2021/8/26","薬局","新規","広尾調剤薬局","東京都港区南青山七丁目14番7号","小寺ビル1階","03-5468-8931","3港み生薬第42号","2021/11/1","35.656542","139.717836"
"202112","2021/12/8","薬局","新規","ルビー薬局","東京都港区赤坂二丁目10番13号","福田ビル1階","03-6441-0801","3港み生薬第64号","2021/12/27","35.670228","139.741517"
"202112","2021/11/25","薬局","新規","六本木漢方薬局","東京都港区六本木三丁目15番24号","アリエスビル1F","03-6807-4555","3港み生薬第61号","2021/12/9","35.662660","139.735248"
"202202","2022/1/14","薬局","新規","高輪薬局","東京都港区高輪三丁目7番8号","西町ビル1階","03-6721-7304","3港み生薬第69号","2022/2/1","35.632756","139.732319"
"202202","2022/2/17","薬局","新規","惠堂薬局","東京都港区西新橋三丁目24番3号","川名ビル1階","03-3437-1353","3港み生薬第74号","2022/2/28","35.661567","139.751213"
"202202","2022/1/12","薬局","新規","南麻布調剤薬局","東京都港区南麻布五丁目2番37号","デペッシュモード4階","03-6277-0037","3港み生薬第68号","2022/2/7","35.655205","139.723552"
"202203","2022/2/10","薬局","新規","品川薬局","東京都港区港南二丁目2番2号","富士ビル1階","03-6260-0077","3港み生薬第73号","2022/3/7","35.629354","139.742184"

"薬局新規許可一覧(令和4年3月31日現在)","Ver202203",,,,,,,,,,
