"年月[西暦]","調査項目","設問","取組内容","選択肢","回答数[人]","構成比[%]"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","地球温暖化対策","十分","4","0.8"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","地球温暖化対策","まあ十分","85","16.5"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","地球温暖化対策","やや不十分","138","26.8"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","地球温暖化対策","不十分","130","25.2"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","地球温暖化対策","わからない","158","30.7"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","地球温暖化対策","無回答","0","0.0"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","ごみ・リサイクル","十分","42","8.2"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","ごみ・リサイクル","まあ十分","224","43.5"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","ごみ・リサイクル","やや不十分","124","24.1"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","ごみ・リサイクル","不十分","63","12.2"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","ごみ・リサイクル","わからない","62","12.0"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","ごみ・リサイクル","無回答","0","0.0"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","環境保全・公害対策","十分","16","3.1"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","環境保全・公害対策","まあ十分","139","27.0"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","環境保全・公害対策","やや不十分","153","29.7"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","環境保全・公害対策","不十分","91","17.7"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","環境保全・公害対策","わからない","116","22.5"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","環境保全・公害対策","無回答","0","0.0"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","環境美化活動・路上喫煙対策","十分","43","8.3"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","環境美化活動・路上喫煙対策","まあ十分","173","33.6"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","環境美化活動・路上喫煙対策","やや不十分","112","21.7"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","環境美化活動・路上喫煙対策","不十分","123","23.9"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","環境美化活動・路上喫煙対策","わからない","64","12.4"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","環境美化活動・路上喫煙対策","無回答","0","0.0"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","開発事業における環境への配慮の誘導","十分","12","2.3"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","開発事業における環境への配慮の誘導","まあ十分","120","23.3"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","開発事業における環境への配慮の誘導","やや不十分","145","28.2"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","開発事業における環境への配慮の誘導","不十分","76","14.8"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","開発事業における環境への配慮の誘導","わからない","162","31.5"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","開発事業における環境への配慮の誘導","無回答","0","0.0"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","緑や水辺の保全・創出","十分","18","3.5"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","緑や水辺の保全・創出","まあ十分","160","31.1"
