区分,在院患者数年間延数,在院患者数１日平均,新入院患者数年間数,新入院患者数１日平均,退院患者数年間数,退院患者数１日平均,外来患者数年間延数,外来患者数１日平均,病床利用率,平均在院日数
病院の種類,,,,,,,,,,
総数,37056997,101526,1601199,4386.8,1600814,4385.8,52381203,143510.1,79.6,23.1
精神科病院,4122998,11295.9,15120,41.4,15326,42,977204,2677.3,90.6,270.8
結核療養所,-,-,-,-,-,-,-,-,-,-
一般病院,32933999,90230.1,1586079,4345.4,1585488,4343.8,51403999,140832.9,78.4,20.8
病床の種類,,,,,,,,,,
総数,37056997,101526,1601199,4386.8,1600814,4385.8,-,-,79.6,23.1
精神病床,7359315,20162.5,36595,100.3,37395,102.4,-,-,88.8,198.9
感染症病床,2579,7.1,244,0.7,251,0.7,-,-,4.9,10.4
結核病床,105067,287.9,1765,4.8,1705,4.7,-,-,51.5,60.6
療養病床,7471463,20469.8,27930,76.5,37885,103.8,-,-,90.3,179.3
一般病床,22118573,60598.8,1534665,4204.6,1523578,4174.2,-,-,74.4,14.5
"（再掲）
介護療養病床",1811067,4961.8,2807,7.7,3970,10.9,-,-,94.5,396.5
