区市町村,総数,精神科病院,結核療養所,一般病院,(再掲)地域医療支援病院,(再掲)救急告示病院,(再掲)療養病床を有する病院
総数,642,50,0,592,25,310,245
区部,420,12,0,408,16,227,151
市部,217,38,0,179,9,81,91
郡部,4,0,0,4,0,1,3
島部,1,0,0,1,0,1,0
千代田区,14,0,0,14,1,4,1
中央区,4,0,0,4,1,1,1
港区,14,0,0,14,1,7,1
新宿区,15,1,0,14,1,12,2
文京区,11,0,0,11,0,8,2
台東区,8,1,0,7,0,5,5
墨田区,14,0,0,14,0,8,5
江東区,17,0,0,17,0,12,4
品川区,14,0,0,14,0,5,5
目黒区,9,0,0,9,2,9,5
大田区,28,1,0,27,3,17,14
世田谷区,25,0,0,25,1,14,7
渋谷区,16,0,0,16,1,7,5
中野区,9,0,0,9,0,6,6
杉並区,19,0,0,19,1,9,9
豊島区,15,0,0,15,0,13,3
北区,20,2,0,18,0,11,6
荒川区,14,0,0,14,0,6,8
板橋区,41,0,0,41,1,21,22
練馬区,19,2,0,17,1,7,7
足立区,52,4,0,48,0,26,16
葛飾区,20,1,0,19,1,9,8
江戸川区,22,0,0,22,1,10,9
八王子市,40,7,0,33,0,12,17
立川市,7,0,0,7,2,5,3
武蔵野市,10,0,0,10,1,6,4
三鷹市,8,1,0,7,0,4,3
青梅市,16,8,0,8,0,2,6
府中市,15,2,0,13,3,6,5
昭島市,8,0,0,8,0,5,5
調布市,8,2,0,6,0,2,3
町田市,20,6,0,14,0,7,7
小金井市,5,1,0,4,0,1,4
小平市,9,1,0,8,1,4,4
日野市,6,0,0,6,0,2,4
東村山市,11,3,0,8,1,4,4
国分寺市,2,0,0,2,0,0,2
国立市,2,0,0,2,0,1,1
福生市,4,0,0,4,0,3,1
狛江市,2,0,0,2,0,1,1
東大和市,2,0,0,2,0,1,0
清瀬市,12,2,0,10,0,3,7
東久留米市,4,1,0,3,0,2,0
武蔵村山市,4,0,0,4,0,2,2
多摩市,8,2,0,6,1,2,2
稲城市,3,0,0,3,0,1,2
羽村市,2,0,0,2,0,0,2
あきる野市,4,1,0,3,0,1,1
西東京市,5,1,0,4,0,4,1
瑞穂町,1,0,0,1,0,0,1
日の出町,2,0,0,2,0,0,2
檜原村,0,0,0,0,0,0,0
奥多摩町,1,0,0,1,0,1,0
大島町,0,0,0,0,0,0,0
利島村,0,0,0,0,0,0,0
新島村,0,0,0,0,0,0,0
神津島村,0,0,0,0,0,0,0
三宅村,0,0,0,0,0,0,0
御蔵島村,0,0,0,0,0,0,0
八丈町,1,0,0,1,0,1,0
青ケ島村,0,0,0,0,0,0,0
小笠原村,0,0,0,0,0,0,0
