区市町村  ,歯科診療所数,歯科,矯正歯科,小児歯科,歯科口腔外科,（再掲）診療所数有床歯科,病床数
総数,10579,10303,4424,6626,5008,1,3
区部,8280,8065,3513,5079,4024,1,3
市部,2266,2205,903,1522,972,0,0
郡部,19,19,6,16,4,0,0
島部,14,14,2,9,8,0,0
千代田区,346,337,132,153,158,0,0
中央区,431,414,184,186,231,0,0
港区,583,561,291,312,306,0,0
新宿区,427,414,178,225,195,0,0
文京区,238,226,112,148,121,0,0
台東区,235,234,78,136,109,0,0
墨田区,188,187,74,128,107,0,0
江東区,290,285,135,203,152,0,0
品川区,346,340,163,233,175,0,0
目黒区,282,270,139,183,145,0,0
大田区,556,545,222,388,271,1,3
世田谷区,742,714,318,457,348,0,0
渋谷区,418,395,182,179,176,0,0
中野区,254,251,113,161,124,0,0
杉並区,428,418,176,271,209,0,0
豊島区,314,300,132,188,142,0,0
北区,245,240,96,159,97,0,0
荒川区,140,138,62,92,65,0,0
板橋区,350,347,133,242,172,0,0
練馬区,459,454,172,304,214,0,0
足立区,379,376,162,274,176,0,0
葛飾区,268,265,89,182,124,0,0
江戸川区,361,354,170,275,207,0,0
八王子市,282,273,108,195,116,0,0
立川市,115,113,46,73,47,0,0
武蔵野市,147,137,60,78,62,0,0
三鷹市,96,94,40,59,42,0,0
青梅市,64,63,24,46,25,0,0
府中市,143,139,51,89,61,0,0
昭島市,61,61,29,43,26,0,0
調布市,150,146,66,104,72,0,0
町田市,218,210,82,148,104,0,0
小金井市,65,64,28,46,25,0,0
小平市,100,99,36,66,40,0,0
日野市,84,81,27,60,30,0,0
東村山市,66,66,24,47,30,0,0
国分寺市,76,74,29,52,38,0,0
国立市,75,70,35,55,40,0,0
福生市,32,32,9,21,8,0,0
狛江市,38,37,17,26,22,0,0
東大和市,42,41,14,34,18,0,0
清瀬市,36,35,14,23,14,0,0
東久留米市,57,56,19,32,19,0,0
武蔵村山市,25,25,10,19,9,0,0
多摩市,64,63,32,43,27,0,0
稲城市,38,38,24,33,19,0,0
羽村市,32,32,10,21,9,0,0
あきる野市,40,39,15,24,13,0,0
西東京市,120,117,54,85,56,0,0
瑞穂町,11,11,3,9,3,0,0
日の出町,6,6,2,5,1,0,0
檜原村,0,0,0,0,0,0,0
奥多摩町,2,2,1,2,0,0,0
大島町,5,5,0,2,2,0,0
利島村,0,0,0,0,0,0,0
新島村,0,0,0,0,0,0,0
神津島村,1,1,0,0,0,0,0
三宅村,1,1,0,0,1,0,0
御蔵島村,0,0,0,0,0,0,0
八丈町,6,6,2,6,4,0,0
青ケ島村,0,0,0,0,0,0,0
小笠原村,1,1,0,1,1,0,0
