区分階層,区分,Section,総数 Total,事務 Administrative employees,技術 Technically skilled employees,医療福祉 Health and welfare employees,技能労務 Public field worker
0,総数,Total,39104,15012,8989,8745,6358
1,議会局,Secretariat to the Metropolitan Assembly,148,126,-,-,22
1,知事部局,Governor's Bureaus and Offices,24963,11476,4317,8717,453
2,政策企画局,Office of the Governor for Policy Planning,172,165,7,-,-
2,総務局,Bureau of General Affairs,2642,2438,177,-,27
2,財務局,Bureau of Finance,443,260,176,-,7
2,主税局,Bureau of Taxation,2881,2880,1,-,-
2,生活文化局　　　　　,Bureau of Citizens and Cultural Affairs                              ,414,353,59,-,2
2,オリンピック・パラリンピック準備局,Bureau of Olympic and Paralympic Games Tokyo 2020 Preparation,375,297,78,-,-
2,都市整備局,Bureau of Urban Development          ,812,278,534,-,-
2,環境局,Bureau of Environment,476,245,226,-,5
2,福祉保健局,Bureau of Social Welfare and Public Health,4280,1480,468,2280,52
2,産業労働局,Bureau of Industrial and Labor Affairs ,1276,757,479,10,30
2,建設局,Bureau of Construction,2414,878,1504,-,32
2,港湾局,Bureau of Port and Harbor,615,262,314,-,39
2,会計管理局,Bureau of Accounting,107,107,-,-,-
2,都民安全推進本部,Office for Promotion of Citizen Safety,37,36,1,-,-
2,戦略政策情報推進本部,Office for Strategic Policy and ICT Promotion,153,144,9,-,-
2,住宅政策本部,Office for Housing Policy,392,211,181,-,-
2,病院経営本部,Office of Metropolitan Hospital Management,6845,405,6,6427,7
2,中央卸売市場,Central Wholesale Market,567,220,95,-,252
2,収用委員会,Secretariat to Expropriation Commission,24,22,2,-,-
2,労働委員会,Secretariat to Labor Relations Commission,38,38,-,-,-
1,公営企業体,Public Enterprises,13118,2618,4612,5,5883
2,交通局,Bureau of Transportation,6736,624,582,5,5525
2,水道局,Bureau of Waterworks,3863,1519,2077,-,267
2,下水道局,Bureau of Sewerage,2519,475,1953,-,91
1,行政委員会事務局,Executive Offices of Administrative Commission ,875,792,60,23,-
2,教育委員会,Board of Education ,694,637,34,23,-
2,選挙管理委員会,Election Administration Commission,25,25,-,-,-
2,人事委員会,Personnel Commission,62,55,7,-,-
2,監査事務局,Audit and Inspection Commissioners,89,73,16,-,-
2,海区漁業調整委員会,Sea Area Fisheries Adjustment Commission,5,2,3,-,-
,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,
22-5  職員数 (1) 都 (令和2年4月1日) 22-5  GOVERNMENT EMPLOYEES (1) TOKYO METROPOLITAN GOVERNMENT ( Apr. 1， 2020 ),,,,,,,
この表の職員数は定数である。,,,,,,,
Number of employees refers to the personnel quota.,,,,,,,
資料：都総務局人事部調査課 Source: Bureau of General Affairs， TMG,,,,,,,
区分階層（0:総数　1:議会局・知事部局・公営企業体・行政委員会事務局　2:区分）,,,,,,,
