年次,Year,項番 Item number,種類,Type,種類,Type,種類,Type,種類,Type,取扱総数 Total number of cases handled,旧受 Previously received,新受計 Newly received total,手続開始内訳  Breakdown of case proceedings commenced／申告 Stated／職員受 Received by officials,手続開始内訳  Breakdown of case proceedings commenced／申告 Stated／委員受 Received by commissioners,手続開始内訳  Breakdown of case proceedings commenced／委員通報 Notified by commissioners,手続開始内訳  Breakdown of case proceedings commenced／関係官公署の通報 Reported by relevant public authorities,手続開始内訳  Breakdown of case proceedings commenced／情報 Information,手続開始内訳  Breakdown of case proceedings commenced／移送 Transferred,処理件数 Total number of cases disposed,処理内訳 Breakdown of cases processed／措置 Measures／援助 Assisted,処理内訳 Breakdown of cases processed／措置 Measures／調整 Adjusted,処理内訳 Breakdown of cases processed／措置 Measures／要請 Requested,処理内訳 Breakdown of cases processed／措置 Measures／説示 Instructed,処理内訳 Breakdown of cases processed／措置 Measures／勧告 Advised,処理内訳 Breakdown of cases processed／措置 Measures／通告 Informed,処理内訳 Breakdown of cases processed／措置 Measures／告発 Indicted,処理内訳 Breakdown of cases processed／措置猶予 Suspension of sentence,処理内訳 Breakdown of cases processed／侵犯事実不存在 Non-existence of facts about infringement,処理内訳 Breakdown of cases processed／侵犯事実不明確 Uncertainty of facts about infringement,処理内訳 Breakdown of cases processed／打切り Closed,処理内訳 Breakdown of cases processed／中止 Discontinued,処理内訳 Breakdown of cases processed／移送 Transferred,処理内訳 Breakdown of cases processed／啓発 Admonished,未済 Pending
平成31･令和元,2019,,総数,Total,,,,,,,1139,187,952,655,248, -,1,8,40,951,687, -,118,7, -, -, -, -, -,77,69, -, -,1,188
令和2,2020,,総数,Total,,,,,,,633,188,445,395,14, -,7, -,29,525,204,10,133,50, -, -, -,1, -,124,52, -, -,8,108
令和2,2020,1,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,,,,,,,62,25,37,36,1, -, -, -, -,51,21, -,1, -, -, -, -,1, -,28, -, -, -,3,11
令和2,2020,1,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,特別公務員による侵犯,Infringement by special public officials,警察官によるもの,By policemen,,,16,10,6,6, -, -, -, -, -,13,3, -,1, -, -, -, -, -, -,9, -, -, -, -,3
令和2,2020,2,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,特別公務員による侵犯,Infringement by special public officials,その他の特別公務員,By other special public officials,,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
令和2,2020,3,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,教育職員による侵犯,Infringement by education personnel,体罰,Corporal punishment ,,,2,1,1,1, -, -, -, -, -,2,1, -, -, -, -, -, -, -, -,1, -, -, -,1, -
令和2,2020,4,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,教育職員による侵犯,Infringement by education personnel,その他,Others,,,14,6,8,8, -, -, -, -, -,13,4, -, -, -, -, -, -, -, -,9, -, -, -,1,1
令和2,2020,5,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,学校におけるいじめ,Bullying at school　　　　　　　　　　　　　　,,,,,23,6,17,16,1, -, -, -, -,19,13, -, -, -, -, -, -,1, -,5,-, -, -,1,4
令和2,2020,6,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,刑務職員による侵犯,Infringement by prison personnel,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
令和2,2020,7,公務員等の職務執行に伴う侵犯事件,Cases of infringement by public servants in the execution of their duties　　　　　　　　　　　　,その他の公務員による侵犯,Infringement by other public servants,国家公務員,National public servants,,,1,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
