年度末,End of fiscal year,地域階層,地域コード,地域,District,総人口 (A) Total population 1),排水区域 Areas served by sewerage system／人口 (B) Population,排水区域 Areas served by sewerage system／計画面積 Planned area (ha),排水区域 Areas served by sewerage system／面積 Area　(ha),処理区域 Areas served by sewerage system and sewage treatment system／人口 Population,処理区域 Areas served by sewerage system and sewage treatment system／計画面積 Planned area (ha),処理区域Areas served by sewerage system and sewage treatment system／面積 Area (ha),終末処理場数2 Number of sewage treatment plants 2 2) ,終末処理場数1 Number of sewage treatment plants 1,普及率 (B/A) Sewerage system coverage (%)
平成30,2018,0,13000,東京都,Tokyo-to,13745967,13708281,109767,105971,13708230,109767,105893,7,27,100
令和元,2019,0,13000,東京都,Tokyo-to,13843843,13806957,109770,106023,13806905,109770,105941,7,27,100
令和2,2020,0,13000,東京都,Tokyo-to,13818472,13782607,109793,106556,13782593,109793,106024,7,26,100
令和2,2020,1,13100,区部,All ku,9569414,9559878,56396,56228,9559878,56396,56228,-,13,100
令和2,2020,2,13101,千代田区,Chiyoda-ku,67140,67140,1102,1102,67140,1102,1102,-,-,100
令和2,2020,2,13102,中央区,Chuo-ku,170946,170946,903,903,170946,903,903,-,-,100
令和2,2020,2,13103,港区,Minato-ku,258821,258632,1986,1970,258632,1986,1970,-,1,100
令和2,2020,2,13104,新宿区,Shinjuku-ku,344577,344577,1798,1798,344577,1798,1798,-,1,100
令和2,2020,2,13105,文京区,Bunkyo-ku,226653,226653,1138,1138,226653,1138,1138,-,-,100
令和2,2020,2,13106,台東区,Taito-ku,203988,203988,856,856,203988,856,856,-,-,100
令和2,2020,2,13107,墨田区,Sumida-ku,275975,275975,1195,1195,275975,1195,1195,-,-,100
令和2,2020,2,13108,江東区,Koto-ku,526621,524973,3432,3396,524973,3432,3396,-,2,100
令和2,2020,2,13109,品川区,Shinagawa-ku,406083,405698,2051,2045,405698,2051,2045,-,-,100
令和2,2020,2,13110,目黒区,Meguro-ku,281093,281093,1440,1440,281093,1440,1440,-,-,100
令和2,2020,2,13111,大田区,Ota-ku,733793,733463,4825,4798,733463,4825,4798,-,1,100
令和2,2020,2,13112,世田谷区,Setagaya-ku,920471,919962,5726,5709,919962,5726,5709,-,-,100
令和2,2020,2,13113,渋谷区,Shibuya-ku,230291,230291,1511,1511,230291,1511,1511,-,-,100
令和2,2020,2,13114,中野区,Nakano-ku,334581,334581,1566,1566,334581,1566,1566,-,1,100
令和2,2020,2,13115,杉並区,Suginami-ku,573375,573040,3338,3332,573040,3338,3332,-,-,100
令和2,2020,2,13116,豊島区,Toshima-ku,286596,286596,1299,1299,286596,1299,1299,-,-,100
令和2,2020,2,13117,北区,Kita-ku,352638,352638,1836,1836,352638,1836,1836,-,1,100
令和2,2020,2,13118,荒川区,Arakawa-ku,216335,216335,887,887,216335,887,887,-,1,100
令和2,2020,2,13119,板橋区,Itabashi-ku,570024,569951,2997,2994,569951,2997,2994,-,1,100
令和2,2020,2,13120,練馬区,Nerima-ku,740417,740174,4684,4677,740174,4684,4677,-,-,100
令和2,2020,2,13121,足立区,Adachi-ku,691190,687734,4787,4778,687734,4787,4778,-,2,100
令和2,2020,2,13122,葛飾区,Katsushika-ku,463176,461946,2996,2961,461946,2996,2961,-,1,100
令和2,2020,2,13123,江戸川区,Edogawa-ku,694630,693492,4043,4037,693492,4043,4037,-,1,100
令和2,2020,1,13200,市部,All shi,4190417,4166195,51375,48609,4166195,51375,48080,7,11,99
令和2,2020,2,13201,八王子市,Hachioji-shi,561344,557714,8739,8440,557714,8739,8440,1,1,99
令和2,2020,2,13202,立川市,Tachikawa-shi,184661,184661,2278,2173,184661,2278,2173,-,1,100
令和2,2020,2,13203,武蔵野市,Musashino-shi,147969,147969,1073,1073,147969,1073,1073,-,-,100
令和2,2020,2,13204,三鷹市,Mitaka-shi,190774,190774,1650,1650,190774,1650,1650,-,1,100
令和2,2020,2,13205,青梅市,Ome-shi,131661,129095,2379,2175,129095,2379,2175,,-,98
令和2,2020,2,13206,府中市,Fuchu-shi,260508,260508,2725,2725,260508,2725,2725,1,1,100
令和2,2020,2,13207,昭島市,Akishima-shi,113542,113463,1504,1440,113463,1504,1440,1,1,100
令和2,2020,2,13208,調布市,Chofu-shi,238087,238087,2037,1955,238087,2037,1955,-,-,100
令和2,2020,2,13209,町田市,Machida-shi,429645,425056,5440,5038,425056,5440,5038,-,2,99
令和2,2020,2,13210,小金井市,Koganei-shi,124078,124078,1133,1133,124078,1133,1133,-,-,100
令和2,2020,2,13211,小平市,Kodaira-shi,195207,195207,2046,2046,195207,2046,2046,-,-,100
令和2,2020,2,13212,日野市,Hino-shi,187048,179641,2397,2258,179641,2397,2258,1,1,96
令和2,2020,2,13213,東村山市,Higashimurayama-shi,151259,151259,1696,1696,151259,1696,1696,-,-,100
令和2,2020,2,13214,国分寺市,Kokubunji-shi,127272,127268,1148,1142,127268,1148,1142,-,-,100
令和2,2020,2,13215,国立市,Kunitachi-shi,76423,76423,792,792,76423,792,792,1,1,100
令和2,2020,2,13218,福生市,Fussa-shi,56786,56786,1000,653,56786,1000,653,-,-,100
令和2,2020,2,13219,狛江市,Komae-shi,83218,83218,582,582,83218,582,582,-,-,100
令和2,2020,2,13220,東大和市,Higashiyamato-shi,85294,85285,1009,990,85285,1009,990,-,-,100
令和2,2020,2,13221,清瀬市,Kiyose-shi,74972,74967,1019,882,74967,1019,882,1,1,100
令和2,2020,2,13222,東久留米市,Higashikurume-shi,116807,116807,1292,1292,116807,1292,1292,-,-,100
令和2,2020,2,13223,武蔵村山市,Musashimurayama-shi,72000,71992,1522,1164,71992,1522,1164,-,-,100
令和2,2020,2,13224,多摩市,Tama-shi,148411,148398,2019,2014,148398,2019,2014,-,-,100
令和2,2020,2,13225,稲城市,Inagi-shi,92585,91900,1747,1581,91900,1747,1107,1,1,99
令和2,2020,2,13227,羽村市,Hamura-shi,54622,54445,905,795,54445,905,795,-,-,100
令和2,2020,2,13228,あきる野市,Akiruno-shi,80177,75127,1659,1335,75127,1659,1280,-,-,94
令和2,2020,2,13229,西東京市,Nishitokyo-shi,206067,206067,1585,1585,206067,1585,1585,-,-,100
令和2,2020,1,13300,郡部,All gun,56071,54864,1932,1635,54850,1932,1632,-,1,98
令和2,2020,2,13303,瑞穂町,Mizuho-machi,32458,31892,931,808,31878,931,805,-,-,98
令和2,2020,2,13305,日の出町,Hinode-machi,16563,16556,700,527,16556,700,527,-,-,100
令和2,2020,2,13307,檜原村,Hinohara-mura,2101,1886,102,101,1886,102,101,-,-,90
令和2,2020,2,13308,奥多摩町,Okutama-machi,4949,4530,199,199,4530,199,199,-,1,92
令和2,2020,1,13350,島部 ,All islands 3),2570,1670,90,84,1670,90,84,-,1,65
令和2,2020,2,13363,新島村,Niijima-mura,2570,1670,90,84,1670,90,84,-,1,65
,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,,
