項目,Item,平成29年度 Fiscal year 2017／実数 Value,平成29年度 Fiscal year 2017／構成比 Percentage Distribution (%),平成29年度 Fiscal year 2017／対前年度増加率 Percent changes from previous fiscal year (%),平成30年度 Fiscal year 2018／実数 Value,平成30年度 Fiscal year 2018／構成比 Percentage Distribution (%),平成30年度 Fiscal year 2018／対前年度増加率 Percent changes from previous fiscal year (%)
雇用者報酬（都内活動による）,Compensation of employees (from activities in Tokyo),54162,51.1,2.2,55847.1,52.2,3.1
営業余剰・混合所得,Operating surplus and mixed income,28661.5,27,-1.5,27789.6,26,-3
固定資本減耗,Consumption of fixed capital,17599.7,16.6,0.6,17790.5,16.6,1.1
生産･輸入品に課される税,Taxes on production and imports,5832.7,5.5,-0.5,5939.5,5.5,1.8
（控除）補助金,(less) Subsidies,291.3,0.3,-15.4,325,0.3,11.6
都内総生産 (生産側),Gross prefectural domestic product (production approach),105964.7,100,0.8,107041.8,100,1
民間最終消費支出,Private final consumption expenditure,45013.9,42.5,2.9,45990.7,43,2.2
政府最終消費支出,Government final consumption expenditure,14672.3,13.8,-1.2,14939.2,14,1.8
都内総固定資本形成,Gross prefectural domestic fixed capital formation,15625.8,14.7,4.5,15903.1,14.9,1.8
在庫変動,Changes in inventories,496.3,0.5,-,261.1,0.2,-
財貨・サービスの移出入(純）,Outflows of goods and services， net,32170.8,30.4,-2.2,32209.6,30.1,0.1
統計上の不突合,Statistical discrepancy,-2014.4,-1.9,-,-2262.1,-2.1,-
都内総生産 (支出側),Gross prefectural domestic product (expenditure approach),105964.7,100,0.8,107041.8,100,1
,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,
16-1  都内総生産勘定 (生産側及び支出側) (平成29，30年度) 16-1  GROSS PREFECTURAL DOMESTIC PRODUCT ACCOUNT (PRODUCTION AND EXPENDITURE APPROACH) ( Fiscal Years 2017 and 2018 ),,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,
