年次,Year,総平均 All commodities,食料品 Foodstuffs,繊維品 Textiles,木材・同製品 Wood， lumber & related products,パルプ・紙・同製品 Pulp， paper & related products,化学製品 Chemicals & related products,石油・石炭・同製品 Petroleum， coal & related products,窯業・土石製品 Ceramic， stone & clay products,鉄鋼 Iron & steel,非鉄金属 Nonferrous metals,金属製品 Metal products,機械器具 Machinery & equipment,雑品 Miscellaneous goods
昭和9,1934,0.969,-,0.994,-,-,0.988,-,-,-,-,-,-,0.961
昭和10,1935,0.994,-,0.984,-,-,1.05,-,-,-,-,-,-,0.984
昭和11,1936,1.036,-,1.022,-,-,0.969,-,-,-,-,-,-,1.056
昭和15,1940,1.641,-,1.645,-,-,1.498,-,-,-,-,-,-,1.791
昭和20,1945,3.503,-,3.809,-,-,5.693,-,-,-,-,-,-,3.333
昭和25,1950,246.8,249.5,371.1,-,-,206.3,-,-,-,-,-,-,199
昭和30,1955,343,337.7,355.5,509.9,308.3,258,338.7,268.6,360.3,347.4,276.5,269.4,258.2
昭和35,1960,352.1,345.9,312.9,632.3,297.6,244,352.6,278.2,393.5,341.2,332.8,288.1,272.3
昭和40,1965,359.4,382.5,317.4,797.5,311.3,230.8,326.5,296.3,353.7,373.9,338.7,273.1,292.7
昭和45,1970,399.9,452.8,358.5,1104.3,351.2,215.3,318.8,340.1,395.5,478.3,378.7,280,330
昭和50,1975,626.8,741.1,469.8,1690.9,601.6,361.1,1061.1,567.2,551.2,568.4,595.4,370.5,590.4
昭和55,1980,826.1,920.1,576,2559.5,802.2,474.1,2057.7,815.3,714.4,843.9,732.1,383.3,840.8
昭和59,1984,831.5,997.9,585.5,2191.2,772,444.9,2156.1,853,702,695.7,758.3,385.4,898.9
昭和60,1985,822.4,993.7,574.8,2161.9,758.5,438.1,2157.5,827.9,690.9,663.3,759.9,382,887.8
昭和61,1986,747.3,975.9,522.7,2022.4,730.4,399.2,1408,811.8,607.1,543,747.6,357,830.5
昭和62,1987,719.3,951.6,516.5,2223.5,716.9,383.2,1205.4,798.7,584.1,545.8,726.5,343.5,793
昭和63,1988,712.1,946.2,516.8,2187.1,722.5,384.4,1093,792.8,605.2,604,742.1,334.9,782
平成元,1989,730.4,958.4,532.7,2362.9,745.5,393.1,1167.5,810.7,639.9,652.8,771.2,338.1,795.8
平成2,1990,745.4,979.5,537.7,2453.5,750.6,395.9,1374.9,832.3,645.9,640.4,789.7,340.2,810
平成3,1991,741.3,1003.5,542.1,2408.5,759.8,407.2,1322.3,856.7,644.5,569.1,804.3,332.6,817.1
平成4,1992,729.3,1014.1,528.3,2412.8,747.4,389.3,1220.7,853.3,620.2,525.1,802.2,328.9,822.2
平成5,1993,708.1,1005.2,495.2,2691.3,735.7,374.6,1097.5,838.9,587.8,460.7,788.4,319.6,812.8
平成6,1994,693.7,1002.4,489.1,2558,722.5,366.9,1002.9,820.3,554.4,471.7,775.1,313.1,806.8
平成7,1995,687.2,981.8,483.3,2439.4,751.2,372.4,1010,814.8,555.2,498.7,773.9,305.5,806.3
平成8,1996,688,988.6,498.3,2525,754.5,366.8,1152.1,815,548,490.7,773.3,301.4,814.5
平成9,1997,698.4,1003.6,517.9,2567.3,753.1,375.2,1271.1,828.6,567.3,526.8,784.1,299.3,835.8
平成10,1998,687.5,1003.8,517.1,2307.9,734.1,370.9,1111.5,825.2,548.5,498.6,783.5,298.3,826.1
平成11,1999,664.3,1002.9,493.7,2301.2,714.6,360.2,1104.6,806.6,510.6,455.8,769.2,284.5,802
平成12,2000,664.2,992.3,482.5,2243,730.5,368.5,1393,795,511.2,474.6,762.9,275.3,805.2
平成13,2001,658,991.1,486.2,2242.8,724.4,368.3,1466.6,794.6,501.1,476.6,759.2,267.6,812.2
