年次及び種類,Year and kind,月末,End of month,製造工業 Manufacturing,製造工業 Manufacturing／鉄鋼業 Iron and steel,製造工業 Manufacturing／非鉄金属工業 Non-ferrous metals,製造工業 Manufacturing／金属製品工業 Fabricated metals,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／汎用機械工業 General-purpose machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／生産用機械工業 Production machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／業務用機械工業 Business use machinery,製造工業 Manufacturing／電子部品・デバイス工業 Electronic parts and devices,製造工業 Manufacturing／電気機械工業 Electrical machinery,製造工業 Manufacturing／情報通信機械工業 Information and communications equipment,製造工業 Manufacturing／輸送機械工業 Transport equipment,製造工業 Manufacturing／窯業・土石製品工業 Ceramics， stone and clay products,製造工業 Manufacturing／化学工業 Chemicals,製造工業 Manufacturing／プラスチック製品工業 Plastic products,製造工業 Manufacturing／紙・紙加工品工業 Paper and paper products,製造工業 Manufacturing／繊維工業 Textiles,製造工業 Manufacturing／食料品工業 Foods,製造工業 Manufacturing／その他工業 Other manufacturing,製造工業 Manufacturing／その他工業 Other manufacturing／ゴム製品工業 Rubber products,製造工業 Manufacturing／その他工業 Other manufacturing／皮革製品工業 Leather products,製造工業 Manufacturing／その他工業 Other manufacturing／家具工業 Furniture,製造工業 Manufacturing／その他工業 Other manufacturing／木材・木製品工業 Wood and wood products,製造工業 Manufacturing／その他工業 Other manufacturing／その他製品工業 Other products
令和2,2020,3,Mar.,92.4,104.2,128.6,90.2,92.9,95.3,185.4,53.5,14.5,51.8,114.1,62,130.4,82.7,176.7,92.3,160.1,78.2,111.2,13.8,111.7,188,48.9,121.6
令和2,2020,4,Apr.,93.8,103.5,127.5,90.9,108.2,106,220.7,61.7,19.1,55.9,109.9,61.9,126.3,73.4,167,81.8,146.9,56.9,114.6,13.8,115.4,177.9,42.6,130.6
令和2,2020,5,May,92.4,103,126.9,93.8,96.5,77.9,198.2,59.4,12,61.7,111.3,56.4,125.9,75.7,149.4,96.9,148.7,57.2,115,13.4,113.4,169.2,32.4,136.7
令和2,2020,6,June,91.5,104.7,127.4,95.1,89.8,64.4,180,55.7,11,65.4,100.2,60.7,124,82.5,250.7,96.1,154.3,58.1,114.5,12.8,109.4,154.2,29.1,142.5
令和2,2020,7,July,90.3,107,124.8,96.7,89.6,60,198.3,51.9,10,64.4,101.7,64.3,122.9,85,23.7,75.7,150.9,69.4,110,12.2,109.8,134.1,24.7,140.2
令和2,2020,8,Aug.,88.6,111.9,124.3,99.4,84,71.5,188.7,49.8,14.3,63.7,84.8,65.8,123.4,83.4,11.2,94.1,155.2,56.6,123.4,11.9,109.5,139.3,13.9,177
令和2,2020,9,Sept.,93.7,115.3,122.8,101.5,90.6,95.5,205.9,50.4,22.4,62,105.5,71.6,122.3,84,7.4,97.9,156.8,56.3,132.7,11.7,109.1,137.8,12.8,200.9
令和2,2020,10,Oct.,89.5,116,124.3,105.6,84.2,87.3,202.1,44.1,12.6,58.4,94.1,68.3,121.2,84.7,5.5,96.1,167.4,57.8,125,11.4,110.8,143.6,13.2,177.3
令和2,2020,11,Nov.,86,112.4,126.9,106.7,64.4,87.1,108.8,44.6,13.7,55.9,89.7,80,122.7,77.8,9.2,96.3,176.2,56.6,123.7,11.7,111.3,145.5,16.8,166.4
令和2,2020,12,Dec.,84.4,102.1,122.1,111.6,71,99.9,124.2,43.1,10.6,57.4,88.9,72.8,122.5,83.4,0.4,87.5,177.7,52.6,110.8,11.6,111.9,137.4,21.2,137.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 ) 11   工業 11  MANUFACTURING INDUSTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-2　工業指数 (２)　生産者製品在庫指数  (平成27～令和2年) 11-２  INDUSTRIAL INDICES (2)  INDICES OF PRODUCER'S INVENTORY OF FINISHED GOODS  ( 2015-2020 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)  ウェイト………平成 27年の在庫額,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  算   式………固定ウェイトによる加重算術平均式,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)　Weight  ……… Inventory value in 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)　Formula……… Weighted arithmetic mean by fixed weight,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 月別の値は，季節調整済みである。,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 暦年の値は月別原指数の当該年末値であり，月別の値は当該月末値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Monthly figures are seasonally adjusted.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Yearly figures are the year-end figures of original monthly indices， and monthly figures are as of the end of the month. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部産業統計課 「東京都工業指数年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,
(平成 27年平均＝100.0) (2015  Average=100.0),,,,,,,,,,,,,,,,,,,,,,,,,,,
