年度平均,Fiscal year average,地域階層,地域コード,地域,District,被保護世帯数 Households assisted 1),生活扶助 Livelihood assistance,住宅扶助 Housing assistance,教育扶助 Education assistance,介護扶助 LTC assistance,医療扶助 Medical assistance,出産扶助 Maternity assistance,生業扶助 Occupational assistance,葬祭扶助 Funeral assistance,被保護人員数 Persons assisted(人 persons)
平成27,2015,0,13000,東京都,Tokyo-to,231184,203003,205486,10817,39701,197454,6,5680,577,295176
平成28,2016,0,13000,東京都,Tokyo-to,232042,203562,206968,10260,41900,198906,5,5561,572,293066
平成29,2017,0,13000,東京都,Tokyo-to,232949,204021,208090,9578,44342,200759,6,5464,566,291644
平成30,2018,0,13000,東京都,Tokyo-to,232496,202499,207880,8878,45884,200510,4,5163,624,288618
令和元,2019,0,13000,東京都,Tokyo-to,231697,200625,207129,8246,47542,201819,5,4823,658,285391
令和元,2019,1,13100,区部,All ku,173304,150767,155831,5633,36023,151247,4,3350,528,210231
令和元,2019,2,13101,千代田区,Chiyoda-ku,579,452,444,6,124,506,-,3,2,626
令和元,2019,2,13102,中央区,Chuo-ku,995,811,841,21,215,840,0,9,5,1128
令和元,2019,2,13103,港区,Minato-ku,1753,1515,1532,43,455,1508,0,30,3,2044
令和元,2019,2,13104,新宿区,Shinjuku-ku,8893,7775,7706,177,1475,7392,1,66,26,10106
令和元,2019,2,13105,文京区,Bunkyo-ku,1958,1640,1713,23,463,1630,-,10,8,2181
令和元,2019,2,13106,台東区,Taito-ku,7679,6659,6664,81,1340,6260,0,51,35,8282
令和元,2019,2,13107,墨田区,Sumida-ku,6453,5857,5916,206,1596,6039,-,144,26,7864
令和元,2019,2,13108,江東区,Koto-ku,7748,6895,6971,243,1762,6835,-,169,30,9623
令和元,2019,2,13109,品川区,Shinagawa-ku,4671,3902,4148,96,1103,4163,-,63,15,5416
令和元,2019,2,13110,目黒区,Meguro-ku,2414,2056,2070,42,568,2230,0,23,3,2770
令和元,2019,2,13111,大田区,Ota-ku,13428,11410,12230,453,2991,12638,0,270,46,16252
令和元,2019,2,13112,世田谷区,Setagaya-ku,8875,7543,7972,210,1791,6674,0,113,29,10346
令和元,2019,2,13113,渋谷区,Shibuya-ku,2739,2386,2402,40,560,2150,-,26,3,3030
令和元,2019,2,13114,中野区,Nakano-ku,6773,5964,6139,97,1255,5109,-,75,20,7627
令和元,2019,2,13115,杉並区,Suginami-ku,6502,5718,5920,109,1269,6049,-,56,8,7363
令和元,2019,2,13116,豊島区,Toshima-ku,6100,5235,5423,68,1169,5690,0,53,10,6760
令和元,2019,2,13117,北区,Kita-ku,7717,6667,6964,153,1920,6866,-,120,27,9190
令和元,2019,2,13118,荒川区,Arakawa-ku,5252,4650,4754,145,1105,4556,-,89,23,6229
令和元,2019,2,13119,板橋区,Itabashi-ku,14247,12116,12875,620,2576,11719,1,383,50,18150
令和元,2019,2,13120,練馬区,Nerima-ku,13287,11424,12048,547,2762,11105,1,377,10,16708
令和元,2019,2,13121,足立区,Adachi-ku,18909,16983,16949,892,4313,17541,0,436,70,24477
令和元,2019,2,13122,葛飾区,Katsushika-ku,10753,9170,9643,457,2380,9040,-,246,29,13648
令和元,2019,2,13123,江戸川区,Edogawa-ku,15578,13939,14511,904,2832,14708,1,538,50,20412
令和元,2019,1,13200,市部,All shi,57261,48939,50500,2573,11236,49550,1,1450,129,73681
令和元,2019,2,13201,八王子市,Hachioji-shi,7395,6201,6286,299,1402,5851,-,177,20,9398
令和元,2019,2,13202,立川市,Tachikawa-shi,3892,3355,3526,157,846,3571,0,89,13,4982
令和元,2019,2,13203,武蔵野市,Musashino-shi,1672,1510,1489,36,285,1600,-,22,3,1897
令和元,2019,2,13204,三鷹市,Mitaka-shi,2572,2177,2279,82,510,2432,-,35,5,3133
令和元,2019,2,13205,青梅市,Ome-shi,2156,1769,1760,148,339,1577,-,66,4,2927
令和元,2019,2,13206,府中市,Fuchu-shi,4059,3572,3659,220,768,3870,-,125,13,5264
令和元,2019,2,13207,昭島市,Akishima-shi,1735,1437,1486,74,444,1516,-,34,5,2180
令和元,2019,2,13208,調布市,Chofu-shi,2560,2176,2272,61,491,2398,-,21,2,3085
令和元,2019,2,13209,町田市,Machida-shi,5695,4833,5146,346,1103,4643,0,218,16,7788
令和元,2019,2,13210,小金井市,Koganei-shi,1566,1315,1393,23,247,1183,-,14,2,1760
令和元,2019,2,13211,小平市,Kodaira-shi,2479,2196,2199,121,492,2415,-,61,6,3205
令和元,2019,2,13212,日野市,Hino-shi,2087,1845,1813,89,414,1901,0,61,6,2678
令和元,2019,2,13213,東村山市,Higashimurayama-shi,2545,2146,2180,111,483,1915,-,77,5,3294
令和元,2019,2,13214,国分寺市,Kokubunji-shi,982,837,846,36,174,764,-,12,2,1185
令和元,2019,2,13215,国立市,Kunitachi-shi,916,799,835,35,170,832,0,16,1,1146
令和元,2019,2,13218,福生市,Fussa-shi,909,773,808,31,223,848,-,20,2,1113
令和元,2019,2,13219,狛江市,Komae-shi,995,869,911,18,233,885,0,8,1,1157
令和元,2019,2,13220,東大和市,Higashiyamato-shi,1357,1165,1187,89,297,1206,-,55,2,1913
令和元,2019,2,13221,清瀬市,Kiyose-shi,1641,1429,1488,73,372,1486,-,49,4,2182
令和元,2019,2,13222,東久留米市,Higashikurume-shi,1698,1476,1527,103,346,1425,-,50,2,2244
令和元,2019,2,13223,武蔵村山市,Musashimurayama-shi,1226,1043,1093,71,258,1083,0,27,4,1716
令和元,2019,2,13224,多摩市,Tama-shi,1864,1551,1648,89,330,1581,-,65,3,2478
令和元,2019,2,13225,稲城市,Inagi-shi,841,719,759,38,168,684,-,25,3,1111
令和元,2019,2,13227,羽村市,Hamura-shi,620,503,541,30,100,548,-,14,2,827
令和元,2019,2,13228,あきる野市,Akiruno-shi,695,549,549,47,141,600,-,26,1,986
令和元,2019,2,13229,西東京市,Nishitokyo-shi,3105,2696,2819,148,602,2738,0,86,4,4033
令和元,2019,1,13300,郡部,All gun,697,557,524,35,146,621,-,18,0,980
令和元,2019,1,13350,島部,All islands,435,362,273,4,136,401,0,4,1,500
,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,
18-2  地域別被保護世帯数（平成27～令和元年度 年度平均） 18-2  HOUSEHOLDS ASSISTED BY DISTRICT ( Annual Averages of Fiscal Years 2015-2019 ),,,,,,,,,,,,,,,
この数字は各地区別に平均し，集計した数字なので総数とは必ずしも一致しない。,,,,,,,,,,,,,,,
Figures are averaged by district and so may not add up to the totals provided.,,,,,,,,,,,,,,,
注 1) 「被保護世帯数」には保護停止中の世帯，「被保護人員数」には保護停止中の人員を含む。,,,,,,,,,,,,,,,
"Note: 1) The numbers of ""Households assisted"" and ""Persons assisted"" include households/persons for whom welfare benefits are currently discontinued.",,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,
（単位　世帯）(Value in households),,,,,,,,,,,,,,,
