年度,Fiscal year,1000人あたり受診件数 Number of hospital visits per 1000 persons／計 Total,1000人あたり受診件数 Number of hospital visits per 1000 persons／入院 Inpatient care,1000人あたり受診件数Number of hospital visits per 1000 persons／入院外 Outpatient care,1000人あたり受診件数Number of hospital visits per 1000 persons／歯科 Dental,診療1件あたり日数 Number of days to treat a condition／平均 Average,診療1件あたり日数 Number of days to treat a condition／入院 Inpatient care,診療1件あたり日数 Number of days to treat a condition／入院外 Outpatient care,診療1件あたり日数 Number of days to treat a condition／歯科 Dental,診療1件あたり医療費 Medical care expense per consultation case／平均 Average,診療1件あたり医療費 Medical care expense per consultation case／入院 Inpatient care,診療1件あたり医療費 Medical care expense per consultation case／入院外(調剤を含む) Outpatient care (includes prescription drugs),診療1件あたり医療費 Medical care expense per consultation case／歯科 Dental,診療1日あたり医療費 Medical care expense per consultation day ／平均 Average,診療1日あたり医療費 Medical care expense per consultation day／入院 Inpatient care,診療1日あたり医療費 Medical care expense per consultation day ／入院外(調剤を含む) Outpatient care (includes prescription drugs),診療1日あたり医療費 Medical care expense per consultation day／歯科 Dental,1人あたり医療費 Medical care expense per person／計 Total,1人あたり医療費 Medical care expense per person／入院 Inpatient care,1人あたり医療費 Medical care expense per person／入院外(調剤を含む) Outpatient care (includes prescription drugs),1人あたり医療費 Medical care expense per person／歯科 Dental
平成30,2018,828.43,8.15,646.45,173.84,1.53,8.97,1.39,1.72,20833,524302,16866,11989,13583,58461,12123,6989,17259,4271,10903,2084
令和元,2019,637.81,6.81,489.02,141.98,1.54,9.06,1.38,1.73,22834,558515,18388,12437,14827,61651,13315,7201,14564,3806,8992,1766
令和2,2020,692.67,6.91,530.45,155.31,1.53,8.63,1.39,1.68,23158,567286,19134,12691,15143,65737,13728,7571,16041,3920,10149,1971
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,,,,,
18-8  医療保険 (1) 全国健康保険協会管掌健康保険 ｃ 医療費等 (平成30～令和2年度) 18-8  HEALTH INSURANCE (1) MANAGED BY JAPAN HEALTH INSURANCE ASSOCIATION c MEDICAL CARE EXPENSES， ETC. ( Fiscal Years 2018-2020 ),,,,,,,,,,,,,,,,,,,,,
各年度3月分の数値である。 ,,,,,,,,,,,,,,,,,,,,,
Figures for March of each fiscal year. ,,,,,,,,,,,,,,,,,,,,,
資料：全国健康保険協会 Source: Japan Health Insurance Association,,,,,,,,,,,,,,,,,,,,,
（単位　金額　円）(Value in yen),,,,,,,,,,,,,,,,,,,,,
