年度,Fiscal year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of  January),要介護(要支援)認定者数 (1月末) Persons certified for LTC/support (as of the end of January) ／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC/support (as of the end of January) ／第2号 Secondary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第1号 Primary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第2号 Secondary,地域密着型サービス受給者数 (1月末) Recipient of communitybased LTC services (as of the end of January)／第1号 Primary,地域密着型サービス受給者数 (1月末) Recipient of communitybased LTC services (as of the end of January)／第2号 Secondary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第1号 Primary,施設介護サービス受給者数 (1月末) Recipient of LTC services in facilities (as of the end of January)／第2号 Secondary
平成30,2018,0,13000,東京都,Tokyo-to,3115904,592011,12762,352584,8298,71646,1293,74263,824
令和元,2019,0,13000,東京都,Tokyo-to,3135649,605996,12886,364005,8428,71416,1230,75635,789
令和2,2020,0,13000,東京都,Tokyo-to,3150528,616580,13350,372579,8758,67767,1138,75671,795
令和2,2020,1,13100,区部,All ku,2070728,414347,8921,256400,5988,47325,803,46804,492
令和2,2020,2,13101,千代田区,Chiyoda-ku,11351,2276,37,1421,21,255,4,221,2
令和2,2020,2,13102,中央区,Chuo-ku,25445,5095,142,3054,95,721,20,499,8
令和2,2020,2,13103,港区,Minato-ku,44880,9188,189,5570,119,486,11,1090,9
令和2,2020,2,13104,新宿区,Shinjuku-ku,68825,13943,261,8677,180,1603,26,1575,14
令和2,2020,2,13105,文京区,Bunkyo-ku,44047,8537,190,5489,131,1027,21,937,8
令和2,2020,2,13106,台東区,Taito-ku,46557,10201,215,6024,142,955,14,1094,9
令和2,2020,2,13107,墨田区,Sumida-ku,61831,11895,278,7439,190,1683,23,1591,18
令和2,2020,2,13108,江東区,Koto-ku,113942,20966,484,11838,300,1861,30,2441,34
令和2,2020,2,13109,品川区,Shinagawa-ku,83092,15482,358,10273,263,1529,35,1773,14
令和2,2020,2,13110,目黒区,Meguro-ku,56077,12103,233,7705,170,1517,29,1243,5
令和2,2020,2,13111,大田区,Ota-ku,167385,30434,712,21868,492,4304,71,2904,45
令和2,2020,2,13112,世田谷区,Setagaya-ku,186673,39934,772,25959,520,4982,64,3579,34
令和2,2020,2,13113,渋谷区,Shibuya-ku,43659,9112,219,5555,136,597,12,1017,12
令和2,2020,2,13114,中野区,Nakano-ku,68643,13210,233,8590,159,1643,13,1457,12
令和2,2020,2,13115,杉並区,Suginami-ku,121201,24872,502,15382,349,3905,79,2781,27
